scenario_id,agent_type,n_repeats,accepted_copresence_outcomes,required_copresence_outcomes,copresence_outcome_rate,social_pass_k,mean_task_completion,mean_trace_feasibility
hard_budget_entangled_meet,api_llm_plan_and_execute,3,0,3,0.0,0.0,0.385,0.8150000000000001
hard_budget_entangled_meet,api_llm_react_tool_policy,3,3,3,1.0,1.0,0.769,0.9630000000000001
hard_deadline_then_meet,api_llm_plan_and_execute,3,0,3,0.0,0.0,0.5,0.863
hard_deadline_then_meet,api_llm_react_tool_policy,3,1,3,0.3333333333333333,0.0,0.6666666666666666,0.888
hard_full_evening_chain,api_llm_plan_and_execute,3,3,3,1.0,1.0,0.9286666666666666,0.9583333333333334
hard_full_evening_chain,api_llm_react_tool_policy,3,3,3,1.0,1.0,0.6426666666666666,0.809
hard_overlapping_windows,api_llm_plan_and_execute,3,3,6,0.5,0.0,0.5,0.875
hard_overlapping_windows,api_llm_react_tool_policy,3,3,6,0.5,0.0,0.5,1.0
hard_stale_plan_override,api_llm_plan_and_execute,3,1,3,0.3333333333333333,0.0,0.5553333333333333,0.9443333333333334
hard_stale_plan_override,api_llm_react_tool_policy,3,2,3,0.6666666666666666,0.0,0.7776666666666667,0.8333333333333334
hard_three_meeting_relay,api_llm_plan_and_execute,3,3,9,0.3333333333333333,0.0,0.3333333333333333,1.0
hard_three_meeting_relay,api_llm_react_tool_policy,3,9,9,1.0,1.0,1.0,0.9526666666666667
