repeat_id,scenario_id,agent_type,required_copresence_outcomes,accepted_copresence_outcomes,copresence_outcome_rate,full_social_success,accepted_interaction_events,message_count_to_counterparts,interact_attempt_count,target_entry_count,message_without_social_success,attempt_without_social_success,target_entry_without_social_success,legal_but_ineffective,plausible_but_unverified,task_completion,trace_feasibility,joint_success,judge_face_plausibility,judge_trace_believability,llm_calls,llm_total_tokens
1,hard_budget_entangled_meet,api_llm_react_tool_policy,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.769,0.889,0.0,0.44,0.18,10.0,87726.0
1,hard_budget_entangled_meet,api_llm_plan_and_execute,1,0,0.0,0.0,0,0,1,1,0.0,1.0,1.0,0.0,1.0,0.385,0.778,0.0,0.86,0.38,1.0,7533.0
1,hard_deadline_then_meet,api_llm_react_tool_policy,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.889,0.0,0.48,0.28,10.0,86895.0
1,hard_deadline_then_meet,api_llm_plan_and_execute,1,0,0.0,0.0,0,0,1,1,0.0,1.0,1.0,0.0,1.0,0.5,0.875,0.0,0.95,0.6,1.0,7532.0
1,hard_full_evening_chain,api_llm_react_tool_policy,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.571,0.7,0.0,0.88,0.18,11.0,98545.0
1,hard_full_evening_chain,api_llm_plan_and_execute,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.92,0.81,1.0,7465.0
1,hard_overlapping_windows,api_llm_react_tool_policy,2,1,0.5,0.0,2,0,2,2,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.9,0.45,9.0,75581.0
1,hard_overlapping_windows,api_llm_plan_and_execute,2,1,0.5,0.0,1,0,1,2,0.0,1.0,1.0,0.0,1.0,0.5,0.875,0.0,0.86,0.46,1.0,7485.0
1,hard_stale_plan_override,api_llm_react_tool_policy,1,0,0.0,0.0,0,1,4,1,1.0,1.0,1.0,0.0,1.0,0.333,0.5,0.0,0.78,0.42,9.0,76199.0
1,hard_stale_plan_override,api_llm_plan_and_execute,1,0,0.0,0.0,0,1,1,1,1.0,1.0,1.0,0.0,1.0,0.333,0.833,0.0,0.91,0.54,1.0,7245.0
1,hard_three_meeting_relay,api_llm_react_tool_policy,3,3,1.0,1.0,3,0,3,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.97,0.91,14.0,123773.0
1,hard_three_meeting_relay,api_llm_plan_and_execute,3,1,0.3333333333333333,0.0,3,0,3,3,0.0,1.0,1.0,1.0,1.0,0.333,1.0,0.0,0.8,0.45,1.0,8118.0
2,hard_budget_entangled_meet,api_llm_react_tool_policy,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.769,1.0,0.0,0.86,0.62,10.0,86596.0
2,hard_budget_entangled_meet,api_llm_plan_and_execute,1,0,0.0,0.0,1,0,1,1,0.0,1.0,1.0,0.0,1.0,0.385,0.889,0.0,0.72,0.58,1.0,7529.0
2,hard_deadline_then_meet,api_llm_react_tool_policy,1,0,0.0,0.0,0,0,0,1,0.0,0.0,1.0,0.0,1.0,0.5,0.875,0.0,0.86,0.42,9.0,78403.0
2,hard_deadline_then_meet,api_llm_plan_and_execute,1,0,0.0,0.0,1,0,1,1,0.0,1.0,1.0,0.0,1.0,0.5,0.857,0.0,0.91,0.83,1.0,7489.0
2,hard_full_evening_chain,api_llm_react_tool_policy,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.571,1.0,0.0,0.93,0.63,10.0,88012.0
2,hard_full_evening_chain,api_llm_plan_and_execute,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.91,0.55,1.0,7476.0
2,hard_overlapping_windows,api_llm_react_tool_policy,2,1,0.5,0.0,2,0,2,2,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.82,0.71,8.0,66886.0
2,hard_overlapping_windows,api_llm_plan_and_execute,2,1,0.5,0.0,1,0,1,2,0.0,1.0,1.0,0.0,1.0,0.5,0.875,0.0,0.78,0.42,1.0,7537.0
2,hard_stale_plan_override,api_llm_react_tool_policy,1,1,1.0,1.0,1,2,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.84,0.42,7.0,57731.0
2,hard_stale_plan_override,api_llm_plan_and_execute,1,1,1.0,1.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.86,0.32,1.0,7262.0
2,hard_three_meeting_relay,api_llm_react_tool_policy,3,3,1.0,1.0,3,0,4,3,0.0,0.0,0.0,0.0,0.0,1.0,0.929,0.0,0.83,0.58,14.0,124586.0
2,hard_three_meeting_relay,api_llm_plan_and_execute,3,0,0.0,0.0,3,0,3,3,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.97,0.58,1.0,8089.0
3,hard_budget_entangled_meet,api_llm_react_tool_policy,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.769,1.0,0.0,0.91,0.56,9.0,77798.0
3,hard_budget_entangled_meet,api_llm_plan_and_execute,1,0,0.0,0.0,0,0,1,1,0.0,1.0,1.0,0.0,1.0,0.385,0.778,0.0,0.93,0.31,1.0,7510.0
3,hard_deadline_then_meet,api_llm_react_tool_policy,1,0,0.0,0.0,1,0,1,1,0.0,1.0,1.0,0.0,1.0,0.5,0.9,0.0,0.87,0.56,10.0,86794.0
