scenario_id,family,agent_type,plan_plausibility,trace_feasibility,plausibility_feasibility_gap,impossible_trace_rate,city_false_continue,goal_completion,task_completion,constraint_satisfaction,process_success,feasibility_violation,replanning_success,travel_efficiency,budget_consistency,intention_consistency,social_appropriateness,done_state_loop_rate,social_derailment_rate,final_time,final_location,final_budget,violations,failure_taxonomy,llm_calls,llm_latency_seconds,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_usage_complete
social_copresence_decoy_location,social_outcome,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:35,quiet_cafe,6.0,0,{},7,36.128,56694,440,57134,True
social_copresence_decoy_location,social_outcome,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:43,quiet_cafe,6.0,0,{},1,7.759,6871,278,7149,True
social_copresence_event_window,social_outcome,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,16:30,market,2.0,0,{},6,28.224,47047,427,47474,True
social_copresence_event_window,social_outcome,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,16:36,market,2.0,0,{},1,6.397,6864,226,7090,True
social_copresence_message_gated,social_outcome,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:40,quiet_cafe,6.0,0,{},7,31.537,56685,442,57127,True
social_copresence_message_gated,social_outcome,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:48,quiet_cafe,6.0,0,{},1,8.148,6867,292,7159,True
social_copresence_open_meet,social_outcome,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:40,park,16.0,0,{},5,19.267,39247,299,39546,True
social_copresence_open_meet,social_outcome,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:41,park,16.0,0,{},1,5.987,6808,212,7020,True
social_copresence_two_party,social_outcome,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,13:22,cafe_central,8.0,0,{},10,42.474,82831,680,83511,True
social_copresence_two_party,social_outcome,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,0.7,0.5,1.0,,0.0,,1.0,1.0,0.7,0.5,0.0,1.0,13:37,cafe_central,8.0,0,"{""goal_drift"": 1, ""social_derailment"": 1}",1,8.98,7064,381,7445,True
social_copresence_with_errand,social_outcome,api_llm_react_tool_policy,1.0,0.75,0.25,0.25,1.0,0.6,1.0,0.0,,0.25,,1.0,0.0,0.45,1.0,1.0,0.0,17:52,market,-5.0,2,"{""done_state_loop"": 1, ""invalid_state_transition"": 1, ""money_budget_failure"": 1}",9,41.027,74457,684,75141,True
social_copresence_with_errand,social_outcome,api_llm_plan_and_execute,1.0,0.857,0.143,0.143,1.0,0.8,1.0,0.5,,0.143,,1.0,1.0,0.686,1.0,0.0,0.0,18:00,market,9.0,1,"{""money_budget_failure"": 1}",1,26.309,6864,309,7173,True
