scenario_id,agent_type,n,task_completion_mean,task_completion_std,goal_completion_mean,goal_completion_std,trace_feasibility_mean,trace_feasibility_std,intention_consistency_mean,intention_consistency_std,judge_face_plausibility_mean,judge_face_plausibility_std,judge_trace_believability_mean,judge_trace_believability_std,face_believability_gap_mean,face_believability_gap_std,impossible_trace_rate_mean,impossible_trace_rate_std,done_state_loop_rate_mean,done_state_loop_rate_std,social_derailment_rate_mean,social_derailment_rate_std,constraint_satisfaction_mean,constraint_satisfaction_std,plan_plausibility_mean,plan_plausibility_std,plausibility_feasibility_gap_mean,plausibility_feasibility_gap_std,travel_efficiency_mean,travel_efficiency_std,budget_consistency_mean,budget_consistency_std,social_appropriateness_mean,social_appropriateness_std,feasibility_violation_mean,feasibility_violation_std,city_false_continue_mean,city_false_continue_std,face_feasibility_gap_mean,face_feasibility_gap_std,route_interruption_count_mean,route_interruption_count_std,verified_replan_count_mean,verified_replan_count_std,llm_calls_mean,llm_calls_std,llm_latency_seconds_mean,llm_latency_seconds_std,llm_total_tokens_mean,llm_total_tokens_std,judge_rationale_alignment_mean,judge_rationale_alignment_std,judge_urban_common_sense_mean,judge_urban_common_sense_std
social_copresence_decoy_location,api_llm_plan_and_execute,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.963,0.015,0.867,0.031,0.097,0.021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.931,0.154,7151.333,4.041,0.973,0.006,0.88,0.0
social_copresence_decoy_location,api_llm_react_tool_policy,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.937,0.012,0.837,0.101,0.1,0.113,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,31.775,4.066,57165.667,32.532,0.98,0.0,0.87,0.036
social_copresence_event_window,api_llm_plan_and_execute,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.873,0.042,0.547,0.15,0.327,0.167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.35,0.042,7093.667,9.074,0.89,0.05,0.687,0.107
social_copresence_event_window,api_llm_react_tool_policy,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.82,0.04,0.687,0.031,0.133,0.012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,28.439,3.072,47517.667,73.05,0.91,0.01,0.727,0.023
social_copresence_message_gated,api_llm_plan_and_execute,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.947,0.031,0.78,0.08,0.167,0.076,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.571,0.525,7148.0,14.933,0.96,0.0,0.88,0.035
social_copresence_message_gated,api_llm_react_tool_policy,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.953,0.031,0.787,0.07,0.167,0.101,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,31.866,0.559,57267.333,123.419,0.95,0.02,0.85,0.036
social_copresence_open_meet,api_llm_plan_and_execute,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.967,0.012,0.917,0.031,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.001,0.034,7012.667,8.737,0.98,0.01,0.95,0.02
social_copresence_open_meet,api_llm_react_tool_policy,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.957,0.006,0.723,0.055,0.233,0.055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333,0.577,22.285,3.958,42225.0,4573.642,0.957,0.023,0.853,0.064
social_copresence_two_party,api_llm_plan_and_execute,3,0.5,0.0,0.567,0.115,0.884,0.111,0.509,0.167,0.893,0.049,0.387,0.055,0.507,0.091,0.116,0.111,0.0,0.0,1.0,0.0,0.667,0.289,1.0,0.0,0.116,0.111,1.0,0.0,1.0,0.0,0.5,0.0,0.116,0.111,0.0,0.0,0.027,0.047,0.0,0.0,0.0,0.0,1.0,0.0,11.937,4.849,7452.333,8.737,0.887,0.012,0.753,0.076
social_copresence_two_party,api_llm_react_tool_policy,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.907,0.045,0.687,0.151,0.22,0.121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.333,1.155,43.306,7.443,77823.0,9782.705,0.907,0.021,0.767,0.122
social_copresence_with_errand,api_llm_plan_and_execute,3,1.0,0.0,0.8,0.0,0.857,0.0,0.686,0.0,0.817,0.112,0.49,0.114,0.327,0.131,0.143,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.143,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.143,0.0,1.0,0.0,0.028,0.048,0.0,0.0,0.0,0.0,1.0,0.0,14.13,10.552,7176.333,4.163,0.803,0.112,0.767,0.023
social_copresence_with_errand,api_llm_react_tool_policy,3,1.0,0.0,0.6,0.0,0.75,0.0,0.45,0.0,0.68,0.115,0.257,0.097,0.423,0.021,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.007,0.012,0.0,0.0,0.0,0.0,9.0,0.0,41.312,1.593,75159.667,28.937,0.603,0.139,0.42,0.111
