scenario_id,agent_type,n_repeats,accepted_copresence_outcomes,required_copresence_outcomes,copresence_outcome_rate,social_pass_k,mean_task_completion,mean_trace_feasibility
social_copresence_decoy_location,api_llm_plan_and_execute,3,3,3,1.0,1.0,1.0,1.0
social_copresence_decoy_location,api_llm_react_tool_policy,3,3,3,1.0,1.0,1.0,1.0
social_copresence_event_window,api_llm_plan_and_execute,3,3,3,1.0,1.0,1.0,1.0
social_copresence_event_window,api_llm_react_tool_policy,3,3,3,1.0,1.0,1.0,1.0
social_copresence_message_gated,api_llm_plan_and_execute,3,3,3,1.0,1.0,1.0,1.0
social_copresence_message_gated,api_llm_react_tool_policy,3,3,3,1.0,1.0,1.0,1.0
social_copresence_open_meet,api_llm_plan_and_execute,3,3,3,1.0,1.0,1.0,1.0
social_copresence_open_meet,api_llm_react_tool_policy,3,3,3,1.0,1.0,1.0,1.0
social_copresence_two_party,api_llm_plan_and_execute,3,3,6,0.5,0.0,0.5,0.8843333333333333
social_copresence_two_party,api_llm_react_tool_policy,3,6,6,1.0,1.0,1.0,1.0
social_copresence_with_errand,api_llm_plan_and_execute,3,3,3,1.0,1.0,1.0,0.8569999999999999
social_copresence_with_errand,api_llm_react_tool_policy,3,3,3,1.0,1.0,1.0,0.75
