repeat_id,scenario_id,agent_type,required_copresence_outcomes,accepted_copresence_outcomes,copresence_outcome_rate,full_social_success,accepted_interaction_events,message_count_to_counterparts,interact_attempt_count,target_entry_count,message_without_social_success,attempt_without_social_success,target_entry_without_social_success,legal_but_ineffective,plausible_but_unverified,task_completion,trace_feasibility,joint_success,judge_face_plausibility,judge_trace_believability,llm_calls,llm_total_tokens
1,social_copresence_decoy_location,api_llm_react_tool_policy,1,1,1.0,1.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.93,0.89,7.0,57134.0
1,social_copresence_decoy_location,api_llm_plan_and_execute,1,1,1.0,1.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.98,0.9,1.0,7149.0
1,social_copresence_event_window,api_llm_react_tool_policy,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.82,0.68,6.0,47474.0
1,social_copresence_event_window,api_llm_plan_and_execute,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.86,0.72,1.0,7090.0
1,social_copresence_message_gated,api_llm_react_tool_policy,1,1,1.0,1.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.92,0.86,7.0,57127.0
1,social_copresence_message_gated,api_llm_plan_and_execute,1,1,1.0,1.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.92,0.7,1.0,7159.0
1,social_copresence_open_meet,api_llm_react_tool_policy,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.96,0.78,5.0,39546.0
1,social_copresence_open_meet,api_llm_plan_and_execute,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.98,0.95,1.0,7020.0
1,social_copresence_two_party,api_llm_react_tool_policy,2,2,1.0,1.0,3,0,3,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.86,0.62,10.0,83511.0
1,social_copresence_two_party,api_llm_plan_and_execute,2,1,0.5,0.0,2,0,2,2,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.95,0.36,1.0,7445.0
1,social_copresence_with_errand,api_llm_react_tool_policy,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.55,0.15,9.0,75141.0
1,social_copresence_with_errand,api_llm_plan_and_execute,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.857,0.0,0.72,0.54,1.0,7173.0
2,social_copresence_decoy_location,api_llm_react_tool_policy,1,1,1.0,1.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.93,0.9,7.0,57164.0
2,social_copresence_decoy_location,api_llm_plan_and_execute,1,1,1.0,1.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.95,0.86,1.0,7156.0
2,social_copresence_event_window,api_llm_react_tool_policy,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.78,0.66,6.0,47602.0
2,social_copresence_event_window,api_llm_plan_and_execute,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.92,0.46,1.0,7087.0
2,social_copresence_message_gated,api_llm_react_tool_policy,1,1,1.0,1.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.98,0.72,7.0,57316.0
2,social_copresence_message_gated,api_llm_plan_and_execute,1,1,1.0,1.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.94,0.86,1.0,7131.0
2,social_copresence_open_meet,api_llm_react_tool_policy,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.95,0.72,5.0,39623.0
2,social_copresence_open_meet,api_llm_plan_and_execute,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.96,0.91,1.0,7003.0
2,social_copresence_two_party,api_llm_react_tool_policy,2,2,1.0,1.0,2,0,2,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.95,0.86,8.0,66527.0
2,social_copresence_two_party,api_llm_plan_and_execute,2,1,0.5,0.0,1,0,1,2,0.0,1.0,1.0,0.0,1.0,0.5,0.875,0.0,0.87,0.35,1.0,7462.0
2,social_copresence_with_errand,api_llm_react_tool_policy,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.72,0.28,9.0,75145.0
2,social_copresence_with_errand,api_llm_plan_and_execute,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.857,0.0,0.79,0.36,1.0,7175.0
3,social_copresence_decoy_location,api_llm_react_tool_policy,1,1,1.0,1.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.95,0.72,7.0,57199.0
3,social_copresence_decoy_location,api_llm_plan_and_execute,1,1,1.0,1.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.96,0.84,1.0,7149.0
3,social_copresence_event_window,api_llm_react_tool_policy,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.86,0.72,6.0,47477.0
3,social_copresence_event_window,api_llm_plan_and_execute,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.84,0.46,1.0,7104.0
3,social_copresence_message_gated,api_llm_react_tool_policy,1,1,1.0,1.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.96,0.78,7.0,57359.0
3,social_copresence_message_gated,api_llm_plan_and_execute,1,1,1.0,1.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.98,0.78,1.0,7154.0
3,social_copresence_open_meet,api_llm_react_tool_policy,1,1,1.0,1.0,2,0,2,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.96,0.67,6.0,47506.0
3,social_copresence_open_meet,api_llm_plan_and_execute,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.96,0.89,1.0,7015.0
3,social_copresence_two_party,api_llm_react_tool_policy,2,2,1.0,1.0,2,1,2,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.91,0.58,10.0,83431.0
3,social_copresence_two_party,api_llm_plan_and_execute,2,1,0.5,0.0,1,0,2,2,0.0,1.0,1.0,0.0,1.0,0.5,0.778,0.0,0.86,0.45,1.0,7450.0
3,social_copresence_with_errand,api_llm_react_tool_policy,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.77,0.34,9.0,75193.0
3,social_copresence_with_errand,api_llm_plan_and_execute,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.857,0.0,0.94,0.57,1.0,7181.0
