agent_type,display_name,agent_family,source_archive,failure,count,events_per_trace
api_llm_react_tool_policy,ReAct-style tool-use policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6hardx3_gpt54mini_2026-07-09,done_state_loop,6,0.333
api_llm_react_tool_policy,ReAct-style tool-use policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6hardx3_gpt54mini_2026-07-09,goal_drift,3,0.167
api_llm_react_tool_policy,ReAct-style tool-use policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6hardx3_gpt54mini_2026-07-09,invalid_state_transition,14,0.778
api_llm_react_tool_policy,ReAct-style tool-use policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6hardx3_gpt54mini_2026-07-09,money_budget_failure,1,0.056
api_llm_react_tool_policy,ReAct-style tool-use policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6hardx3_gpt54mini_2026-07-09,plausible_but_invalid_rationale,1,0.056
api_llm_react_tool_policy,ReAct-style tool-use policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6hardx3_gpt54mini_2026-07-09,social_derailment,10,0.556
api_llm_plan_and_execute,Plan-and-Execute policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6hardx3_gpt54mini_2026-07-09,goal_drift,3,0.167
api_llm_plan_and_execute,Plan-and-Execute policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6hardx3_gpt54mini_2026-07-09,invalid_state_transition,5,0.278
api_llm_plan_and_execute,Plan-and-Execute policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6hardx3_gpt54mini_2026-07-09,money_budget_failure,1,0.056
api_llm_plan_and_execute,Plan-and-Execute policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6hardx3_gpt54mini_2026-07-09,social_derailment,10,0.556
api_llm_plan_and_execute,Plan-and-Execute policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6hardx3_gpt54mini_2026-07-09,time_budget_failure,7,0.389
gatsim_official_planner,GATSim adapted planner,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6hardx3_gpt54mini_2026-07-10,goal_drift,3,0.167
gatsim_official_planner,GATSim adapted planner,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6hardx3_gpt54mini_2026-07-10,invalid_state_transition,12,0.667
gatsim_official_planner,GATSim adapted planner,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6hardx3_gpt54mini_2026-07-10,social_derailment,3,0.167
agentsociety_official_plan_blocks,AgentSociety plan-block adapter,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6hardx3_gpt54mini_2026-07-10,goal_drift,5,0.278
agentsociety_official_plan_blocks,AgentSociety plan-block adapter,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6hardx3_gpt54mini_2026-07-10,invalid_state_transition,16,0.889
