agent_type,display_name,agent_family,source_archive,failure,count,events_per_trace
api_llm_react_tool_policy,ReAct-style tool-use policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6socialx3_gpt54mini_2026-07-07,done_state_loop,3,0.167
api_llm_react_tool_policy,ReAct-style tool-use policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6socialx3_gpt54mini_2026-07-07,invalid_state_transition,3,0.167
api_llm_react_tool_policy,ReAct-style tool-use policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6socialx3_gpt54mini_2026-07-07,money_budget_failure,3,0.167
api_llm_plan_and_execute,Plan-and-Execute policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6socialx3_gpt54mini_2026-07-07,goal_drift,1,0.056
api_llm_plan_and_execute,Plan-and-Execute policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6socialx3_gpt54mini_2026-07-07,invalid_state_transition,1,0.056
api_llm_plan_and_execute,Plan-and-Execute policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6socialx3_gpt54mini_2026-07-07,money_budget_failure,3,0.167
api_llm_plan_and_execute,Plan-and-Execute policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6socialx3_gpt54mini_2026-07-07,social_derailment,3,0.167
api_llm_plan_and_execute,Plan-and-Execute policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6socialx3_gpt54mini_2026-07-07,time_budget_failure,2,0.111
gatsim_official_planner,GATSim adapted planner,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,impossible_route,1,0.056
gatsim_official_planner,GATSim adapted planner,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,invalid_state_transition,26,1.444
gatsim_official_planner,GATSim adapted planner,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,money_budget_failure,3,0.167
gatsim_official_planner,GATSim adapted planner,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,time_budget_failure,2,0.111
agentsociety_official_plan_blocks,AgentSociety plan-block adapter,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,goal_drift,2,0.111
agentsociety_official_plan_blocks,AgentSociety plan-block adapter,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,invalid_state_transition,21,1.167
agentsociety_official_plan_blocks,AgentSociety plan-block adapter,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,money_budget_failure,30,1.667
agentsociety_official_plan_blocks,AgentSociety plan-block adapter,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,social_derailment,1,0.056
agentsociety_official_plan_blocks,AgentSociety plan-block adapter,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,time_budget_failure,8,0.444
generative_agents_official_planner,Generative Agents adapted planner,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,goal_drift,1,0.056
generative_agents_official_planner,Generative Agents adapted planner,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,impossible_route,14,0.778
generative_agents_official_planner,Generative Agents adapted planner,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,invalid_state_transition,4,0.222
generative_agents_official_planner,Generative Agents adapted planner,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,money_budget_failure,26,1.444
generative_agents_official_planner,Generative Agents adapted planner,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,social_derailment,2,0.111
generative_agents_official_planner,Generative Agents adapted planner,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,time_budget_failure,2,0.111
sotopia_official_llm_agent,SOTOPIA-style LLMAgent adapter,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,done_state_loop,1,0.056
sotopia_official_llm_agent,SOTOPIA-style LLMAgent adapter,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,goal_drift,11,0.611
sotopia_official_llm_agent,SOTOPIA-style LLMAgent adapter,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,invalid_state_transition,9,0.5
