scenario_id,agent_type,display_name,agent_family,source_archive,n_repeats,accepted_copresence_outcomes,required_copresence_outcomes,accepted_over_required,copresence_outcome_rate,social_pass_k,mean_task_completion,mean_trace_feasibility
social_copresence_decoy_location,api_llm_react_tool_policy,ReAct-style tool-use policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6socialx3_gpt54mini_2026-07-07,3,3,3,3/3,1.0,1.0,1.0,1.0
social_copresence_decoy_location,api_llm_plan_and_execute,Plan-and-Execute policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6socialx3_gpt54mini_2026-07-07,3,3,3,3/3,1.0,1.0,1.0,1.0
social_copresence_decoy_location,gatsim_official_planner,GATSim adapted planner,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,3,0,3,0/3,0.0,0.0,0.0,0.4000000000000001
social_copresence_decoy_location,agentsociety_official_plan_blocks,AgentSociety plan-block adapter,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,3,0,3,0/3,0.0,0.0,0.308,0.525
social_copresence_decoy_location,generative_agents_official_planner,Generative Agents adapted planner,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,3,1,3,1/3,0.3333333333333333,0.0,0.5386666666666667,0.726
social_copresence_decoy_location,sotopia_official_llm_agent,SOTOPIA-style LLMAgent adapter,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,3,0,3,0/3,0.0,0.0,0.308,1.0
social_copresence_event_window,api_llm_react_tool_policy,ReAct-style tool-use policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6socialx3_gpt54mini_2026-07-07,3,3,3,3/3,1.0,1.0,1.0,1.0
social_copresence_event_window,api_llm_plan_and_execute,Plan-and-Execute policy,paper_backed_execution_baseline,6-city/results/cityintent_v1_rc1/paper_backed_baselines_2x6socialx3_gpt54mini_2026-07-07,3,3,3,3/3,1.0,1.0,1.0,1.0
social_copresence_event_window,gatsim_official_planner,GATSim adapted planner,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,3,3,3,3/3,1.0,1.0,1.0,1.0
social_copresence_event_window,agentsociety_official_plan_blocks,AgentSociety plan-block adapter,adapted_official_decision_layer,6-city/results/cityintent_v1_rc1/external_frameworks_4x6socialx1_gpt54mini_2026-07-06,3,0,3,0/3,0.0,0.0,0.0,0.5333333333333333
