scenario_id,family,agent_type,plan_plausibility,trace_feasibility,plausibility_feasibility_gap,impossible_trace_rate,city_false_continue,goal_completion,task_completion,constraint_satisfaction,process_success,feasibility_violation,replanning_success,travel_efficiency,budget_consistency,intention_consistency,social_appropriateness,done_state_loop_rate,social_derailment_rate,final_time,final_location,final_budget,violations,failure_taxonomy,llm_calls,llm_latency_seconds,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_usage_complete
avoid_crowd_event,preference_constraint,utility_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,,0.0,0.0,18:42,market,0.0,0,{},0,0,0,0,0,False
avoid_crowd_event,preference_constraint,llm_direct_actor,1.0,1.0,0.0,0.0,0.0,0.7,0.5,1.0,,0.0,,1.0,1.0,0.7,,0.0,0.0,18:26,market,0.0,0,"{""goal_drift"": 1}",0,0,0,0,0,False
avoid_crowd_event,preference_constraint,reactive_replanner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,,0.0,0.0,18:42,market,0.0,0,{},0,0,0,0,0,False
avoid_crowd_event,preference_constraint,memory_reflection,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,,0.0,0.0,18:42,market,0.0,0,{},0,0,0,0,0,False
budget_errand_chain,budget_constraint,utility_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,,0.0,0.0,18:21,home_aria,3.0,0,{},0,0,0,0,0,False
budget_errand_chain,budget_constraint,llm_direct_actor,1.0,1.0,0.0,0.0,0.0,0.75,0.667,1.0,,0.0,,0.866,1.0,0.75,,0.0,0.0,18:15,home_aria,9.0,0,{},0,0,0,0,0,False
budget_errand_chain,budget_constraint,reactive_replanner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,,0.0,0.0,18:21,home_aria,3.0,0,{},0,0,0,0,0,False
budget_errand_chain,budget_constraint,memory_reflection,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,,0.0,0.0,18:21,home_aria,3.0,0,{},0,0,0,0,0,False
closed_poi_replacement,poi_closure,utility_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,,0.0,0.0,16:34,bookstore,9.0,0,{},0,0,0,0,0,False
closed_poi_replacement,poi_closure,llm_direct_actor,1.0,0.125,0.875,0.875,1.0,0.25,0.0,1.0,,0.875,,1.0,1.0,0.031,,0.0,0.0,15:38,library,16.0,7,"{""closed_place_action"": 7}",0,0,0,0,0,False
