audit_id,image_filename,source,zip_member,zip_crc32,zip_uncompressed_bytes,audit_copy
WC-AUD-001,Q7592992_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q7592992_wd0.jpg,5f4b147a,1592192,WC-AUD-001.jpg
WC-AUD-002,Q269654_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q269654_wd0.jpg,7b42957c,1323870,WC-AUD-002.jpg
WC-AUD-003,Q1244300_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q1244300_wd0.jpg,4843c179,1314384,WC-AUD-003.jpg
WC-AUD-004,Q24254219_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q24254219_wd0.jpg,3f304f58,1418030,WC-AUD-004.jpg
WC-AUD-005,Q571958_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q571958_wd0.jpg,fa7b10e9,1617582,WC-AUD-005.jpg
WC-AUD-006,Q3585960_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q3585960_wd0.jpg,f7a0fe1b,1614946,WC-AUD-006.jpg
WC-AUD-007,Q19961145_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q19961145_wd0.jpg,b699e6a3,485007,WC-AUD-007.jpg
WC-AUD-008,Q1191343_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q1191343_wd0.jpg,0ad615df,1455464,WC-AUD-008.jpg
WC-AUD-009,Q671066_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q671066_wd0.jpg,7cc43414,1673954,WC-AUD-009.jpg
WC-AUD-010,Q2321838_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q2321838_wd0.jpg,9154a173,158737,WC-AUD-010.jpg
WC-AUD-011,Q289414_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q289414_wd0.jpg,b3757851,1359303,WC-AUD-011.jpg
WC-AUD-012,Q1351448_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q1351448_wd0.jpg,6ee21c34,1335151,WC-AUD-012.jpg
WC-AUD-013,Q5886455_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q5886455_wd0.jpg,9c604418,122678,WC-AUD-013.jpg
WC-AUD-014,Q579004_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q579004_wd0.jpg,73066bb7,953906,WC-AUD-014.jpg
WC-AUD-015,Q1424095_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q1424095_wd0.jpg,58b3f872,1120578,WC-AUD-015.jpg
WC-AUD-016,Q1736223_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q1736223_wd0.jpg,7f4098ae,1068085,WC-AUD-016.jpg
WC-AUD-017,Q1165020_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q1165020_wd0.jpg,25cfdd7f,1548367,WC-AUD-017.jpg
WC-AUD-018,Q15978817_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q15978817_wd0.jpg,a328dcb0,431661,WC-AUD-018.jpg
WC-AUD-019,Q253935_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q253935_wd0.jpg,fa3ce7e4,184954,WC-AUD-019.jpg
WC-AUD-020,Q745460_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q745460_wd0.jpg,9d33597e,1664942,WC-AUD-020.jpg
WC-AUD-021,Q2320318_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q2320318_wd0.jpg,f712a65a,1608104,WC-AUD-021.jpg
WC-AUD-022,Q1795397_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q1795397_wd0.jpg,6e90f552,1529306,WC-AUD-022.jpg
WC-AUD-023,Q999637_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q999637_wd0.jpg,bc17a867,1615267,WC-AUD-023.jpg
WC-AUD-024,Q1502706_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q1502706_wd0.jpg,6aba845f,1285162,WC-AUD-024.jpg
WC-AUD-025,Q2640697_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q2640697_wd0.jpg,5d7e189d,1990679,WC-AUD-025.jpg
WC-AUD-026,Q2981_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q2981_wd0.jpg,dfb47344,1835352,WC-AUD-026.jpg
WC-AUD-027,Q2320951_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q2320951_wd0.jpg,f85a1402,1502257,WC-AUD-027.jpg
WC-AUD-028,Q526047_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q526047_wd0.jpg,7d2d80f0,144498,WC-AUD-028.jpg
WC-AUD-029,Q30274936_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q30274936_wd0.jpg,80038a46,2042652,WC-AUD-029.jpg
WC-AUD-030,Q2301521_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q2301521_wd0.jpg,1dcbba8a,1547306,WC-AUD-030.jpg
WC-AUD-031,Q588559_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q588559_wd0.jpg,651db665,1382185,WC-AUD-031.jpg
WC-AUD-032,Q2002407_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q2002407_wd0.jpg,9a606065,1574961,WC-AUD-032.jpg
WC-AUD-033,Q2419151_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q2419151_wd0.jpg,44286f19,565773,WC-AUD-033.jpg
WC-AUD-034,Q15953984_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q15953984_wd0.jpg,9ac1d452,1517449,WC-AUD-034.jpg
WC-AUD-035,Q1537302_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q1537302_wd0.jpg,cc9c796a,2383771,WC-AUD-035.jpg
WC-AUD-036,Q11947200_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q11947200_wd0.jpg,9465f3e3,1020221,WC-AUD-036.jpg
WC-AUD-037,Q794876_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q794876_wd0.jpg,9d018013,1876898,WC-AUD-037.jpg
WC-AUD-038,Q3581911_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q3581911_wd0.jpg,5bbaa253,1850326,WC-AUD-038.jpg
WC-AUD-039,Q3580966_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q3580966_wd0.jpg,ba5647d1,1662062,WC-AUD-039.jpg
