audit_id,image_filename,assigned_style,sample_type
WC-AUD-001,Q7592992_wd0.jpg,Romanesque,core
WC-AUD-002,Q269654_wd0.jpg,Gothic,core
WC-AUD-003,Q1244300_wd0.jpg,Romanesque,core
WC-AUD-004,Q24254219_wd0.jpg,Baroque,core
WC-AUD-005,Q571958_wd0.jpg,Baroque,core
WC-AUD-006,Q3585960_wd0.jpg,Renaissance,core
WC-AUD-007,Q19961145_wd0.jpg,Baroque,core
WC-AUD-008,Q1191343_wd0.jpg,Baroque,core
WC-AUD-009,Q671066_wd0.jpg,Gothic,core
WC-AUD-010,Q2321838_wd0.jpg,Romanesque,core
WC-AUD-011,Q289414_wd0.jpg,Renaissance,stress
WC-AUD-012,Q1351448_wd0.jpg,Baroque,core
WC-AUD-013,Q5886455_wd0.jpg,Gothic,core
WC-AUD-014,Q579004_wd0.jpg,Romanesque,stress
WC-AUD-015,Q1424095_wd0.jpg,Renaissance,core
WC-AUD-016,Q1736223_wd0.jpg,Gothic,stress
WC-AUD-017,Q1165020_wd0.jpg,Renaissance,core
WC-AUD-018,Q15978817_wd0.jpg,Romanesque,stress
WC-AUD-019,Q253935_wd0.jpg,Romanesque,core
WC-AUD-020,Q745460_wd0.jpg,Romanesque,stress
WC-AUD-021,Q2320318_wd0.jpg,Baroque,core
WC-AUD-022,Q1795397_wd0.jpg,Baroque,core
WC-AUD-023,Q999637_wd0.jpg,Baroque,core
WC-AUD-024,Q1502706_wd0.jpg,Baroque,stress
WC-AUD-025,Q2640697_wd0.jpg,Gothic,core
WC-AUD-026,Q2981_wd0.jpg,Gothic,core
WC-AUD-027,Q2320951_wd0.jpg,Gothic,core
WC-AUD-028,Q526047_wd0.jpg,Romanesque,core
WC-AUD-029,Q30274936_wd0.jpg,Romanesque,core
WC-AUD-030,Q2301521_wd0.jpg,Renaissance,core
WC-AUD-031,Q588559_wd0.jpg,Renaissance,core
WC-AUD-032,Q2002407_wd0.jpg,Romanesque,core
WC-AUD-033,Q2419151_wd0.jpg,Gothic,core
WC-AUD-034,Q15953984_wd0.jpg,Gothic,stress
WC-AUD-035,Q1537302_wd0.jpg,Romanesque,core
WC-AUD-036,Q11947200_wd0.jpg,Romanesque,core
WC-AUD-037,Q794876_wd0.jpg,Renaissance,stress
WC-AUD-038,Q3581911_wd0.jpg,Romanesque,core
WC-AUD-039,Q3580966_wd0.jpg,Gothic,core
WC-AUD-040,Q207985_wd0.jpg,Gothic,core
WC-AUD-041,Q505065_wd0.jpg,Gothic,core
WC-AUD-042,Q2034923_wd0.jpg,Romanesque,core
WC-AUD-043,Q206823_wd0.jpg,Gothic,core
WC-AUD-044,Q719794_wd0.jpg,Renaissance,core
WC-AUD-045,Q2315800_wd0.jpg,Gothic,core
WC-AUD-046,Q674472_wd0.jpg,Baroque,stress
WC-AUD-047,Q3585324_wd0.jpg,Renaissance,core
WC-AUD-048,Q3670352_wd0.jpg,Renaissance,core
WC-AUD-049,Q106934_wd0.jpg,Gothic,stress
WC-AUD-050,Q2713844_wd0.jpg,Romanesque,core
