seed,shots,method,zero_shot_test_accuracy,tip_adapter_test_accuracy,final_val_accuracy,final_test_accuracy,best_epoch,best_alpha,best_beta
1,1,tip_adapter_f,48.34567901234568,64.20987654320987,64.64814814814815,65.51851851851852,13,0.595,7.7755
1,1,toga,48.34567901234568,64.20987654320987,66.14814814814815,66.76543209876543,30,0.595,4.0865
2,1,tip_adapter_f,48.34567901234568,59.074074074074076,68.83333333333333,69.76543209876543,61,8.515,0.4570000000000001
2,1,toga,48.34567901234568,59.074074074074076,58.925925925925924,59.80246913580247,2,2.575,11.167
3,1,tip_adapter_f,48.34567901234568,63.641975308641975,70.46296296296296,70.8641975308642,12,0.595,7.1805
3,1,toga,48.34567901234568,63.641975308641975,68.18518518518519,68.90123456790124,32,0.595,3.9080000000000004
1,2,tip_adapter_f,48.34567901234568,70.37037037037037,71.07407407407408,71.22222222222223,9,5.545,1.1115000000000002
1,2,toga,48.34567901234568,70.37037037037037,70.9074074074074,71.12345679012346,42,5.05,1.4090000000000003
2,2,tip_adapter_f,48.34567901234568,66.29629629629629,77.72222222222223,77.69135802469135,42,1.09,4.979
2,2,toga,48.34567901234568,66.29629629629629,73.81481481481481,73.88888888888889,7,1.09,7.597
3,2,tip_adapter_f,48.34567901234568,74.67901234567901,77.64814814814815,78.04938271604938,45,4.555,1.885
3,2,toga,48.34567901234568,74.67901234567901,76.57407407407408,77.06172839506173,65,5.05,1.885
1,4,tip_adapter_f,48.34567901234568,71.20987654320987,77.77777777777777,78.54320987654322,12,1.09,2.0635
1,4,toga,48.34567901234568,71.20987654320987,77.62962962962963,78.4074074074074,42,1.5850000000000002,0.5165
2,4,tip_adapter_f,48.34567901234568,75.07407407407408,77.53703703703704,78.79012345679013,34,1.09,0.8735
2,4,toga,48.34567901234568,75.07407407407408,79.38888888888889,80.66666666666667,25,1.09,0.7545000000000001
3,4,tip_adapter_f,48.34567901234568,66.74074074074075,78.27777777777777,79.11111111111111,46,1.5850000000000002,0.6355000000000001
3,4,toga,48.34567901234568,66.74074074074075,77.94444444444444,78.79012345679013,38,1.5850000000000002,1.3495000000000001
1,8,tip_adapter_f,48.34567901234568,71.8395061728395,82.98148148148148,82.8395061728395,30,0.595,1.8255000000000001
1,8,toga,48.34567901234568,71.8395061728395,83.16666666666667,82.90123456790124,35,4.555,0.1595
2,8,tip_adapter_f,48.34567901234568,71.81481481481481,80.03703703703704,80.25925925925925,34,0.595,0.8140000000000001
2,8,toga,48.34567901234568,71.81481481481481,81.51851851851852,82.11111111111111,23,1.09,0.6355000000000001
3,8,tip_adapter_f,48.34567901234568,76.71604938271605,85.87037037037037,85.87654320987654,28,5.545,0.1
3,8,toga,48.34567901234568,76.71604938271605,85.85185185185185,85.71604938271605,28,7.029999999999999,0.1
1,16,tip_adapter_f,48.34567901234568,77.98765432098766,86.5,87.33333333333333,46,4.06,0.1595
1,16,toga,48.34567901234568,77.98765432098766,87.96296296296296,88.53086419753086,18,2.575,0.39749999999999996
2,16,tip_adapter_f,48.34567901234568,76.28395061728395,87.0925925925926,88.11111111111111,73,3.0700000000000003,0.21900000000000003
2,16,toga,48.34567901234568,76.28395061728395,87.72222222222223,88.5925925925926,67,6.535,0.1
3,16,tip_adapter_f,48.34567901234568,74.4074074074074,89.07407407407408,89.17283950617283,68,4.555,0.1
3,16,toga,48.34567901234568,74.4074074074074,89.79629629629629,89.65432098765432,61,1.5850000000000002,0.7545000000000001
