shots,method,mean_test_accuracy,sd_test_accuracy,paper_accuracy,gap_to_paper,seed_values
1,tip_adapter_f,68.71604938271605,2.823114253677251,59.5,9.21604938271605,65.518519;69.765432;70.864198
1,toga,65.15637860082305,4.7580114508604705,67.4,-2.243621399176959,66.765432;59.802469;68.901235
2,tip_adapter_f,75.65432098765432,3.8424822731945047,66.1,9.554320987654322,71.222222;77.691358;78.049383
2,toga,74.0246913580247,2.971464141878814,74.9,-0.8753086419753089,71.123457;73.888889;77.061728
4,tip_adapter_f,78.81481481481482,0.2847546319671788,74.1,4.7148148148148294,78.543210;78.790123;79.111111
4,toga,79.2880658436214,1.2091414580559225,80.3,-1.0119341563786008,78.407407;80.666667;78.790123
8,tip_adapter_f,82.9917695473251,2.8117357356040698,77.9,5.0917695473251,82.839506;80.259259;85.876543
8,toga,83.5761316872428,1.894863999550403,84.1,-0.5238683127571875,82.901235;82.111111;85.716049
16,tip_adapter_f,88.20576131687243,0.9233984709033559,84.5,3.705761316872426,87.333333;88.111111;89.172840
16,toga,88.92592592592592,0.6315632376507957,89.4,-0.47407407407408186,88.530864;88.592593;89.654321
