seed	shots	method	start	end	elapsed_seconds	exit_code
1	1	tip_adapter_f	REUSED	REUSED	0	0
1	1	toga	REUSED	REUSED	0	0
2	1	tip_adapter_f	REUSED	REUSED	0	0
2	1	toga	REUSED	REUSED	0	0
3	1	tip_adapter_f	2026-07-27T09:49:53+00:00	2026-07-27T09:50:55+00:00	62	0
3	1	toga	2026-07-27T09:50:55+00:00	2026-07-27T09:59:34+00:00	519	0
1	2	tip_adapter_f	REUSED	REUSED	0	0
1	2	toga	REUSED	REUSED	0	0
2	2	tip_adapter_f	2026-07-27T09:24:06+00:00	2026-07-27T09:24:42+00:00	36	0
2	2	toga	2026-07-27T09:24:42+00:00	2026-07-27T09:41:57+00:00	1035	0
3	2	tip_adapter_f	2026-07-27T09:53:32+00:00	2026-07-27T09:54:59+00:00	87	0
3	2	toga	2026-07-27T09:54:59+00:00	2026-07-27T10:05:42+00:00	643	0
1	4	tip_adapter_f	REUSED	REUSED	0	0
1	4	toga	2026-07-27T09:21:17+00:00	2026-07-27T09:49:53+00:00	1716	0
2	4	tip_adapter_f	REUSED	REUSED	0	0
2	4	toga	2026-07-27T10:43:17+00:00	2026-07-27T10:50:38+00:00	441	0
3	4	tip_adapter_f	2026-07-27T09:54:35+00:00	2026-07-27T09:57:43+00:00	188	0
3	4	toga	2026-07-27T09:57:43+00:00	2026-07-27T10:11:23+00:00	820	0
1	8	tip_adapter_f	REUSED	REUSED	0	0
1	8	toga	2026-07-27T10:43:17+00:00	2026-07-27T10:57:34+00:00	857	0
2	8	tip_adapter_f	REUSED	REUSED	0	0
2	8	toga	2026-07-27T10:50:38+00:00	2026-07-27T11:04:43+00:00	845	0
3	8	tip_adapter_f	2026-07-27T09:58:02+00:00	2026-07-27T10:03:09+00:00	307	0
3	8	toga	2026-07-27T10:03:09+00:00	2026-07-27T10:19:58+00:00	1009	0
1	16	tip_adapter_f	REUSED	REUSED	0	0
1	16	toga	2026-07-27T10:43:17+00:00	2026-07-27T11:04:57+00:00	1300	0
2	16	tip_adapter_f	REUSED	REUSED	0	0
2	16	toga	2026-07-27T10:57:34+00:00	2026-07-27T11:15:10+00:00	1056	0
3	16	tip_adapter_f	2026-07-27T09:59:34+00:00	2026-07-27T10:06:07+00:00	393	0
3	16	toga	2026-07-27T10:06:07+00:00	2026-07-27T10:26:20+00:00	1213	0
