label,repeat,method,split_seed,positive_count,sampled_count_total,train_positive,train_reliable_negative,train_candidate,selected_pseudo_positive,selection_rate,threshold_mean,vote_mean,selected_score_mean,pseudo_weight,eval_positive,eval_reliable_negative,roc_auc,average_precision,eval_positive_mean_score
Buttress,0,Ignore,20261618,10,31,8,48,24,2,0.08333333333333333,0.5359964370727539,1.0,0.5571702003479004,0.25,2,22,0.7045454545454545,0.20833333333333331,0.4740692973136902
Buttress,0,PositiveExpansion,20261618,10,31,8,48,24,2,0.08333333333333333,0.5359964370727539,1.0,0.5571702003479004,0.25,2,22,0.7045454545454545,0.20833333333333331,0.46860507130622864
Buttress,1,Ignore,20262627,10,31,8,48,27,2,0.07407407407407407,0.5231088161468506,0.8518518518518519,0.5509468674659729,0.25,2,38,0.9736842105263158,0.5833333333333333,0.5266537666320801
Buttress,1,PositiveExpansion,20262627,10,31,8,48,27,2,0.07407407407407407,0.5231088161468506,0.8518518518518519,0.5509468674659729,0.25,2,38,0.9736842105263158,0.5833333333333333,0.5235332250595093
Buttress,2,Ignore,20263636,10,31,8,48,24,2,0.08333333333333333,0.534567141532898,1.6666666666666667,0.566481077671051,0.25,2,32,0.6875,0.17763157894736842,0.4588348865509033
Buttress,2,PositiveExpansion,20263636,10,31,8,48,24,2,0.08333333333333333,0.534567141532898,1.6666666666666667,0.566481077671051,0.25,2,32,0.671875,0.175,0.4528079032897949
Buttress,3,Ignore,20264645,10,31,8,48,25,3,0.12,0.49631452560424805,1.6,0.519654534260432,0.25,2,26,1.0,1.0,0.5159146189689636
Buttress,3,PositiveExpansion,20264645,10,31,8,48,25,3,0.12,0.49631452560424805,1.6,0.519654534260432,0.25,2,26,0.9615384615384616,0.75,0.51451575756073
Buttress,4,Ignore,20265654,10,31,8,48,23,3,0.13043478260869565,0.4957633137702942,1.434782608695652,0.521051945288976,0.25,2,40,0.9624999999999999,0.5,0.5125669240951538
Buttress,4,PositiveExpansion,20265654,10,31,8,48,23,3,0.13043478260869565,0.4957633137702942,1.434782608695652,0.521051945288976,0.25,2,40,0.975,0.5833333333333333,0.5155667662620544
Buttress,5,Ignore,20266663,10,31,8,48,27,0,0.0,0.5383942604064942,0.4444444444444444,nan,0.25,2,36,0.4861111111111111,0.2763157894736842,0.4235089123249054
Buttress,5,PositiveExpansion,20266663,10,31,8,48,27,0,0.0,0.5383942604064942,0.4444444444444444,nan,0.25,2,36,0.4861111111111111,0.2763157894736842,0.4235089123249054
Buttress,6,Ignore,20267672,10,31,8,48,21,0,0.0,0.5202676594257355,0.6666666666666666,nan,0.25,2,37,0.9594594594594594,0.5,0.5298820734024048
Buttress,6,PositiveExpansion,20267672,10,31,8,48,21,0,0.0,0.5202676594257355,0.6666666666666666,nan,0.25,2,37,0.9594594594594594,0.5,0.5298820734024048
Buttress,7,Ignore,20268681,10,31,8,48,25,0,0.0,0.5156981348991394,0.36,nan,0.25,2,38,0.8947368421052632,0.26666666666666666,0.516105055809021
Buttress,7,PositiveExpansion,20268681,10,31,8,48,25,0,0.0,0.5156981348991394,0.36,nan,0.25,2,38,0.8947368421052632,0.26666666666666666,0.516105055809021
Buttress,8,Ignore,20269690,10,31,8,48,25,5,0.2,0.5308485507965088,1.76,0.5557369017601013,0.25,2,26,0.4423076923076923,0.1607142857142857,0.4147712290287018
Buttress,8,PositiveExpansion,20269690,10,31,8,48,25,5,0.2,0.5308485507965088,1.76,0.5557369017601013,0.25,2,26,0.4230769230769231,0.13571428571428573,0.40328341722488403
Buttress,9,Ignore,20270699,10,31,8,48,26,1,0.038461538461538464,0.5116601526737213,1.3846153846153846,0.5395204305648804,0.25,2,38,0.9342105263157895,0.3666666666666667,0.5207246541976929
Buttress,9,PositiveExpansion,20270699,10,31,8,48,26,1,0.038461538461538464,0.5116601526737213,1.3846153846153846,0.5395204305648804,0.25,2,38,0.9210526315789473,0.3333333333333333,0.5227479934692383
Buttress,10,Ignore,20271708,10,31,8,48,24,2,0.08333333333333333,0.5224341511726379,1.0833333333333333,0.5426680326461792,0.25,2,29,0.8793103448275862,0.29166666666666663,0.5107879638671875
Buttress,10,PositiveExpansion,20271708,10,31,8,48,24,2,0.08333333333333333,0.5224341511726379,1.0833333333333333,0.5426680326461792,0.25,2,29,0.896551724137931,0.325,0.5093269348144531
Buttress,11,Ignore,20272717,10,31,8,48,21,2,0.09523809523809523,0.5149337351322174,1.9523809523809523,0.5167438298463821,0.25,2,29,0.9310344827586207,0.6666666666666666,0.5121315717697144
Buttress,11,PositiveExpansion,20272717,10,31,8,48,21,2,0.09523809523809523,0.5149337351322174,1.9523809523809523,0.5167438298463821,0.25,2,29,0.9137931034482758,0.41666666666666663,0.5102176666259766
Buttress,12,Ignore,20273726,10,31,8,48,23,2,0.08695652173913043,0.5382165253162384,1.2608695652173914,0.5585974961519241,0.25,2,34,0.9264705882352942,0.3666666666666667,0.5330921411514282
Buttress,12,PositiveExpansion,20273726,10,31,8,48,23,2,0.08695652173913043,0.5382165253162384,1.2608695652173914,0.5585974961519241,0.25,2,34,0.8676470588235294,0.2777777777777778,0.5307445526123047
Buttress,13,Ignore,20274735,10,31,8,48,23,1,0.043478260869565216,0.5169475257396698,0.6956521739130435,0.5421896576881409,0.25,2,36,0.7916666666666666,0.16666666666666666,0.5139464139938354
Buttress,13,PositiveExpansion,20274735,10,31,8,48,23,1,0.043478260869565216,0.5169475257396698,0.6956521739130435,0.5421896576881409,0.25,2,36,0.763888888888889,0.15476190476190477,0.514696478843689
Buttress,14,Ignore,20275744,10,31,8,48,26,3,0.11538461538461539,0.534489369392395,1.2692307692307692,0.5513280808925629,0.25,2,26,0.46153846153846156,0.20238095238095238,0.42777156829833984
Buttress,14,PositiveExpansion,20275744,10,31,8,48,26,3,0.11538461538461539,0.534489369392395,1.2692307692307692,0.5513280808925629,0.25,2,26,0.46153846153846156,0.20238095238095238,0.4202660620212555
Buttress,15,Ignore,20276753,10,31,8,48,25,3,0.12,0.5463852167129517,1.28,0.5747501214345296,0.25,2,40,0.2375,0.046536796536796536,0.3422063887119293
Buttress,15,PositiveExpansion,20276753,10,31,8,48,25,3,0.12,0.5463852167129517,1.28,0.5747501214345296,0.25,2,40,0.2375,0.046536796536796536,0.33619916439056396
Buttress,16,Ignore,20277762,10,31,8,48,25,3,0.12,0.5090303480625152,1.64,0.5275875886281332,0.25,2,38,0.9736842105263158,0.5833333333333333,0.5082792043685913
