label,repeat,method,split_seed,positive_count,sampled_count_total,train_positive,train_reliable_negative,train_candidate,selected_pseudo_positive,selection_rate,threshold_mean,vote_mean,selected_score_mean,pseudo_weight,eval_positive,eval_reliable_negative,roc_auc,average_precision,eval_positive_mean_score
Buttress,0,Ignore,20261618,10,31,8,48,24,2,0.08333333333333333,0.5359964370727539,1.125,0.5424814313650131,0.25,2,22,0.7045454545454545,0.20833333333333331,0.4740692973136902
Buttress,0,PositiveExpansion,20261618,10,31,8,48,24,2,0.08333333333333333,0.5359964370727539,1.125,0.5424814313650131,0.25,2,22,0.7045454545454545,0.20833333333333331,0.47469401359558105
Pilaster,0,Ignore,20261594,11,33,9,54,28,0,0.0,0.5261588633060456,0.10714285714285714,nan,0.25,2,27,1.0,1.0,0.5810177326202393
Pilaster,0,PositiveExpansion,20261594,11,33,9,54,28,0,0.0,0.5261588633060456,0.10714285714285714,nan,0.25,2,27,1.0,1.0,0.5810177326202393
Pinnacle,0,Ignore,20261568,11,37,9,54,32,0,0.0,0.5476770401000977,0.0,nan,0.25,2,25,1.0,1.0,0.5713077783584595
Pinnacle,0,PositiveExpansion,20261568,11,37,9,54,32,0,0.0,0.5476770401000977,0.0,nan,0.25,2,25,1.0,1.0,0.5713077783584595
Pointed Arch Window,0,Ignore,20262623,11,33,9,54,26,0,0.0,0.5521496176719666,0.038461538461538464,nan,0.25,2,37,0.9459459459459459,0.41666666666666663,0.5262720584869385
Pointed Arch Window,0,PositiveExpansion,20262623,11,33,9,54,26,0,0.0,0.5521496176719666,0.038461538461538464,nan,0.25,2,37,0.9459459459459459,0.41666666666666663,0.5262720584869385
Round Arch Window,0,Ignore,20262420,9,24,7,42,20,0,0.0,0.5241336464881897,0.05,nan,0.25,2,28,0.8035714285714286,0.5769230769230769,0.48482584953308105
Round Arch Window,0,PositiveExpansion,20262420,9,24,7,42,20,0,0.0,0.5241336464881897,0.05,nan,0.25,2,28,0.8035714285714286,0.5769230769230769,0.48482584953308105
Tracery,0,Ignore,20261488,8,23,6,36,19,0,0.0,0.5278707921504975,0.0,nan,0.25,2,29,0.9137931034482758,0.41666666666666663,0.5090981721878052
Tracery,0,PositiveExpansion,20261488,8,23,6,36,19,0,0.0,0.5278707921504975,0.0,nan,0.25,2,29,0.9137931034482758,0.41666666666666663,0.5090981721878052
Tracery Rose Window,0,Ignore,20262657,9,28,7,42,19,0,0.0,0.6002709984779357,0.0,nan,0.25,2,37,0.9189189189189189,0.625,0.5824614763259888
Tracery Rose Window,0,PositiveExpansion,20262657,9,28,7,42,19,0,0.0,0.6002709984779357,0.0,nan,0.25,2,37,0.9189189189189189,0.625,0.5824614763259888
Triangular Pediment,0,Ignore,20262693,8,28,6,36,20,0,0.0,0.5396248698234558,0.3,nan,0.25,2,39,0.9743589743589743,0.5833333333333333,0.5600928068161011
Triangular Pediment,0,PositiveExpansion,20262693,8,28,6,36,20,0,0.0,0.5396248698234558,0.3,nan,0.25,2,39,0.9743589743589743,0.5833333333333333,0.5600928068161011
Wimperg,0,Ignore,20261489,8,23,6,36,20,4,0.2,0.5551046848297119,1.65,0.5828496903181076,0.25,2,28,0.9821428571428572,0.8333333333333333,0.6149236559867859
Wimperg,0,PositiveExpansion,20261489,8,23,6,36,20,4,0.2,0.5551046848297119,1.65,0.5828496903181076,0.25,2,28,0.9821428571428572,0.8333333333333333,0.6242319345474243
