timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/07/26 04:09:55.688, NVIDIA GeForce RTX 2080, 0 %, 9 MiB, 8192 MiB, 33, 15.03 W
2026/07/26 04:10:00.703, NVIDIA GeForce RTX 2080, 0 %, 12 MiB, 8192 MiB, 33, 14.96 W
2026/07/26 04:10:05.713, NVIDIA GeForce RTX 2080, 17 %, 1582 MiB, 8192 MiB, 42, 203.72 W
2026/07/26 04:10:10.716, NVIDIA GeForce RTX 2080, 9 %, 1590 MiB, 8192 MiB, 39, 50.79 W
2026/07/26 04:10:15.721, NVIDIA GeForce RTX 2080, 10 %, 1590 MiB, 8192 MiB, 39, 50.52 W
2026/07/26 04:10:20.725, NVIDIA GeForce RTX 2080, 9 %, 1590 MiB, 8192 MiB, 39, 50.62 W
2026/07/26 04:10:25.729, NVIDIA GeForce RTX 2080, 9 %, 1590 MiB, 8192 MiB, 39, 50.87 W
2026/07/26 04:10:30.733, NVIDIA GeForce RTX 2080, 10 %, 1590 MiB, 8192 MiB, 40, 50.75 W
2026/07/26 04:10:35.738, NVIDIA GeForce RTX 2080, 9 %, 1590 MiB, 8192 MiB, 40, 50.99 W
2026/07/26 04:10:40.742, NVIDIA GeForce RTX 2080, 9 %, 1590 MiB, 8192 MiB, 40, 50.90 W
2026/07/26 04:10:45.746, NVIDIA GeForce RTX 2080, 8 %, 1590 MiB, 8192 MiB, 41, 50.87 W
2026/07/26 04:10:50.750, NVIDIA GeForce RTX 2080, 10 %, 1590 MiB, 8192 MiB, 41, 50.91 W
2026/07/26 04:10:55.755, NVIDIA GeForce RTX 2080, 8 %, 1590 MiB, 8192 MiB, 41, 50.71 W
2026/07/26 04:11:00.759, NVIDIA GeForce RTX 2080, 10 %, 1590 MiB, 8192 MiB, 41, 51.15 W
2026/07/26 04:11:05.763, NVIDIA GeForce RTX 2080, 9 %, 1590 MiB, 8192 MiB, 42, 51.05 W
2026/07/26 04:11:10.767, NVIDIA GeForce RTX 2080, 9 %, 1590 MiB, 8192 MiB, 42, 50.90 W
2026/07/26 04:11:15.770, NVIDIA GeForce RTX 2080, 10 %, 1590 MiB, 8192 MiB, 42, 51.42 W
2026/07/26 04:11:20.774, NVIDIA GeForce RTX 2080, 9 %, 1590 MiB, 8192 MiB, 42, 51.23 W
2026/07/26 04:11:25.778, NVIDIA GeForce RTX 2080, 10 %, 1590 MiB, 8192 MiB, 42, 51.13 W
2026/07/26 04:11:30.782, NVIDIA GeForce RTX 2080, 10 %, 1590 MiB, 8192 MiB, 43, 51.62 W
2026/07/26 04:11:35.787, NVIDIA GeForce RTX 2080, 10 %, 1590 MiB, 8192 MiB, 43, 51.43 W
