label,repeat,method,split_seed,positive_count,unlabeled_count,train_positive,train_reliable_negative,train_unlabeled,eval_positive,eval_reliable_negative,roc_auc,average_precision,eval_positive_mean_score,unlabeled_mean_score,unlabeled_above_rn95_rate
Buttress,0,PN,20261618,10,30,8,48,24,2,22,0.7045454545454546,0.18333333333333335,0.46719634532928467,0.44832363724708557,0.041666666666666664
Buttress,0,Ignore,20261618,10,30,8,48,24,2,22,0.7045454545454545,0.20833333333333331,0.4740692973136902,0.5415790677070618,0.5833333333333334
Buttress,0,nnPU(pi=0.10),20261618,10,30,8,48,24,2,22,0.5227272727272727,0.12237762237762238,0.9027459621429443,0.19041042029857635,0.0
Buttress,0,nnPU(pi=0.25),20261618,10,30,8,48,24,2,22,0.5909090909090908,0.1388888888888889,0.9368717670440674,0.4546791613101959,0.0
Buttress,0,nnPU(pi=0.50),20261618,10,30,8,48,24,2,22,0.5681818181818181,0.13247863247863248,0.9667277336120605,0.7993447184562683,0.0
Buttress,1,PN,20262627,10,30,8,48,24,2,38,0.9210526315789473,0.3333333333333333,0.5245717167854309,0.4377892017364502,0.0
Buttress,1,Ignore,20262627,10,30,8,48,24,2,38,0.9736842105263158,0.5833333333333333,0.5266537666320801,0.5264111161231995,0.6666666666666666
Buttress,1,nnPU(pi=0.10),20262627,10,30,8,48,24,2,38,0.5,0.07125000000000001,0.8391667008399963,0.21354882419109344,0.0
Buttress,1,nnPU(pi=0.25),20262627,10,30,8,48,24,2,38,0.5789473684210527,0.08712121212121213,0.9286483526229858,0.47380051016807556,0.0
Buttress,1,nnPU(pi=0.50),20262627,10,30,8,48,24,2,38,0.736842105263158,0.12916666666666665,0.9749060869216919,0.8216957449913025,0.0
Buttress,2,PN,20263636,10,30,8,48,24,2,32,0.796875,0.20833333333333331,0.45363739132881165,0.44811585545539856,0.041666666666666664
Buttress,2,Ignore,20263636,10,30,8,48,24,2,32,0.6875,0.17763157894736842,0.4588348865509033,0.5450828671455383,0.7916666666666666
Buttress,2,nnPU(pi=0.10),20263636,10,30,8,48,24,2,32,0.6875,0.12878787878787878,0.9027459621429443,0.19041042029857635,0.0
Buttress,2,nnPU(pi=0.25),20263636,10,30,8,48,24,2,32,0.765625,0.16233766233766234,0.9368717670440674,0.4546791613101959,0.0
Buttress,2,nnPU(pi=0.50),20263636,10,30,8,48,24,2,32,0.734375,0.14583333333333331,0.9667277336120605,0.7993447184562683,0.0
Buttress,3,PN,20264645,10,30,8,48,24,2,26,0.7307692307692308,0.1736111111111111,0.5163863897323608,0.4382443130016327,0.0
Buttress,3,Ignore,20264645,10,30,8,48,24,2,26,1.0,1.0,0.5159146189689636,0.5281700491905212,0.5416666666666666
Buttress,3,nnPU(pi=0.10),20264645,10,30,8,48,24,2,26,0.5384615384615384,0.10989010989010989,0.9092878103256226,0.2258347123861313,0.0
Buttress,3,nnPU(pi=0.25),20264645,10,30,8,48,24,2,26,0.5769230769230769,0.11805555555555555,0.9340970516204834,0.4448212683200836,0.0
Buttress,3,nnPU(pi=0.50),20264645,10,30,8,48,24,2,26,0.6538461538461539,0.14285714285714285,0.9695463180541992,0.8069278597831726,0.041666666666666664
Buttress,4,PN,20265654,10,30,8,48,24,2,40,0.5375000000000001,0.08333333333333334,0.4903043508529663,0.41105806827545166,0.0
Buttress,4,Ignore,20265654,10,30,8,48,24,2,40,0.9624999999999999,0.5,0.5125669240951538,0.49361154437065125,0.3333333333333333
Buttress,4,nnPU(pi=0.10),20265654,10,30,8,48,24,2,40,0.27499999999999997,0.04793028322440087,0.61904376745224,0.18672259151935577,0.0
Buttress,4,nnPU(pi=0.25),20265654,10,30,8,48,24,2,40,0.26249999999999996,0.04726890756302521,0.8403608798980713,0.4600590765476227,0.0
Buttress,4,nnPU(pi=0.50),20265654,10,30,8,48,24,2,40,0.27499999999999997,0.04816017316017316,0.9547697305679321,0.8017928600311279,0.0
Buttress,5,PN,20266663,10,30,8,48,24,2,36,0.3194444444444445,0.05718954248366013,0.3880971670150757,0.42219415307044983,0.125
Buttress,5,Ignore,20266663,10,30,8,48,24,2,36,0.4861111111111111,0.2763157894736842,0.4235089123249054,0.5396395325660706,0.5
Buttress,5,nnPU(pi=0.10),20266663,10,30,8,48,24,2,36,0.5,0.19444444444444442,0.5874648094177246,0.19135017693042755,0.0
Buttress,5,nnPU(pi=0.25),20266663,10,30,8,48,24,2,36,0.5,0.15357142857142858,0.7347103357315063,0.453683465719223,0.0
Buttress,5,nnPU(pi=0.50),20266663,10,30,8,48,24,2,36,0.38888888888888884,0.06350806451612903,0.9171928763389587,0.8269268870353699,0.0
Buttress,6,PN,20267672,10,30,8,48,24,2,37,0.9054054054054054,0.375,0.528253436088562,0.43174514174461365,0.0
Buttress,6,Ignore,20267672,10,30,8,48,24,2,37,0.9594594594594594,0.5,0.5298820734024048,0.5249515771865845,0.7083333333333334
Buttress,6,nnPU(pi=0.10),20267672,10,30,8,48,24,2,37,0.527027027027027,0.07777777777777778,0.8206024169921875,0.19922445714473724,0.0
Buttress,6,nnPU(pi=0.25),20267672,10,30,8,48,24,2,37,0.6486486486486487,0.11688311688311688,0.9107292294502258,0.3826277256011963,0.0
Buttress,6,nnPU(pi=0.50),20267672,10,30,8,48,24,2,37,0.7837837837837838,0.17142857142857143,0.9825106859207153,0.8077666163444519,0.0
Buttress,7,PN,20268681,10,30,8,48,24,2,38,0.5131578947368421,0.10173160173160173,0.45065444707870483,0.40891656279563904,0.0
Buttress,7,Ignore,20268681,10,30,8,48,24,2,38,0.8947368421052632,0.26666666666666666,0.516105055809021,0.5204554200172424,0.4583333333333333
Buttress,7,nnPU(pi=0.10),20268681,10,30,8,48,24,2,38,0.21052631578947367,0.046474358974358976,0.47664234042167664,0.19855350255966187,0.0
Buttress,7,nnPU(pi=0.25),20268681,10,30,8,48,24,2,38,0.25,0.04904306220095694,0.7024096250534058,0.4416583478450775,0.0
Buttress,7,nnPU(pi=0.50),20268681,10,30,8,48,24,2,38,0.39473684210526316,0.06623931623931624,0.9154120683670044,0.7998514175415039,0.0
Buttress,8,PN,20269690,10,30,8,48,24,2,26,0.5,0.28703703703703703,0.4287734031677246,0.45265138149261475,0.20833333333333334
Buttress,8,Ignore,20269690,10,30,8,48,24,2,26,0.4423076923076923,0.1607142857142857,0.4147712290287018,0.5700969696044922,0.9583333333333334
Buttress,8,nnPU(pi=0.10),20269690,10,30,8,48,24,2,26,0.6153846153846154,0.17763157894736842,0.9143478274345398,0.22294795513153076,0.0
Buttress,8,nnPU(pi=0.25),20269690,10,30,8,48,24,2,26,0.5576923076923077,0.11437908496732026,0.9492977857589722,0.48677754402160645,0.0
Buttress,8,nnPU(pi=0.50),20269690,10,30,8,48,24,2,26,0.6153846153846154,0.12916666666666665,0.9702041149139404,0.8003317713737488,0.0
Buttress,9,PN,20270699,10,30,8,48,24,2,38,0.618421052631579,0.11142857142857143,0.476404070854187,0.4252234399318695,0.0
Buttress,9,Ignore,20270699,10,30,8,48,24,2,38,0.9342105263157895,0.3666666666666667,0.5207246541976929,0.5330665707588196,0.7083333333333334
Buttress,9,nnPU(pi=0.10),20270699,10,30,8,48,24,2,38,0.3157894736842105,0.05298913043478261,0.5809005498886108,0.21735697984695435,0.0
Buttress,9,nnPU(pi=0.25),20270699,10,30,8,48,24,2,38,0.25,0.048642533936651584,0.7184459567070007,0.3650627136230469,0.041666666666666664
Buttress,9,nnPU(pi=0.50),20270699,10,30,8,48,24,2,38,0.35526315789473684,0.05606060606060606,0.9430828094482422,0.7666926383972168,0.041666666666666664
Buttress,10,PN,20271708,10,30,8,48,24,2,29,0.6551724137931034,0.12692307692307692,0.5128390192985535,0.4247252643108368,0.0
Buttress,10,Ignore,20271708,10,30,8,48,24,2,29,0.8793103448275862,0.29166666666666663,0.5107879638671875,0.5072214007377625,0.5416666666666666
Buttress,10,nnPU(pi=0.10),20271708,10,30,8,48,24,2,29,0.5172413793103448,0.09545454545454546,0.8795008659362793,0.207583948969841,0.0
Buttress,10,nnPU(pi=0.25),20271708,10,30,8,48,24,2,29,0.4655172413793104,0.08596491228070174,0.9356381893157959,0.47139132022857666,0.0
Buttress,10,nnPU(pi=0.50),20271708,10,30,8,48,24,2,29,0.5344827586206896,0.09728506787330317,0.9830921292304993,0.8621633648872375,0.0
Buttress,11,PN,20272717,10,30,8,48,24,2,29,1.0,1.0,0.5098521709442139,0.4444677531719208,0.041666666666666664
Buttress,11,Ignore,20272717,10,30,8,48,24,2,29,0.9310344827586207,0.6666666666666666,0.5121315717697144,0.5384201407432556,0.8333333333333334
Buttress,11,nnPU(pi=0.10),20272717,10,30,8,48,24,2,29,0.4482758620689655,0.08333333333333334,0.9045649766921997,0.22664354741573334,0.0
Buttress,11,nnPU(pi=0.25),20272717,10,30,8,48,24,2,29,0.5344827586206897,0.09722222222222221,0.947744607925415,0.46186020970344543,0.0
Buttress,11,nnPU(pi=0.50),20272717,10,30,8,48,24,2,29,0.6379310344827587,0.29545454545454547,0.9800232648849487,0.8261991143226624,0.0
Buttress,12,PN,20273726,10,30,8,48,24,2,34,0.9852941176470588,0.8333333333333333,0.5258127450942993,0.4495494067668915,0.08333333333333333
Buttress,12,Ignore,20273726,10,30,8,48,24,2,34,0.9264705882352942,0.3666666666666667,0.5330921411514282,0.5498836040496826,0.8333333333333334
Buttress,12,nnPU(pi=0.10),20273726,10,30,8,48,24,2,34,0.5,0.07941176470588235,0.8425766229629517,0.2053205519914627,0.0
Buttress,12,nnPU(pi=0.25),20273726,10,30,8,48,24,2,34,0.5588235294117647,0.0900735294117647,0.9392471313476562,0.45276978611946106,0.0
Buttress,12,nnPU(pi=0.50),20273726,10,30,8,48,24,2,34,0.75,0.14583333333333331,0.9739344120025635,0.7549540400505066,0.0
Buttress,13,PN,20274735,10,30,8,48,24,2,36,0.75,0.1625,0.5069921612739563,0.44445666670799255,0.08333333333333333
Buttress,13,Ignore,20274735,10,30,8,48,24,2,36,0.7916666666666666,0.16666666666666666,0.5139464139938354,0.5435939431190491,0.8333333333333334
Buttress,13,nnPU(pi=0.10),20274735,10,30,8,48,24,2,36,0.3888888888888889,0.06227106227106227,0.8611433506011963,0.21412338316440582,0.0
Buttress,13,nnPU(pi=0.25),20274735,10,30,8,48,24,2,36,0.375,0.06084656084656084,0.8957458734512329,0.4085540771484375,0.0
Buttress,13,nnPU(pi=0.50),20274735,10,30,8,48,24,2,36,0.375,0.060714285714285714,0.9680612683296204,0.7967174649238586,0.0
Buttress,14,PN,20275744,10,30,8,48,24,2,26,0.5,0.5357142857142857,0.4532467722892761,0.4546596109867096,0.125
Buttress,14,Ignore,20275744,10,30,8,48,24,2,26,0.46153846153846156,0.20238095238095238,0.42777156829833984,0.5638964176177979,0.7916666666666666
Buttress,14,nnPU(pi=0.10),20275744,10,30,8,48,24,2,26,1.0,1.0,0.9627971649169922,0.198683500289917,0.0
Buttress,14,nnPU(pi=0.25),20275744,10,30,8,48,24,2,26,0.8846153846153846,0.39285714285714285,0.9618796110153198,0.47469183802604675,0.0
Buttress,14,nnPU(pi=0.50),20275744,10,30,8,48,24,2,26,0.7307692307692307,0.23809523809523808,0.9803744554519653,0.8513496518135071,0.0
Buttress,15,PN,20276753,10,30,8,48,24,2,40,0.22499999999999998,0.045548654244306416,0.34323811531066895,0.45624780654907227,0.125
Buttress,15,Ignore,20276753,10,30,8,48,24,2,40,0.2375,0.046536796536796536,0.3422063887119293,0.5665080547332764,0.625
Buttress,15,nnPU(pi=0.10),20276753,10,30,8,48,24,2,40,0.7,0.13095238095238093,0.9291427135467529,0.21758262813091278,0.0
Buttress,15,nnPU(pi=0.25),20276753,10,30,8,48,24,2,40,0.5375,0.0754985754985755,0.9143713712692261,0.4727261960506439,0.0
Buttress,15,nnPU(pi=0.50),20276753,10,30,8,48,24,2,40,0.3875,0.05654761904761904,0.9643130898475647,0.8473122715950012,0.0
Buttress,16,PN,20277762,10,30,8,48,24,2,38,0.8157894736842106,0.18333333333333335,0.5092891454696655,0.43752261996269226,0.0
Buttress,16,Ignore,20277762,10,30,8,48,24,2,38,0.9736842105263158,0.5833333333333333,0.5082792043685913,0.5251299738883972,0.6666666666666666
Buttress,16,nnPU(pi=0.10),20277762,10,30,8,48,24,2,38,0.5131578947368421,0.07393483709273183,0.9092878103256226,0.2258347123861313,0.0
Buttress,16,nnPU(pi=0.25),20277762,10,30,8,48,24,2,38,0.5657894736842105,0.08095238095238094,0.9340970516204834,0.4448212683200836,0.0
Buttress,16,nnPU(pi=0.50),20277762,10,30,8,48,24,2,38,0.6842105263157894,0.10795454545454546,0.9695463180541992,0.8069278597831726,0.0
Buttress,17,PN,20278771,10,30,8,48,24,2,32,0.53125,0.53125,0.47008779644966125,0.4491415023803711,0.16666666666666666
Buttress,17,Ignore,20278771,10,30,8,48,24,2,32,0.5,0.5294117647058824,0.44485580921173096,0.5510523915290833,0.75
Buttress,17,nnPU(pi=0.10),20278771,10,30,8,48,24,2,32,0.84375,0.22619047619047616,0.9627971649169922,0.198683500289917,0.0
Buttress,17,nnPU(pi=0.25),20278771,10,30,8,48,24,2,32,0.84375,0.2361111111111111,0.9618796110153198,0.47469183802604675,0.0
Buttress,17,nnPU(pi=0.50),20278771,10,30,8,48,24,2,32,0.765625,0.3125,0.9803744554519653,0.8513496518135071,0.0
Buttress,18,PN,20279780,10,30,8,48,24,2,27,0.6111111111111112,0.5434782608695652,0.44847363233566284,0.40077102184295654,0.0
Buttress,18,Ignore,20279780,10,30,8,48,24,2,27,0.8518518518518519,0.6,0.5015832781791687,0.49295464158058167,0.375
Buttress,18,nnPU(pi=0.10),20279780,10,30,8,48,24,2,27,0.40740740740740744,0.10714285714285714,0.48693519830703735,0.2069287747144699,0.0
