label,repeat,method,split_seed,positive_count,unlabeled_count,train_positive,train_reliable_negative,train_unlabeled,eval_positive,eval_reliable_negative,roc_auc,average_precision,eval_positive_mean_score,unlabeled_mean_score,unlabeled_above_rn95_rate
Buttress,0,PN,20261618,10,30,8,48,24,2,22,0.7045454545454546,0.18333333333333335,0.46719634532928467,0.44832363724708557,0.041666666666666664
Buttress,0,Ignore,20261618,10,30,8,48,24,2,22,0.7045454545454545,0.20833333333333331,0.4740692973136902,0.5415790677070618,0.5833333333333334
Buttress,0,nnPU(pi=0.10),20261618,10,30,8,48,24,2,22,0.5,0.11688311688311688,0.45966053009033203,0.05796549841761589,0.0
Buttress,0,nnPU(pi=0.25),20261618,10,30,8,48,24,2,22,0.5,0.11688311688311688,0.8825605511665344,0.4143977463245392,0.0
Buttress,0,nnPU(pi=0.50),20261618,10,30,8,48,24,2,22,0.5227272727272727,0.12222222222222222,0.9356144070625305,0.7457852959632874,0.0
Pilaster,0,PN,20261594,11,33,9,54,27,2,27,1.0,1.0,0.6314836740493774,0.2831037938594818,0.0
Pilaster,0,Ignore,20261594,11,33,9,54,27,2,27,1.0,1.0,0.5810177326202393,0.36551856994628906,0.0
Pilaster,0,nnPU(pi=0.10),20261594,11,33,9,54,27,2,27,0.962962962962963,0.75,0.2504799962043762,0.01108887605369091,0.0
Pilaster,0,nnPU(pi=0.25),20261594,11,33,9,54,27,2,27,0.9444444444444444,0.5,0.1913043111562729,0.03416222706437111,0.0
Pilaster,0,nnPU(pi=0.50),20261594,11,33,9,54,27,2,27,1.0,1.0,0.9089372158050537,0.6720717549324036,0.0
Pinnacle,0,PN,20261568,11,33,9,54,27,2,25,0.9600000000000001,0.75,0.6097650527954102,0.26331445574760437,0.0
Pinnacle,0,Ignore,20261568,11,33,9,54,27,2,25,1.0,1.0,0.5713077783584595,0.37234845757484436,0.0
Pinnacle,0,nnPU(pi=0.10),20261568,11,33,9,54,27,2,25,0.78,0.3333333333333333,0.15796557068824768,0.006623133551329374,0.0
Pinnacle,0,nnPU(pi=0.25),20261568,11,33,9,54,27,2,25,0.72,0.23809523809523808,0.11383432149887085,0.015305380336940289,0.0
Pinnacle,0,nnPU(pi=0.50),20261568,11,33,9,54,27,2,25,0.94,0.7,0.846512496471405,0.6418687105178833,0.0
Pointed Arch Window,0,PN,20262623,11,33,9,54,27,2,37,0.9459459459459458,0.45,0.5196866393089294,0.3949900269508362,0.037037037037037035
Pointed Arch Window,0,Ignore,20262623,11,33,9,54,27,2,37,0.9459459459459459,0.41666666666666663,0.5262720584869385,0.47395795583724976,0.2222222222222222
Pointed Arch Window,0,nnPU(pi=0.10),20262623,11,33,9,54,27,2,37,0.47297297297297297,0.08585858585858586,0.28904762864112854,0.05378982797265053,0.0
Pointed Arch Window,0,nnPU(pi=0.25),20262623,11,33,9,54,27,2,37,0.5675675675675675,0.19791666666666666,0.7197081446647644,0.3575359880924225,0.0
Pointed Arch Window,0,nnPU(pi=0.50),20262623,11,33,9,54,27,2,37,0.6486486486486487,0.5357142857142857,0.9195231199264526,0.7635268568992615,0.0
Round Arch Window,0,PN,20262420,9,27,7,42,21,2,28,0.6964285714285714,0.1875,0.4799284338951111,0.3712330460548401,0.0
Round Arch Window,0,Ignore,20262420,9,27,7,42,21,2,28,0.8035714285714286,0.5769230769230769,0.48482584953308105,0.46429261565208435,0.047619047619047616
Round Arch Window,0,nnPU(pi=0.10),20262420,9,27,7,42,21,2,28,0.4821428571428571,0.09545454545454546,0.17457666993141174,0.025048911571502686,0.0
Round Arch Window,0,nnPU(pi=0.25),20262420,9,27,7,42,21,2,28,0.4464285714285714,0.08893280632411067,0.23975259065628052,0.08753134310245514,0.0
Round Arch Window,0,nnPU(pi=0.50),20262420,9,27,7,42,21,2,28,0.39285714285714285,0.07941176470588235,0.8586419820785522,0.7093613743782043,0.0
Tracery,0,PN,20261488,8,24,6,36,18,2,29,0.9482758620689655,0.5,0.5142675638198853,0.4054124057292938,0.0
Tracery,0,Ignore,20261488,8,24,6,36,18,2,29,0.9137931034482758,0.41666666666666663,0.5090981721878052,0.47536876797676086,0.05555555555555555
Tracery,0,nnPU(pi=0.10),20261488,8,24,6,36,18,2,29,0.5172413793103448,0.12333333333333332,0.3569182753562927,0.04458656907081604,0.0
Tracery,0,nnPU(pi=0.25),20261488,8,24,6,36,18,2,29,0.7068965517241379,0.5526315789473684,0.7594303488731384,0.34376657009124756,0.0
Tracery,0,nnPU(pi=0.50),20261488,8,24,6,36,18,2,29,0.9655172413793104,0.5833333333333333,0.9282750487327576,0.7723258137702942,0.0
Tracery Rose Window,0,PN,20262657,9,27,7,42,21,2,37,0.9189189189189189,0.625,0.5468846559524536,0.42965248227119446,0.0
Tracery Rose Window,0,Ignore,20262657,9,27,7,42,21,2,37,0.9189189189189189,0.625,0.5824614763259888,0.5169957280158997,0.0
Tracery Rose Window,0,nnPU(pi=0.10),20262657,9,27,7,42,21,2,37,0.6081081081081081,0.2011494252873563,0.1909363865852356,0.06833090633153915,0.0
Tracery Rose Window,0,nnPU(pi=0.25),20262657,9,27,7,42,21,2,37,0.8918918918918919,0.29166666666666663,0.7487101554870605,0.4046439528465271,0.0
Tracery Rose Window,0,nnPU(pi=0.50),20262657,9,27,7,42,21,2,37,0.9459459459459458,0.45,0.9127358794212341,0.7627549767494202,0.0
Triangular Pediment,0,PN,20262693,8,24,6,36,18,2,39,0.9743589743589743,0.5833333333333333,0.4971903860569,0.4760136008262634,0.6111111111111112
Triangular Pediment,0,Ignore,20262693,8,24,6,36,18,2,39,0.9743589743589743,0.5833333333333333,0.5600928068161011,0.5538824796676636,0.9444444444444444
Triangular Pediment,0,nnPU(pi=0.10),20262693,8,24,6,36,18,2,39,0.11538461538461536,0.04051927616050354,0.12661829590797424,0.061885032802820206,0.0
Triangular Pediment,0,nnPU(pi=0.25),20262693,8,24,6,36,18,2,39,0.15384615384615385,0.04224137931034483,0.5234311819076538,0.3807615041732788,0.0
Triangular Pediment,0,nnPU(pi=0.50),20262693,8,24,6,36,18,2,39,0.2948717948717949,0.05277777777777778,0.8295708894729614,0.7875470519065857,0.0
Wimperg,0,PN,20261489,8,24,6,36,18,2,28,0.9821428571428572,0.8333333333333333,0.5623626708984375,0.47232022881507874,0.4444444444444444
Wimperg,0,Ignore,20261489,8,24,6,36,18,2,28,0.9821428571428572,0.8333333333333333,0.6149236559867859,0.5516802668571472,0.9444444444444444
Wimperg,0,nnPU(pi=0.10),20261489,8,24,6,36,18,2,28,0.2142857142857143,0.06340579710144928,0.11786162853240967,0.06799396872520447,0.0
Wimperg,0,nnPU(pi=0.25),20261489,8,24,6,36,18,2,28,0.7678571428571429,0.18253968253968253,0.7130856513977051,0.3976127505302429,0.0
Wimperg,0,nnPU(pi=0.50),20261489,8,24,6,36,18,2,28,0.9464285714285715,0.5,0.9282854795455933,0.7822721600532532,0.05555555555555555
