timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/07/26 04:25:13.350, NVIDIA GeForce RTX 2080, 0 %, 9 MiB, 8192 MiB, 33, 14.89 W
2026/07/26 04:25:18.364, NVIDIA GeForce RTX 2080, 0 %, 12 MiB, 8192 MiB, 33, 15.23 W
2026/07/26 04:25:23.373, NVIDIA GeForce RTX 2080, 25 %, 1582 MiB, 8192 MiB, 39, 64.43 W
2026/07/26 04:25:28.387, NVIDIA GeForce RTX 2080, 7 %, 1594 MiB, 8192 MiB, 39, 51.07 W
2026/07/26 04:25:33.391, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 39, 51.25 W
2026/07/26 04:25:38.395, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 39, 51.22 W
2026/07/26 04:25:43.399, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 39, 50.89 W
2026/07/26 04:25:48.403, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 40, 51.30 W
2026/07/26 04:25:53.407, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 40, 51.45 W
2026/07/26 04:25:58.411, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 40, 51.49 W
2026/07/26 04:26:03.415, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 41, 51.38 W
2026/07/26 04:26:08.419, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 41, 51.45 W
2026/07/26 04:26:13.423, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 41, 51.49 W
2026/07/26 04:26:18.429, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 41, 51.55 W
2026/07/26 04:26:23.434, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 42, 51.65 W
2026/07/26 04:26:28.437, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 42, 51.56 W
2026/07/26 04:26:33.442, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 42, 51.64 W
2026/07/26 04:26:38.446, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 42, 51.56 W
2026/07/26 04:26:43.450, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 43, 51.67 W
2026/07/26 04:26:48.454, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 43, 51.77 W
2026/07/26 04:26:53.458, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 43, 51.93 W
2026/07/26 04:26:58.462, NVIDIA GeForce RTX 2080, 11 %, 1594 MiB, 8192 MiB, 43, 51.87 W
2026/07/26 04:27:03.467, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 43, 52.00 W
2026/07/26 04:27:08.471, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 44, 51.90 W
2026/07/26 04:27:13.475, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 44, 51.84 W
2026/07/26 04:27:18.480, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 44, 51.91 W
2026/07/26 04:27:23.484, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 44, 51.84 W
2026/07/26 04:27:28.488, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 44, 52.05 W
2026/07/26 04:27:33.491, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 44, 51.50 W
2026/07/26 04:27:38.496, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 44, 51.81 W
2026/07/26 04:27:43.499, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 45, 52.05 W
2026/07/26 04:27:48.503, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 45, 52.15 W
2026/07/26 04:27:53.508, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 45, 51.78 W
2026/07/26 04:27:58.511, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 45, 52.01 W
2026/07/26 04:28:03.515, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 45, 52.19 W
2026/07/26 04:28:08.519, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 45, 52.14 W
2026/07/26 04:28:13.523, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 45, 52.05 W
2026/07/26 04:28:18.527, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 45, 52.14 W
2026/07/26 04:28:23.531, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 46, 52.01 W
2026/07/26 04:28:28.535, NVIDIA GeForce RTX 2080, 11 %, 1594 MiB, 8192 MiB, 46, 52.23 W
2026/07/26 04:28:33.538, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 46, 51.93 W
2026/07/26 04:28:38.542, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 46, 52.31 W
2026/07/26 04:28:43.546, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 46, 52.45 W
2026/07/26 04:28:48.551, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 46, 51.77 W
2026/07/26 04:28:53.554, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 46, 52.50 W
2026/07/26 04:28:58.558, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 46, 52.40 W
2026/07/26 04:29:03.562, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 46, 52.28 W
2026/07/26 04:29:08.565, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 46, 52.32 W
2026/07/26 04:29:13.569, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 46, 52.35 W
2026/07/26 04:29:18.573, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 46, 52.42 W
2026/07/26 04:29:23.577, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 46, 52.60 W
2026/07/26 04:29:28.580, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 46, 52.57 W
2026/07/26 04:29:33.584, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 47, 52.35 W
2026/07/26 04:29:38.588, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 47, 52.49 W
2026/07/26 04:29:43.592, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 47, 52.36 W
2026/07/26 04:29:48.597, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 47, 52.31 W
2026/07/26 04:29:53.601, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 47, 52.49 W
2026/07/26 04:29:58.605, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 47, 52.28 W
2026/07/26 04:30:03.609, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 47, 52.31 W
2026/07/26 04:30:08.613, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 47, 52.63 W
2026/07/26 04:30:13.617, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 47, 52.48 W
2026/07/26 04:30:18.621, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 47, 52.43 W
2026/07/26 04:30:23.625, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 47, 52.37 W
2026/07/26 04:30:28.628, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 47, 52.67 W
2026/07/26 04:30:33.632, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 47, 52.61 W
2026/07/26 04:30:38.636, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 47, 52.63 W
2026/07/26 04:30:43.640, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 47, 52.61 W
2026/07/26 04:30:48.643, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 47, 52.53 W
2026/07/26 04:30:53.647, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 47, 52.43 W
2026/07/26 04:30:58.651, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 47, 52.55 W
2026/07/26 04:31:03.657, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 47, 52.52 W
2026/07/26 04:31:08.660, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 47, 52.69 W
2026/07/26 04:31:13.665, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 47, 52.56 W
2026/07/26 04:31:18.669, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 47, 52.40 W
2026/07/26 04:31:23.675, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 47, 52.86 W
2026/07/26 04:31:28.679, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 47, 52.97 W
2026/07/26 04:31:33.683, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 48, 52.63 W
2026/07/26 04:31:38.688, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 47, 52.84 W
2026/07/26 04:31:43.692, NVIDIA GeForce RTX 2080, 9 %, 1594 MiB, 8192 MiB, 47, 52.81 W
2026/07/26 04:31:48.696, NVIDIA GeForce RTX 2080, 11 %, 1594 MiB, 8192 MiB, 48, 52.60 W
2026/07/26 04:31:53.699, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 48, 52.76 W
2026/07/26 04:31:58.704, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 48, 52.88 W
2026/07/26 04:32:03.709, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 48, 52.81 W
2026/07/26 04:32:08.714, NVIDIA GeForce RTX 2080, 10 %, 1594 MiB, 8192 MiB, 48, 52.67 W
