label,repeat,method,split_seed,positive_count,unlabeled_count,train_positive,train_reliable_negative,train_unlabeled,eval_positive,eval_reliable_negative,roc_auc,average_precision,eval_positive_mean_score,unlabeled_mean_score,unlabeled_above_rn95_rate,propensity_floor,propensity_min,propensity_median,propensity_max,positive_weight_ess
Buttress,0,PN,20261618,10,30,8,48,24,2,22,0.7045454545454546,0.18333333333333335,0.46719634532928467,0.44832363724708557,0.041666666666666664,nan,nan,nan,nan,nan
Buttress,0,Ignore,20261618,10,30,8,48,24,2,22,0.7045454545454545,0.20833333333333331,0.4740692973136902,0.5415790677070618,0.5833333333333334,nan,nan,nan,nan,nan
Buttress,0,nnPU(pi=0.10),20261618,10,30,8,48,24,2,22,0.5227272727272727,0.12237762237762238,0.9027459621429443,0.19041042029857635,0.0,nan,nan,nan,nan,nan
Buttress,0,nnPU(pi=0.25),20261618,10,30,8,48,24,2,22,0.5909090909090908,0.1388888888888889,0.9368717670440674,0.4546791613101959,0.0,nan,nan,nan,nan,nan
Buttress,0,nnPU(pi=0.50),20261618,10,30,8,48,24,2,22,0.5681818181818181,0.13247863247863248,0.9667277336120605,0.7993447184562683,0.0,nan,nan,nan,nan,nan
Buttress,0,"SA-nnPU(pi=0.25,e>=0.10)",20261618,10,30,8,48,24,2,22,0.5,0.11858974358974358,0.9474931955337524,0.4716796875,0.0,0.1,0.47093145664374453,0.8153268015565982,0.9595053103591699,7.5129828453063965
Buttress,0,"SA-nnPU(pi=0.25,e>=0.20)",20261618,10,30,8,48,24,2,22,0.5,0.11858974358974358,0.9474931955337524,0.4716796875,0.0,0.2,0.47093145664374453,0.8153268015565982,0.9595053103591699,7.5129828453063965
Buttress,1,PN,20262627,10,30,8,48,24,2,38,0.9210526315789473,0.3333333333333333,0.5245717167854309,0.4377892017364502,0.0,nan,nan,nan,nan,nan
Buttress,1,Ignore,20262627,10,30,8,48,24,2,38,0.9736842105263158,0.5833333333333333,0.5266537666320801,0.5264111161231995,0.6666666666666666,nan,nan,nan,nan,nan
Buttress,1,nnPU(pi=0.10),20262627,10,30,8,48,24,2,38,0.5,0.07125000000000001,0.8391667008399963,0.21354882419109344,0.0,nan,nan,nan,nan,nan
Buttress,1,nnPU(pi=0.25),20262627,10,30,8,48,24,2,38,0.5789473684210527,0.08712121212121213,0.9286483526229858,0.47380051016807556,0.0,nan,nan,nan,nan,nan
Buttress,1,nnPU(pi=0.50),20262627,10,30,8,48,24,2,38,0.736842105263158,0.12916666666666665,0.9749060869216919,0.8216957449913025,0.0,nan,nan,nan,nan,nan
