timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], temperature.gpu, power.draw [W]
2026/07/26 02:59:09.117, NVIDIA GeForce RTX 2080, 9 MiB, 8192 MiB, 0 %, 32, 16.35 W
2026/07/26 02:59:14.132, NVIDIA GeForce RTX 2080, 12 MiB, 8192 MiB, 0 %, 32, 16.36 W
2026/07/26 02:59:19.141, NVIDIA GeForce RTX 2080, 868 MiB, 8192 MiB, 99 %, 48, 204.42 W
2026/07/26 02:59:24.146, NVIDIA GeForce RTX 2080, 868 MiB, 8192 MiB, 97 %, 52, 199.22 W
2026/07/26 02:59:29.150, NVIDIA GeForce RTX 2080, 868 MiB, 8192 MiB, 98 %, 55, 200.45 W
2026/07/26 02:59:34.155, NVIDIA GeForce RTX 2080, 868 MiB, 8192 MiB, 98 %, 58, 204.20 W
2026/07/26 02:59:39.159, NVIDIA GeForce RTX 2080, 870 MiB, 8192 MiB, 98 %, 61, 200.16 W
2026/07/26 02:59:44.165, NVIDIA GeForce RTX 2080, 872 MiB, 8192 MiB, 99 %, 64, 199.45 W
2026/07/26 02:59:49.169, NVIDIA GeForce RTX 2080, 874 MiB, 8192 MiB, 98 %, 66, 201.94 W
2026/07/26 02:59:54.177, NVIDIA GeForce RTX 2080, 874 MiB, 8192 MiB, 98 %, 68, 203.96 W
2026/07/26 02:59:59.183, NVIDIA GeForce RTX 2080, 876 MiB, 8192 MiB, 98 %, 70, 207.42 W
2026/07/26 03:00:04.187, NVIDIA GeForce RTX 2080, 876 MiB, 8192 MiB, 99 %, 71, 199.85 W
2026/07/26 03:00:09.195, NVIDIA GeForce RTX 2080, 876 MiB, 8192 MiB, 99 %, 73, 203.94 W
2026/07/26 03:00:14.203, NVIDIA GeForce RTX 2080, 876 MiB, 8192 MiB, 98 %, 75, 201.50 W
2026/07/26 03:00:19.210, NVIDIA GeForce RTX 2080, 876 MiB, 8192 MiB, 98 %, 76, 201.51 W
2026/07/26 03:00:24.216, NVIDIA GeForce RTX 2080, 876 MiB, 8192 MiB, 98 %, 77, 201.17 W
2026/07/26 03:00:29.220, NVIDIA GeForce RTX 2080, 876 MiB, 8192 MiB, 98 %, 79, 202.89 W
2026/07/26 03:00:34.226, NVIDIA GeForce RTX 2080, 876 MiB, 8192 MiB, 98 %, 78, 210.41 W
2026/07/26 03:00:39.231, NVIDIA GeForce RTX 2080, 876 MiB, 8192 MiB, 99 %, 77, 204.02 W
2026/07/26 03:00:44.235, NVIDIA GeForce RTX 2080, 878 MiB, 8192 MiB, 99 %, 78, 201.97 W
2026/07/26 03:00:49.239, NVIDIA GeForce RTX 2080, 880 MiB, 8192 MiB, 99 %, 78, 211.01 W
2026/07/26 03:00:54.248, NVIDIA GeForce RTX 2080, 894 MiB, 8192 MiB, 99 %, 75, 171.81 W
2026/07/26 03:00:59.256, NVIDIA GeForce RTX 2080, 1372 MiB, 8192 MiB, 12 %, 69, 118.58 W
