label,repeat,method,split_seed,positive_count,sampled_count_total,pool_count_total,train_positive,train_reliable_negative,train_sampled,train_full_pool,eval_positive,eval_reliable_negative,sampling_probability_min,sampling_probability_median,sampling_probability_max,ipw_ess,roc_auc,average_precision,eval_positive_mean_score,full_pool_mean_score,sampler_seed
Buttress,0,PN-sampled,20261618,10,31,986,8,48,24,769,2,22,0.015109650790691376,0.032429493963718414,0.07982838898897171,19.15791130065918,0.6818181818181819,0.20192307692307693,0.46454936265945435,0.40332210063934326,20260726
Buttress,0,Ignore,20261618,10,31,986,8,48,24,769,2,22,0.015109650790691376,0.032429493963718414,0.07982838898897171,19.15791130065918,0.7045454545454545,0.20833333333333331,0.4740692973136902,0.4777612090110779,20260726
Buttress,0,nnPU-sampled,20261618,10,31,986,8,48,24,769,2,22,0.015109650790691376,0.032429493963718414,0.07982838898897171,19.15791130065918,0.7727272727272728,0.2361111111111111,0.9636250734329224,0.39142560958862305,20260726
Buttress,0,IPW-nnPU,20261618,10,31,986,8,48,24,769,2,22,0.015109650790691376,0.032429493963718414,0.07982838898897171,19.15791130065918,0.8636363636363636,0.39285714285714285,0.9646730422973633,0.40951406955718994,20260726
Buttress,0,FullPool-nnPU,20261618,10,31,986,8,48,24,769,2,22,0.015109650790691376,0.032429493963718414,0.07982838898897171,19.15791130065918,0.8863636363636364,0.6428571428571428,0.9722696542739868,0.43060556054115295,20260726
Buttress,1,PN-sampled,20262627,10,31,986,8,48,21,782,2,38,0.015109650790691376,0.030812565237283707,0.07982838898897171,16.444398880004883,0.9736842105263158,0.5833333333333333,0.5397529602050781,0.417388379573822,20260726
Buttress,1,Ignore,20262627,10,31,986,8,48,21,782,2,38,0.015109650790691376,0.030812565237283707,0.07982838898897171,16.444398880004883,0.9736842105263158,0.5833333333333333,0.5266537666320801,0.48161545395851135,20260726
Buttress,1,nnPU-sampled,20262627,10,31,986,8,48,21,782,2,38,0.015109650790691376,0.030812565237283707,0.07982838898897171,16.444398880004883,0.9473684210526316,0.6666666666666666,0.9818930625915527,0.43376490473747253,20260726
Buttress,1,IPW-nnPU,20262627,10,31,986,8,48,21,782,2,38,0.015109650790691376,0.030812565237283707,0.07982838898897171,16.444398880004883,0.9736842105263158,0.75,0.9854469299316406,0.42736324667930603,20260726
Buttress,1,FullPool-nnPU,20262627,10,31,986,8,48,21,782,2,38,0.015109650790691376,0.030812565237283707,0.07982838898897171,16.444398880004883,0.9605263157894737,0.7,0.981968879699707,0.44943472743034363,20260726
Buttress,2,PN-sampled,20263636,10,31,986,8,48,24,769,2,32,0.015109650790691376,0.032429493963718414,0.07982838898897171,19.15791130065918,0.765625,0.3125,0.45082008838653564,0.4038533568382263,20260726
Buttress,2,Ignore,20263636,10,31,986,8,48,24,769,2,32,0.015109650790691376,0.032429493963718414,0.07982838898897171,19.15791130065918,0.6875,0.17763157894736842,0.4588348865509033,0.4796021580696106,20260726
Buttress,2,nnPU-sampled,20263636,10,31,986,8,48,24,769,2,32,0.015109650790691376,0.032429493963718414,0.07982838898897171,19.15791130065918,0.875,0.29166666666666663,0.9636250734329224,0.39142560958862305,20260726
Buttress,2,IPW-nnPU,20263636,10,31,986,8,48,24,769,2,32,0.015109650790691376,0.032429493963718414,0.07982838898897171,19.15791130065918,0.921875,0.41666666666666663,0.9646730422973633,0.40951406955718994,20260726
Buttress,2,FullPool-nnPU,20263636,10,31,986,8,48,24,769,2,32,0.015109650790691376,0.032429493963718414,0.07982838898897171,19.15791130065918,0.875,0.3611111111111111,0.9722696542739868,0.43060556054115295,20260726
Buttress,3,PN-sampled,20264645,10,31,986,8,48,24,776,2,26,0.01566445641219616,0.040516939014196396,0.07982838898897171,19.28264617919922,0.8076923076923077,0.22619047619047616,0.5133028030395508,0.41780781745910645,20260726
Buttress,3,Ignore,20264645,10,31,986,8,48,24,776,2,26,0.01566445641219616,0.040516939014196396,0.07982838898897171,19.28264617919922,1.0,1.0,0.5159146189689636,0.48291683197021484,20260726
Buttress,3,nnPU-sampled,20264645,10,31,986,8,48,24,776,2,26,0.01566445641219616,0.040516939014196396,0.07982838898897171,19.28264617919922,0.6346153846153846,0.18055555555555555,0.9253209829330444,0.3936769962310791,20260726
Buttress,3,IPW-nnPU,20264645,10,31,986,8,48,24,776,2,26,0.01566445641219616,0.040516939014196396,0.07982838898897171,19.28264617919922,0.6730769230769231,0.22549019607843135,0.9543789625167847,0.41569527983665466,20260726
