timestamp, utilization.gpu [%], memory.used [MiB], temperature.gpu, power.draw [W]
2026/07/26 05:18:44.483, 0 %, 9 MiB, 37, 17.04 W
2026/07/26 05:18:49.497, 0 %, 692 MiB, 40, 68.57 W
2026/07/26 05:18:54.504, 99 %, 692 MiB, 44, 88.23 W
2026/07/26 05:18:59.508, 99 %, 692 MiB, 45, 89.02 W
2026/07/26 05:19:04.512, 96 %, 692 MiB, 46, 90.28 W
2026/07/26 05:19:09.516, 97 %, 692 MiB, 47, 91.09 W
2026/07/26 05:19:14.521, 99 %, 692 MiB, 48, 88.81 W
2026/07/26 05:19:19.524, 99 %, 692 MiB, 49, 89.20 W
2026/07/26 05:19:24.527, 99 %, 692 MiB, 50, 90.06 W
2026/07/26 05:19:29.531, 99 %, 692 MiB, 50, 91.49 W
2026/07/26 05:19:34.536, 99 %, 692 MiB, 51, 90.68 W
2026/07/26 05:19:39.540, 99 %, 692 MiB, 52, 90.45 W
2026/07/26 05:19:44.545, 99 %, 692 MiB, 52, 91.34 W
2026/07/26 05:19:49.550, 99 %, 692 MiB, 53, 90.58 W
2026/07/26 05:19:54.554, 99 %, 692 MiB, 54, 91.66 W
2026/07/26 05:19:59.560, 99 %, 692 MiB, 54, 92.13 W
2026/07/26 05:20:04.565, 99 %, 692 MiB, 55, 91.33 W
2026/07/26 05:20:09.569, 99 %, 692 MiB, 55, 91.85 W
2026/07/26 05:20:14.573, 97 %, 692 MiB, 56, 92.17 W
2026/07/26 05:20:19.577, 99 %, 692 MiB, 56, 91.97 W
2026/07/26 05:20:24.581, 99 %, 692 MiB, 57, 92.17 W
2026/07/26 05:20:29.585, 99 %, 692 MiB, 57, 93.57 W
2026/07/26 05:20:34.590, 98 %, 692 MiB, 57, 93.38 W
2026/07/26 05:20:39.594, 99 %, 692 MiB, 58, 93.08 W
2026/07/26 05:20:44.597, 99 %, 692 MiB, 58, 93.49 W
2026/07/26 05:20:49.601, 99 %, 692 MiB, 58, 92.62 W
2026/07/26 05:20:54.604, 99 %, 692 MiB, 59, 92.67 W
2026/07/26 05:20:59.609, 99 %, 692 MiB, 59, 93.04 W
2026/07/26 05:21:04.612, 99 %, 692 MiB, 59, 92.75 W
2026/07/26 05:21:09.616, 99 %, 692 MiB, 60, 94.22 W
2026/07/26 05:21:14.619, 99 %, 692 MiB, 60, 93.06 W
2026/07/26 05:21:19.623, 99 %, 692 MiB, 60, 93.13 W
2026/07/26 05:21:24.627, 99 %, 692 MiB, 60, 93.90 W
2026/07/26 05:21:29.630, 99 %, 692 MiB, 61, 93.82 W
2026/07/26 05:21:34.635, 99 %, 692 MiB, 61, 94.97 W
2026/07/26 05:21:39.639, 99 %, 692 MiB, 61, 94.89 W
2026/07/26 05:21:44.643, 99 %, 692 MiB, 61, 94.48 W
2026/07/26 05:21:49.646, 99 %, 692 MiB, 62, 94.90 W
2026/07/26 05:21:54.650, 99 %, 692 MiB, 62, 94.65 W
2026/07/26 05:21:59.653, 99 %, 692 MiB, 62, 94.51 W
2026/07/26 05:22:04.657, 99 %, 692 MiB, 62, 95.00 W
2026/07/26 05:22:09.662, 99 %, 692 MiB, 62, 94.50 W
2026/07/26 05:22:14.665, 99 %, 692 MiB, 62, 94.78 W
2026/07/26 05:22:19.669, 99 %, 692 MiB, 62, 94.60 W
2026/07/26 05:22:24.673, 99 %, 692 MiB, 63, 95.63 W
2026/07/26 05:22:29.678, 99 %, 692 MiB, 63, 95.20 W
2026/07/26 05:22:34.682, 99 %, 692 MiB, 63, 97.65 W
2026/07/26 05:22:39.685, 99 %, 692 MiB, 63, 97.42 W
2026/07/26 05:22:44.689, 99 %, 692 MiB, 64, 97.53 W
2026/07/26 05:22:49.695, 99 %, 692 MiB, 64, 98.60 W
2026/07/26 05:22:54.700, 99 %, 692 MiB, 64, 98.06 W
2026/07/26 05:22:59.704, 99 %, 692 MiB, 64, 97.94 W
2026/07/26 05:23:04.708, 99 %, 692 MiB, 64, 98.45 W
2026/07/26 05:23:09.712, 99 %, 692 MiB, 64, 98.47 W
2026/07/26 05:23:14.716, 99 %, 692 MiB, 64, 98.75 W
2026/07/26 05:23:19.720, 99 %, 692 MiB, 64, 97.95 W
2026/07/26 05:23:24.723, 100 %, 692 MiB, 65, 98.56 W
2026/07/26 05:23:29.727, 99 %, 692 MiB, 65, 99.05 W
2026/07/26 05:23:34.731, 99 %, 692 MiB, 65, 98.99 W
2026/07/26 05:23:39.736, 99 %, 692 MiB, 65, 98.36 W
2026/07/26 05:23:44.740, 99 %, 692 MiB, 65, 98.44 W
2026/07/26 05:23:49.744, 99 %, 692 MiB, 65, 99.16 W
