timestamp, utilization.gpu [%], memory.used [MiB], temperature.gpu, power.draw [W]
2026/07/26 05:30:48.088, 0 %, 9 MiB, 47, 16.49 W
2026/07/26 05:30:53.102, 0 %, 182 MiB, 49, 52.70 W
2026/07/26 05:30:58.107, 9 %, 182 MiB, 50, 52.82 W
2026/07/26 05:31:03.111, 9 %, 182 MiB, 50, 52.54 W
2026/07/26 05:31:08.115, 10 %, 182 MiB, 50, 52.38 W
2026/07/26 05:31:13.120, 9 %, 182 MiB, 50, 52.75 W
2026/07/26 05:31:18.124, 9 %, 182 MiB, 50, 52.64 W
2026/07/26 05:31:23.128, 10 %, 182 MiB, 50, 52.65 W
2026/07/26 05:31:28.136, 9 %, 182 MiB, 50, 52.29 W
2026/07/26 05:31:33.140, 9 %, 182 MiB, 50, 53.23 W
2026/07/26 05:31:38.144, 10 %, 182 MiB, 50, 52.62 W
2026/07/26 05:31:43.163, 9 %, 182 MiB, 50, 52.64 W
2026/07/26 05:31:48.167, 9 %, 182 MiB, 50, 52.77 W
2026/07/26 05:31:53.186, 9 %, 182 MiB, 50, 52.72 W
2026/07/26 05:31:58.190, 10 %, 182 MiB, 50, 52.94 W
2026/07/26 05:32:03.193, 10 %, 182 MiB, 50, 52.28 W
2026/07/26 05:32:08.197, 10 %, 182 MiB, 50, 52.82 W
2026/07/26 05:32:13.201, 10 %, 182 MiB, 50, 52.56 W
2026/07/26 05:32:18.204, 9 %, 182 MiB, 50, 52.29 W
2026/07/26 05:32:23.208, 9 %, 182 MiB, 50, 52.39 W
2026/07/26 05:32:28.212, 10 %, 182 MiB, 50, 52.52 W
2026/07/26 05:32:33.228, 10 %, 182 MiB, 50, 52.66 W
2026/07/26 05:32:38.267, 10 %, 182 MiB, 50, 52.79 W
2026/07/26 05:32:43.278, 9 %, 182 MiB, 49, 52.57 W
2026/07/26 05:32:48.282, 9 %, 182 MiB, 50, 52.86 W
2026/07/26 05:32:53.286, 9 %, 182 MiB, 49, 52.23 W
2026/07/26 05:32:58.290, 10 %, 182 MiB, 50, 52.40 W
2026/07/26 05:33:03.293, 10 %, 182 MiB, 49, 52.40 W
2026/07/26 05:33:08.297, 9 %, 182 MiB, 49, 52.38 W
2026/07/26 05:33:13.300, 10 %, 182 MiB, 49, 52.60 W
2026/07/26 05:33:18.304, 11 %, 182 MiB, 49, 52.35 W
2026/07/26 05:33:23.308, 9 %, 182 MiB, 49, 53.00 W
2026/07/26 05:33:28.313, 10 %, 182 MiB, 49, 52.54 W
2026/07/26 05:33:33.317, 10 %, 182 MiB, 49, 52.49 W
2026/07/26 05:33:38.321, 9 %, 182 MiB, 49, 52.28 W
2026/07/26 05:33:43.324, 10 %, 182 MiB, 49, 52.62 W
2026/07/26 05:33:48.328, 9 %, 182 MiB, 49, 52.72 W
2026/07/26 05:33:53.333, 9 %, 182 MiB, 49, 52.42 W
2026/07/26 05:33:58.337, 8 %, 182 MiB, 49, 52.63 W
2026/07/26 05:34:03.340, 10 %, 182 MiB, 49, 52.71 W
2026/07/26 05:34:08.365, 9 %, 182 MiB, 49, 52.48 W
2026/07/26 05:34:13.368, 9 %, 182 MiB, 49, 52.30 W
2026/07/26 05:34:18.372, 9 %, 182 MiB, 49, 52.32 W
2026/07/26 05:34:23.375, 10 %, 182 MiB, 49, 52.55 W
2026/07/26 05:34:28.379, 9 %, 182 MiB, 49, 52.35 W
2026/07/26 05:34:33.382, 9 %, 182 MiB, 49, 52.52 W
2026/07/26 05:34:38.386, 9 %, 182 MiB, 49, 52.26 W
2026/07/26 05:34:43.389, 10 %, 182 MiB, 49, 52.42 W
2026/07/26 05:34:48.393, 9 %, 182 MiB, 49, 52.54 W
2026/07/26 05:34:53.396, 9 %, 182 MiB, 49, 52.29 W
2026/07/26 05:34:58.400, 9 %, 182 MiB, 49, 52.67 W
2026/07/26 05:35:03.404, 9 %, 182 MiB, 49, 52.18 W
2026/07/26 05:35:08.408, 10 %, 182 MiB, 49, 52.52 W
2026/07/26 05:35:13.411, 10 %, 182 MiB, 49, 52.63 W
2026/07/26 05:35:18.415, 10 %, 182 MiB, 49, 52.57 W
2026/07/26 05:35:23.418, 10 %, 182 MiB, 49, 52.76 W
2026/07/26 05:35:29.019, 10 %, 182 MiB, 49, 52.67 W
2026/07/26 05:35:34.023, 10 %, 182 MiB, 49, 52.87 W
