procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 5009108 151488 32444828    0    0     7   458  541  190  4  1 95  1  0
 4  0      0 1895420 151516 32502124    0    0     0   122 6830 9644 40 10 49  0  0
 4  0      0 1691984 151520 32502332    0    0     0    39 9904 14954 49  1 50  0  0
 4  0      0 1691396 151532 32502336    0    0     0    17 10557 15951 50  2 48  0  0
 4  0      0 1691256 151540 32502336    0    0     0     8 9940 15067 49  1 50  0  0
 4  0      0 1685492 151540 32502336    0    0     0     2 10361 15392 50  2 48  0  0
 4  0      0 1686836 151540 32502868    0    0     0     2 10730 16267 49  1 50  0  0
 4  0      0 1684852 151552 32503016    0    0     0     9 10685 15862 50  2 48  0  0
 4  0      0 1684780 151564 32503016    0    0     0     7 9932 15227 49  1 50  0  0
 4  0      0 1682788 151564 32503016    0    0     0    68 10433 15744 50  2 49  0  0
 4  0      0 1682508 151572 32503016    0    0     0    15 10125 15402 49  1 50  0  0
 4  0      0 1680192 151580 32503020    0    0     0     7 10247 15344 49  2 49  0  0
 4  0      0 1674048 151580 32503056    0    0     0     2 9964 15094 49  1 50  0  0
 5  0      0 1683512 151584 32503060    0    0     0    14 10407 15485 50  2 49  0  0
 5  0      0 1683188 151596 32503060    0    0     0    13 9789 14891 50  1 49  0  0
 4  0      0 1684392 151596 32503060    0    0     0     2 10222 15335 50  2 48  0  0
 4  0      0 1684564 151596 32503060    0    0     0   106 9965 15061 49  1 50  0  0
 3  0      0 1682780 151608 32503076    0    0     0     9 10984 16727 50  2 48  0  0
 4  0      0 1682140 151608 32503076    0    0     0     3 9734 14837 49  1 50  0  0
 4  0      0 1680524 151608 32503076    0    0     0     2 10270 15331 50  2 48  0  0
 4  0      0 1677900 151616 32503084    0    0     0    10 9751 14889 49  1 50  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 1677188 151628 32503084    0    0     0     7 10372 15830 50  2 49  0  0
 4  0      0 1676872 151628 32503084    0    0     0    70 10071 15299 49  1 49  0  0
 4  0      0 1680852 151636 32503084    0    0     0    23 10336 15623 50  2 49  0  0
 6  0      0 1679820 151644 32503084    0    0     0     7 9848 15116 49  1 50  0  0
 4  0      0 1675576 151652 32503084    0    0     0     7 10178 15431 50  2 48  0  0
