label,repeat,method,split_seed,positive_count,sampled_count_total,pool_count_total,train_positive,train_reliable_negative,train_sampled,train_full_pool,eval_positive,eval_reliable_negative,sampling_probability_min,sampling_probability_median,sampling_probability_max,ipw_ess,roc_auc,average_precision,eval_positive_mean_score,full_pool_mean_score
Buttress,0,PN-sampled,20261618,10,31,986,8,48,24,769,2,22,0.015109650790691376,0.032429493963718414,0.07982838898897171,19.15791130065918,0.6818181818181819,0.20192307692307693,0.46454936265945435,0.40332210063934326
Buttress,0,Ignore,20261618,10,31,986,8,48,24,769,2,22,0.015109650790691376,0.032429493963718414,0.07982838898897171,19.15791130065918,0.7045454545454545,0.20833333333333331,0.4740692973136902,0.4777612090110779
Buttress,0,nnPU-sampled,20261618,10,31,986,8,48,24,769,2,22,0.015109650790691376,0.032429493963718414,0.07982838898897171,19.15791130065918,0.5909090909090908,0.15,0.8499846458435059,0.4195201098918915
Buttress,0,IPW-nnPU,20261618,10,31,986,8,48,24,769,2,22,0.015109650790691376,0.032429493963718414,0.07982838898897171,19.15791130065918,0.5454545454545454,0.15555555555555556,0.8243159055709839,0.41135671734809875
Buttress,0,FullPool-nnPU,20261618,10,31,986,8,48,24,769,2,22,0.015109650790691376,0.032429493963718414,0.07982838898897171,19.15791130065918,0.6590909090909091,0.23333333333333334,0.8673619031906128,0.39070001244544983
Pilaster,0,PN-sampled,20261594,11,33,1121,9,54,28,905,2,27,0.013874085620045662,0.04370627552270889,0.08278080821037292,22.46074867248535,1.0,1.0,0.6272035837173462,0.3198073208332062
Pilaster,0,Ignore,20261594,11,33,1121,9,54,28,905,2,27,0.013874085620045662,0.04370627552270889,0.08278080821037292,22.46074867248535,1.0,1.0,0.5810177326202393,0.3975723385810852
Pilaster,0,nnPU-sampled,20261594,11,33,1121,9,54,28,905,2,27,0.013874085620045662,0.04370627552270889,0.08278080821037292,22.46074867248535,0.9259259259259259,0.6666666666666666,0.26372286677360535,0.08814411610364914
Pilaster,0,IPW-nnPU,20261594,11,33,1121,9,54,28,905,2,27,0.013874085620045662,0.04370627552270889,0.08278080821037292,22.46074867248535,0.9444444444444444,0.7,0.2995581030845642,0.10034575313329697
Pilaster,0,FullPool-nnPU,20261594,11,33,1121,9,54,28,905,2,27,0.013874085620045662,0.04370627552270889,0.08278080821037292,22.46074867248535,0.9814814814814815,0.8333333333333333,0.45017799735069275,0.10685063153505325
Pinnacle,0,PN-sampled,20261568,11,37,1136,9,54,32,898,2,25,0.013861986808478832,0.03389206901192665,0.0678860992193222,25.323204040527344,1.0,1.0,0.6031221151351929,0.28721892833709717
Pinnacle,0,Ignore,20261568,11,37,1136,9,54,32,898,2,25,0.013861986808478832,0.03389206901192665,0.0678860992193222,25.323204040527344,1.0,1.0,0.5713077783584595,0.3798340857028961
Pinnacle,0,nnPU-sampled,20261568,11,37,1136,9,54,32,898,2,25,0.013861986808478832,0.03389206901192665,0.0678860992193222,25.323204040527344,0.74,0.5666666666666667,0.2133672535419464,0.08186890929937363
Pinnacle,0,IPW-nnPU,20261568,11,37,1136,9,54,32,898,2,25,0.013861986808478832,0.03389206901192665,0.0678860992193222,25.323204040527344,0.76,0.5714285714285714,0.21480710804462433,0.07379218935966492
Pinnacle,0,FullPool-nnPU,20261568,11,37,1136,9,54,32,898,2,25,0.013861986808478832,0.03389206901192665,0.0678860992193222,25.323204040527344,0.76,0.5714285714285714,0.23647616803646088,0.08238551765680313
Pointed Arch Window,0,PN-sampled,20262623,11,33,1122,9,54,26,934,2,37,0.01403734553605318,0.0353703610599041,0.10017789155244827,20.707359313964844,0.9459459459459458,0.45,0.5469009876251221,0.3315737545490265
Pointed Arch Window,0,Ignore,20262623,11,33,1122,9,54,26,934,2,37,0.01403734553605318,0.0353703610599041,0.10017789155244827,20.707359313964844,0.9459459459459459,0.41666666666666663,0.5262720584869385,0.4108024835586548
Pointed Arch Window,0,nnPU-sampled,20262623,11,33,1122,9,54,26,934,2,37,0.01403734553605318,0.0353703610599041,0.10017789155244827,20.707359313964844,0.7162162162162162,0.5434782608695652,0.6273277401924133,0.2592071294784546
Pointed Arch Window,0,IPW-nnPU,20262623,11,33,1122,9,54,26,934,2,37,0.01403734553605318,0.0353703610599041,0.10017789155244827,20.707359313964844,0.7162162162162162,0.21428571428571427,0.451238751411438,0.16612482070922852
Pointed Arch Window,0,FullPool-nnPU,20262623,11,33,1122,9,54,26,934,2,37,0.01403734553605318,0.0353703610599041,0.10017789155244827,20.707359313964844,0.7972972972972973,0.3125,0.6369936466217041,0.25067514181137085
Round Arch Window,0,PN-sampled,20262420,9,24,1070,7,42,20,846,2,28,0.012947803363204002,0.02480616420507431,0.0808124989271164,16.049182891845703,0.7678571428571429,0.24358974358974358,0.480255663394928,0.3884548842906952
Round Arch Window,0,Ignore,20262420,9,24,1070,7,42,20,846,2,28,0.012947803363204002,0.02480616420507431,0.0808124989271164,16.049182891845703,0.8035714285714286,0.5769230769230769,0.48482584953308105,0.4670330882072449
Round Arch Window,0,nnPU-sampled,20262420,9,24,1070,7,42,20,846,2,28,0.012947803363204002,0.02480616420507431,0.0808124989271164,16.049182891845703,0.625,0.1388888888888889,0.4992716908454895,0.19801850616931915
Round Arch Window,0,IPW-nnPU,20262420,9,24,1070,7,42,20,846,2,28,0.012947803363204002,0.02480616420507431,0.0808124989271164,16.049182891845703,0.6785714285714286,0.18382352941176472,0.3938586115837097,0.16199937462806702
Round Arch Window,0,FullPool-nnPU,20262420,9,24,1070,7,42,20,846,2,28,0.012947803363204002,0.02480616420507431,0.0808124989271164,16.049182891845703,0.5,0.09429824561403508,0.4396594166755676,0.16656607389450073
Tracery,0,PN-sampled,20261488,8,23,852,6,36,19,626,2,29,0.0139583395794034,0.030673358589410782,0.07395650446414948,16.548053741455078,0.9655172413793103,0.75,0.5433346033096313,0.36665159463882446
Tracery,0,Ignore,20261488,8,23,852,6,36,19,626,2,29,0.0139583395794034,0.030673358589410782,0.07395650446414948,16.548053741455078,0.9137931034482758,0.41666666666666663,0.5090981721878052,0.4330780804157257
Tracery,0,nnPU-sampled,20261488,8,23,852,6,36,19,626,2,29,0.0139583395794034,0.030673358589410782,0.07395650446414948,16.548053741455078,0.9482758620689655,0.5,0.7830914258956909,0.3633987009525299
Tracery,0,IPW-nnPU,20261488,8,23,852,6,36,19,626,2,29,0.0139583395794034,0.030673358589410782,0.07395650446414948,16.548053741455078,0.9137931034482758,0.41666666666666663,0.5963851809501648,0.24644292891025543
Tracery,0,FullPool-nnPU,20261488,8,23,852,6,36,19,626,2,29,0.0139583395794034,0.030673358589410782,0.07395650446414948,16.548053741455078,0.9310344827586207,0.41666666666666663,0.6099052429199219,0.21600989997386932
Tracery Rose Window,0,PN-sampled,20262657,9,28,796,7,42,19,595,2,37,0.01868234947323799,0.04285955801606178,0.15939967334270477,15.732961654663086,0.9324324324324325,0.6428571428571428,0.5703202486038208,0.3571467101573944
Tracery Rose Window,0,Ignore,20262657,9,28,796,7,42,19,595,2,37,0.01868234947323799,0.04285955801606178,0.15939967334270477,15.732961654663086,0.9189189189189189,0.625,0.5824614763259888,0.42929285764694214
Tracery Rose Window,0,nnPU-sampled,20262657,9,28,796,7,42,19,595,2,37,0.01868234947323799,0.04285955801606178,0.15939967334270477,15.732961654663086,0.9324324324324323,0.3666666666666667,0.7179437875747681,0.331468403339386
Tracery Rose Window,0,IPW-nnPU,20262657,9,28,796,7,42,19,595,2,37,0.01868234947323799,0.04285955801606178,0.15939967334270477,15.732961654663086,0.8918918918918919,0.26666666666666666,0.5581440329551697,0.27366527915000916
Tracery Rose Window,0,FullPool-nnPU,20262657,9,28,796,7,42,19,595,2,37,0.01868234947323799,0.04285955801606178,0.15939967334270477,15.732961654663086,0.9189189189189189,0.3333333333333333,0.6739521622657776,0.31275635957717896
Triangular Pediment,0,PN-sampled,20262693,8,28,696,6,36,20,536,2,39,0.0148281529545784,0.02787965163588524,0.09576484560966492,17.036052703857422,0.9358974358974359,0.41666666666666663,0.504913866519928,0.4237442910671234
Triangular Pediment,0,Ignore,20262693,8,28,696,6,36,20,536,2,39,0.0148281529545784,0.02787965163588524,0.09576484560966492,17.036052703857422,0.9743589743589743,0.5833333333333333,0.5600928068161011,0.5040696263313293
Triangular Pediment,0,nnPU-sampled,20262693,8,28,696,6,36,20,536,2,39,0.0148281529545784,0.02787965163588524,0.09576484560966492,17.036052703857422,0.47435897435897434,0.09845559845559845,0.6537535786628723,0.4659481942653656
Triangular Pediment,0,IPW-nnPU,20262693,8,28,696,6,36,20,536,2,39,0.0148281529545784,0.02787965163588524,0.09576484560966492,17.036052703857422,0.5256410256410257,0.10173160173160173,0.608088493347168,0.44580700993537903
Triangular Pediment,0,FullPool-nnPU,20262693,8,28,696,6,36,20,536,2,39,0.0148281529545784,0.02787965163588524,0.09576484560966492,17.036052703857422,0.47435897435897434,0.09027777777777778,0.6656792163848877,0.44208240509033203
Wimperg,0,PN-sampled,20261489,8,23,771,6,36,20,590,2,28,0.020679941400885582,0.03217346966266632,0.05154144763946533,18.449018478393555,1.0,1.0,0.5865688323974609,0.4155575633049011
Wimperg,0,Ignore,20261489,8,23,771,6,36,20,590,2,28,0.020679941400885582,0.03217346966266632,0.05154144763946533,18.449018478393555,0.9821428571428572,0.8333333333333333,0.6149236559867859,0.5042392611503601
Wimperg,0,nnPU-sampled,20261489,8,23,771,6,36,20,590,2,28,0.020679941400885582,0.03217346966266632,0.05154144763946533,18.449018478393555,0.9107142857142858,0.41666666666666663,0.804297685623169,0.45535406470298767
Wimperg,0,IPW-nnPU,20261489,8,23,771,6,36,20,590,2,28,0.020679941400885582,0.03217346966266632,0.05154144763946533,18.449018478393555,0.8928571428571429,0.3333333333333333,0.7599371671676636,0.41954490542411804
Wimperg,0,FullPool-nnPU,20261489,8,23,771,6,36,20,590,2,28,0.020679941400885582,0.03217346966266632,0.05154144763946533,18.449018478393555,0.9107142857142858,0.3666666666666667,0.8497231602668762,0.4031374752521515
