label,repeat,method,split_seed,positive_count,sampled_count_total,pool_count_total,train_positive,train_reliable_negative,train_sampled,train_full_pool,eval_positive,eval_reliable_negative,sampling_probability_min,sampling_probability_median,sampling_probability_max,ipw_ess,roc_auc,average_precision,eval_positive_mean_score,full_pool_mean_score
Buttress,0,PN-sampled,20261618,10,32,986,8,48,25,769,2,22,0.015098923817276955,0.04260467365384102,0.08476662635803223,19.276594161987305,0.7727272727272727,0.34090909090909094,0.4890792965888977,0.4004758298397064
Buttress,0,Ignore,20261618,10,32,986,8,48,25,769,2,22,0.015098923817276955,0.04260467365384102,0.08476662635803223,19.276594161987305,0.7045454545454545,0.20833333333333331,0.4740692973136902,0.4777612090110779
Buttress,0,nnPU-sampled,20261618,10,32,986,8,48,25,769,2,22,0.015098923817276955,0.04260467365384102,0.08476662635803223,19.276594161987305,0.8409090909090909,0.375,0.9366766810417175,0.4229837656021118
Buttress,0,IPW-nnPU,20261618,10,32,986,8,48,25,769,2,22,0.015098923817276955,0.04260467365384102,0.08476662635803223,19.276594161987305,0.8863636363636364,0.6428571428571428,0.9209640026092529,0.3849116265773773
Buttress,0,FullPool-nnPU,20261618,10,32,986,8,48,25,769,2,22,0.015098923817276955,0.04260467365384102,0.08476662635803223,19.276594161987305,0.6590909090909091,0.23333333333333334,0.8673619031906128,0.39070001244544983
Pilaster,0,PN-sampled,20261594,11,32,1121,9,54,26,905,2,27,0.01487819105386734,0.04118705168366432,0.07587675005197525,20.910961151123047,1.0,1.0,0.616916298866272,0.32250678539276123
Pilaster,0,Ignore,20261594,11,32,1121,9,54,26,905,2,27,0.01487819105386734,0.04118705168366432,0.07587675005197525,20.910961151123047,1.0,1.0,0.5810177326202393,0.3975723385810852
Pilaster,0,nnPU-sampled,20261594,11,32,1121,9,54,26,905,2,27,0.01487819105386734,0.04118705168366432,0.07587675005197525,20.910961151123047,0.962962962962963,0.75,0.3113608956336975,0.0983494222164154
Pilaster,0,IPW-nnPU,20261594,11,32,1121,9,54,26,905,2,27,0.01487819105386734,0.04118705168366432,0.07587675005197525,20.910961151123047,0.962962962962963,0.5833333333333333,0.32812023162841797,0.10049654543399811
Pilaster,0,FullPool-nnPU,20261594,11,32,1121,9,54,26,905,2,27,0.01487819105386734,0.04118705168366432,0.07587675005197525,20.910961151123047,0.9814814814814815,0.8333333333333333,0.45017799735069275,0.10685063153505325
Pinnacle,0,PN-sampled,20261568,11,37,1136,9,54,31,898,2,25,0.015624674037098885,0.035993218421936035,0.08037950098514557,25.935346603393555,1.0,1.0,0.6136578321456909,0.29814082384109497
Pinnacle,0,Ignore,20261568,11,37,1136,9,54,31,898,2,25,0.015624674037098885,0.035993218421936035,0.08037950098514557,25.935346603393555,1.0,1.0,0.5713077783584595,0.3798340857028961
Pinnacle,0,nnPU-sampled,20261568,11,37,1136,9,54,31,898,2,25,0.015624674037098885,0.035993218421936035,0.08037950098514557,25.935346603393555,0.72,0.23809523809523808,0.14128941297531128,0.07807990163564682
Pinnacle,0,IPW-nnPU,20261568,11,37,1136,9,54,31,898,2,25,0.015624674037098885,0.035993218421936035,0.08037950098514557,25.935346603393555,0.74,0.24358974358974358,0.18857377767562866,0.07143599539995193
Pinnacle,0,FullPool-nnPU,20261568,11,37,1136,9,54,31,898,2,25,0.015624674037098885,0.035993218421936035,0.08037950098514557,25.935346603393555,0.76,0.5714285714285714,0.23647616803646088,0.08238551765680313
Pointed Arch Window,0,PN-sampled,20262623,11,32,1122,9,54,28,934,2,37,0.012466253712773323,0.03989928960800171,0.12191922217607498,20.596399307250977,0.9459459459459458,0.45,0.5389453172683716,0.33225879073143005
Pointed Arch Window,0,Ignore,20262623,11,32,1122,9,54,28,934,2,37,0.012466253712773323,0.03989928960800171,0.12191922217607498,20.596399307250977,0.9459459459459459,0.41666666666666663,0.5262720584869385,0.4108024835586548
Pointed Arch Window,0,nnPU-sampled,20262623,11,32,1122,9,54,28,934,2,37,0.012466253712773323,0.03989928960800171,0.12191922217607498,20.596399307250977,0.7567567567567568,0.55,0.8202691078186035,0.40152379870414734
Pointed Arch Window,0,IPW-nnPU,20262623,11,32,1122,9,54,28,934,2,37,0.012466253712773323,0.03989928960800171,0.12191922217607498,20.596399307250977,0.8513513513513513,0.3333333333333333,0.7378255128860474,0.3477023243904114
Pointed Arch Window,0,FullPool-nnPU,20262623,11,32,1122,9,54,28,934,2,37,0.012466253712773323,0.03989928960800171,0.12191922217607498,20.596399307250977,0.7972972972972973,0.3125,0.6369936466217041,0.25067514181137085
Round Arch Window,0,PN-sampled,20262420,9,29,1070,7,42,23,846,2,28,0.013628490269184113,0.02414400316774845,0.05558870732784271,20.22848129272461,0.75,0.23809523809523808,0.47806501388549805,0.3743545711040497
Round Arch Window,0,Ignore,20262420,9,29,1070,7,42,23,846,2,28,0.013628490269184113,0.02414400316774845,0.05558870732784271,20.22848129272461,0.8035714285714286,0.5769230769230769,0.48482584953308105,0.4670330882072449
Round Arch Window,0,nnPU-sampled,20262420,9,29,1070,7,42,23,846,2,28,0.013628490269184113,0.02414400316774845,0.05558870732784271,20.22848129272461,0.4642857142857143,0.09347826086956522,0.40042543411254883,0.16958503425121307
Round Arch Window,0,IPW-nnPU,20262420,9,29,1070,7,42,23,846,2,28,0.013628490269184113,0.02414400316774845,0.05558870732784271,20.22848129272461,0.48214285714285715,0.10416666666666666,0.3494586646556854,0.15162524580955505
Round Arch Window,0,FullPool-nnPU,20262420,9,29,1070,7,42,23,846,2,28,0.013628490269184113,0.02414400316774845,0.05558870732784271,20.22848129272461,0.5,0.09429824561403508,0.4396594166755676,0.16656607389450073
Tracery,0,PN-sampled,20261488,8,18,852,6,36,12,626,2,29,0.021783962845802307,0.02884908765554428,0.05529994145035744,10.844768524169922,0.9655172413793103,0.75,0.5282208919525146,0.38363248109817505
Tracery,0,Ignore,20261488,8,18,852,6,36,12,626,2,29,0.021783962845802307,0.02884908765554428,0.05529994145035744,10.844768524169922,0.9137931034482758,0.41666666666666663,0.5090981721878052,0.4330780804157257
Tracery,0,nnPU-sampled,20261488,8,18,852,6,36,12,626,2,29,0.021783962845802307,0.02884908765554428,0.05529994145035744,10.844768524169922,0.9137931034482759,0.3666666666666667,0.6945856809616089,0.2902598977088928
Tracery,0,IPW-nnPU,20261488,8,18,852,6,36,12,626,2,29,0.021783962845802307,0.02884908765554428,0.05529994145035744,10.844768524169922,0.9137931034482759,0.3666666666666667,0.5670585632324219,0.21514424681663513
Tracery,0,FullPool-nnPU,20261488,8,18,852,6,36,12,626,2,29,0.021783962845802307,0.02884908765554428,0.05529994145035744,10.844768524169922,0.9310344827586207,0.41666666666666663,0.6099052429199219,0.21600989997386932
Tracery Rose Window,0,PN-sampled,20262657,9,30,796,7,42,28,595,2,37,0.01448978204280138,0.04668419063091278,0.06454557925462723,21.13836097717285,0.918918918918919,0.39285714285714285,0.5587590932846069,0.3322107493877411
Tracery Rose Window,0,Ignore,20262657,9,30,796,7,42,28,595,2,37,0.01448978204280138,0.04668419063091278,0.06454557925462723,21.13836097717285,0.9189189189189189,0.625,0.5824614763259888,0.42929285764694214
