timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/07/26 05:01:31.050, NVIDIA GeForce RTX 2080, 0 %, 9 MiB, 8192 MiB, 32, 15.43 W
2026/07/26 05:01:36.064, NVIDIA GeForce RTX 2080, 0 %, 12 MiB, 8192 MiB, 32, 15.03 W
2026/07/26 05:01:41.075, NVIDIA GeForce RTX 2080, 0 %, 472 MiB, 8192 MiB, 35, 49.74 W
2026/07/26 05:01:46.079, NVIDIA GeForce RTX 2080, 40 %, 1582 MiB, 8192 MiB, 43, 130.28 W
2026/07/26 05:01:51.088, NVIDIA GeForce RTX 2080, 44 %, 1582 MiB, 8192 MiB, 49, 201.01 W
2026/07/26 05:01:56.101, NVIDIA GeForce RTX 2080, 44 %, 1582 MiB, 8192 MiB, 50, 216.89 W
2026/07/26 05:02:01.107, NVIDIA GeForce RTX 2080, 35 %, 1582 MiB, 8192 MiB, 48, 213.36 W
2026/07/26 05:02:06.110, NVIDIA GeForce RTX 2080, 44 %, 1582 MiB, 8192 MiB, 53, 205.41 W
2026/07/26 05:02:11.117, NVIDIA GeForce RTX 2080, 10 %, 1590 MiB, 8192 MiB, 45, 52.13 W
2026/07/26 05:02:16.121, NVIDIA GeForce RTX 2080, 9 %, 1590 MiB, 8192 MiB, 44, 52.06 W
2026/07/26 05:02:21.126, NVIDIA GeForce RTX 2080, 9 %, 1590 MiB, 8192 MiB, 44, 52.19 W
2026/07/26 05:02:26.130, NVIDIA GeForce RTX 2080, 10 %, 1590 MiB, 8192 MiB, 44, 52.35 W
2026/07/26 05:02:31.134, NVIDIA GeForce RTX 2080, 9 %, 1590 MiB, 8192 MiB, 44, 52.46 W
2026/07/26 05:02:36.139, NVIDIA GeForce RTX 2080, 10 %, 1590 MiB, 8192 MiB, 44, 52.24 W
2026/07/26 05:02:41.143, NVIDIA GeForce RTX 2080, 9 %, 1590 MiB, 8192 MiB, 45, 52.03 W
2026/07/26 05:02:46.147, NVIDIA GeForce RTX 2080, 5 %, 1590 MiB, 8192 MiB, 45, 52.04 W
2026/07/26 05:02:51.151, NVIDIA GeForce RTX 2080, 10 %, 1590 MiB, 8192 MiB, 45, 52.44 W
2026/07/26 05:02:56.156, NVIDIA GeForce RTX 2080, 9 %, 1590 MiB, 8192 MiB, 45, 52.19 W
2026/07/26 05:03:01.160, NVIDIA GeForce RTX 2080, 9 %, 1590 MiB, 8192 MiB, 45, 52.21 W
