label,repeat,method,split_seed,positive_count,sampled_count_total,pool_count_total,train_positive,train_reliable_negative,train_sampled,train_full_pool,eval_positive,eval_reliable_negative,sampling_probability_min,sampling_probability_median,sampling_probability_max,ipw_ess,roc_auc,average_precision,eval_positive_mean_score,full_pool_mean_score
Buttress,0,PN-sampled,20261618,10,29,986,8,48,21,769,2,22,0.015902353450655937,0.03385695815086365,0.0712985098361969,17.771615982055664,0.7954545454545454,0.35,0.4824880361557007,0.4096939265727997
Buttress,0,Ignore,20261618,10,29,986,8,48,21,769,2,22,0.015902353450655937,0.03385695815086365,0.0712985098361969,17.771615982055664,0.7045454545454545,0.20833333333333331,0.4740692973136902,0.4777612090110779
Buttress,0,nnPU-sampled,20261618,10,29,986,8,48,21,769,2,22,0.015902353450655937,0.03385695815086365,0.0712985098361969,17.771615982055664,0.8636363636363635,0.3333333333333333,0.9596707820892334,0.5000847578048706
Buttress,0,IPW-nnPU,20261618,10,29,986,8,48,21,769,2,22,0.015902353450655937,0.03385695815086365,0.0712985098361969,17.771615982055664,0.8181818181818182,0.3611111111111111,0.9587516188621521,0.4558519423007965
Buttress,0,FullPool-nnPU,20261618,10,29,986,8,48,21,769,2,22,0.015902353450655937,0.03385695815086365,0.0712985098361969,17.771615982055664,0.8863636363636364,0.6428571428571428,0.9722696542739868,0.43060556054115295
Buttress,1,PN-sampled,20262627,10,29,986,8,48,20,782,2,38,0.01448002364486456,0.032412342727184296,0.0712985098361969,16.16683578491211,1.0,1.0,0.5501357316970825,0.41359513998031616
Buttress,1,Ignore,20262627,10,29,986,8,48,20,782,2,38,0.01448002364486456,0.032412342727184296,0.0712985098361969,16.16683578491211,0.9736842105263158,0.5833333333333333,0.5266537666320801,0.48161545395851135
Buttress,1,nnPU-sampled,20262627,10,29,986,8,48,20,782,2,38,0.01448002364486456,0.032412342727184296,0.0712985098361969,16.16683578491211,0.9605263157894737,0.7,0.9604821801185608,0.5144973993301392
Buttress,1,IPW-nnPU,20262627,10,29,986,8,48,20,782,2,38,0.01448002364486456,0.032412342727184296,0.0712985098361969,16.16683578491211,0.9342105263157895,0.41666666666666663,0.9773986339569092,0.5349505543708801
Buttress,1,FullPool-nnPU,20262627,10,29,986,8,48,20,782,2,38,0.01448002364486456,0.032412342727184296,0.0712985098361969,16.16683578491211,0.9605263157894737,0.7,0.981968879699707,0.44943472743034363
