label,repeat,method,split_seed,positive_count,sampled_count_total,pool_count_total,train_positive,train_reliable_negative,train_sampled,train_full_pool,eval_positive,eval_reliable_negative,sampling_probability_min,sampling_probability_median,sampling_probability_max,ipw_ess,roc_auc,average_precision,eval_positive_mean_score,full_pool_mean_score
Buttress,0,PN-sampled,20261618,10,29,986,8,48,21,769,2,22,0.015902353450655937,0.03385695815086365,0.0712985098361969,17.771615982055664,0.7954545454545454,0.35,0.4824880361557007,0.4096939265727997
Buttress,0,Ignore,20261618,10,29,986,8,48,21,769,2,22,0.015902353450655937,0.03385695815086365,0.0712985098361969,17.771615982055664,0.7045454545454545,0.20833333333333331,0.4740692973136902,0.4777612090110779
Buttress,0,nnPU-sampled,20261618,10,29,986,8,48,21,769,2,22,0.015902353450655937,0.03385695815086365,0.0712985098361969,17.771615982055664,0.9090909090909091,0.6666666666666666,0.8931728601455688,0.4404877722263336
Buttress,0,IPW-nnPU,20261618,10,29,986,8,48,21,769,2,22,0.015902353450655937,0.03385695815086365,0.0712985098361969,17.771615982055664,0.8863636363636364,0.6428571428571428,0.8857166767120361,0.41505879163742065
Buttress,0,FullPool-nnPU,20261618,10,29,986,8,48,21,769,2,22,0.015902353450655937,0.03385695815086365,0.0712985098361969,17.771615982055664,0.6590909090909091,0.23333333333333334,0.8673619031906128,0.39070001244544983
Pilaster,0,PN-sampled,20261594,11,41,1121,9,54,31,905,2,27,0.013395446352660656,0.042000215500593185,0.07250482589006424,23.737485885620117,1.0,1.0,0.6312417984008789,0.3136589825153351
Pilaster,0,Ignore,20261594,11,41,1121,9,54,31,905,2,27,0.013395446352660656,0.042000215500593185,0.07250482589006424,23.737485885620117,1.0,1.0,0.5810177326202393,0.3975723385810852
Pilaster,0,nnPU-sampled,20261594,11,41,1121,9,54,31,905,2,27,0.013395446352660656,0.042000215500593185,0.07250482589006424,23.737485885620117,0.9814814814814815,0.8333333333333333,0.32183560729026794,0.09161941707134247
Pilaster,0,IPW-nnPU,20261594,11,41,1121,9,54,31,905,2,27,0.013395446352660656,0.042000215500593185,0.07250482589006424,23.737485885620117,0.962962962962963,0.5833333333333333,0.32569122314453125,0.08788707107305527
Pilaster,0,FullPool-nnPU,20261594,11,41,1121,9,54,31,905,2,27,0.013395446352660656,0.042000215500593185,0.07250482589006424,23.737485885620117,0.9814814814814815,0.8333333333333333,0.45017799735069275,0.10685063153505325
