label,repeat,method,positive_count,train_positive,train_negative,contaminated_positive,eval_positive,eval_negative,roc_auc,average_precision,eval_positive_mean_score
Buttress,0,PN,10,6,26,2,2,10,0.65,0.29166666666666663,0.4770508408546448
Buttress,0,Ignore,10,6,24,2,2,10,0.7,0.325,0.48413026332855225
Buttress,0,Oracle,10,8,24,2,2,10,0.85,0.7,0.504229724407196
Buttress,1,PN,10,6,26,2,2,10,0.7,0.39285714285714285,0.46742644906044006
Buttress,1,Ignore,10,6,24,2,2,10,0.65,0.30952380952380953,0.46570518612861633
Buttress,1,Oracle,10,8,24,2,2,10,0.44999999999999996,0.25757575757575757,0.4608527421951294
Buttress,2,PN,10,6,26,2,2,10,0.2,0.15476190476190477,0.43641120195388794
Buttress,2,Ignore,10,6,24,2,2,10,0.2,0.15476190476190477,0.4400278925895691
Buttress,2,Oracle,10,8,24,2,2,10,0.35,0.20833333333333331,0.4506802260875702
Buttress,3,PN,10,6,26,2,2,10,0.85,0.7,0.49324163794517517
Buttress,3,Ignore,10,6,24,2,2,10,0.85,0.7,0.48885679244995117
Buttress,3,Oracle,10,8,24,2,2,10,0.55,0.35,0.477674663066864
Buttress,4,PN,10,6,26,2,2,10,0.35,0.18333333333333335,0.43201178312301636
Buttress,4,Ignore,10,6,24,2,2,10,0.35,0.18333333333333335,0.4333762228488922
Buttress,4,Oracle,10,8,24,2,2,10,0.35,0.18333333333333335,0.4293697476387024
Buttress,5,PN,10,6,26,2,2,10,0.5,0.26666666666666666,0.4626845121383667
Buttress,5,Ignore,10,6,24,2,2,10,0.5,0.26666666666666666,0.4658561944961548
Buttress,5,Oracle,10,8,24,2,2,10,0.45,0.2111111111111111,0.47912710905075073
Buttress,6,PN,10,6,26,2,2,10,0.9,0.75,0.5177584290504456
Buttress,6,Ignore,10,6,24,2,2,10,0.85,0.7,0.5210726857185364
Buttress,6,Oracle,10,8,24,2,2,10,0.8,0.41666666666666663,0.5278269052505493
Buttress,7,PN,10,6,26,2,2,10,0.44999999999999996,0.225,0.43533945083618164
Buttress,7,Ignore,10,6,24,2,2,10,0.4,0.2159090909090909,0.4369915723800659
Buttress,7,Oracle,10,8,24,2,2,10,0.45,0.3333333333333333,0.43569284677505493
Buttress,8,PN,10,6,26,2,2,10,0.5,0.2361111111111111,0.4765094518661499
Buttress,8,Ignore,10,6,24,2,2,10,0.5,0.2361111111111111,0.48239755630493164
Buttress,8,Oracle,10,8,24,2,2,10,0.75,0.3666666666666667,0.49736639857292175
Buttress,9,PN,10,6,26,2,2,10,0.8,0.41666666666666663,0.4906875193119049
Buttress,9,Ignore,10,6,24,2,2,10,0.8,0.41666666666666663,0.49151575565338135
Buttress,9,Oracle,10,8,24,2,2,10,0.7,0.325,0.48601576685905457
Buttress,10,PN,10,6,26,2,2,10,0.7,0.325,0.49893611669540405
Buttress,10,Ignore,10,6,24,2,2,10,0.65,0.29166666666666663,0.5011317729949951
Buttress,10,Oracle,10,8,24,2,2,10,0.6,0.29166666666666663,0.5038667321205139
Buttress,11,PN,10,6,26,2,2,10,0.35,0.18333333333333335,0.46790891885757446
Buttress,11,Ignore,10,6,24,2,2,10,0.35000000000000003,0.18253968253968253,0.4714933931827545
Buttress,11,Oracle,10,8,24,2,2,10,0.3,0.17142857142857143,0.47683775424957275
Buttress,12,PN,10,6,26,2,2,10,0.9,0.75,0.5134183168411255
Buttress,12,Ignore,10,6,24,2,2,10,0.9,0.75,0.5101906657218933
Buttress,12,Oracle,10,8,24,2,2,10,0.75,0.6428571428571428,0.5030419230461121
Buttress,13,PN,10,6,26,2,2,10,0.9,0.5833333333333333,0.5115265846252441
Buttress,13,Ignore,10,6,24,2,2,10,0.9500000000000001,0.8333333333333333,0.5189329981803894
Buttress,13,Oracle,10,8,24,2,2,10,1.0,1.0,0.5333386063575745
Buttress,14,PN,10,6,26,2,2,10,0.9,0.5833333333333333,0.5179025530815125
Buttress,14,Ignore,10,6,24,2,2,10,0.9,0.5833333333333333,0.5225613117218018
Buttress,14,Oracle,10,8,24,2,2,10,0.9,0.5833333333333333,0.5276163816452026
Buttress,15,PN,10,6,26,2,2,10,0.55,0.5909090909090909,0.49546509981155396
Buttress,15,Ignore,10,6,24,2,2,10,0.65,0.6111111111111112,0.4990648031234741
Buttress,15,Oracle,10,8,24,2,2,10,0.7,0.625,0.5089302659034729
Buttress,16,PN,10,6,26,2,2,10,1.0,1.0,0.543832540512085
Buttress,16,Ignore,10,6,24,2,2,10,0.9500000000000001,0.8333333333333333,0.5408170223236084
Buttress,16,Oracle,10,8,24,2,2,10,0.9,0.75,0.5269954204559326
Buttress,17,PN,10,6,26,2,2,10,0.6,0.26666666666666666,0.4954400956630707
Buttress,17,Ignore,10,6,24,2,2,10,0.6,0.26666666666666666,0.49818435311317444
Buttress,17,Oracle,10,8,24,2,2,10,0.55,0.2777777777777778,0.5010467767715454
Buttress,18,PN,10,6,26,2,2,10,1.0,1.0,0.5115293264389038
Buttress,18,Ignore,10,6,24,2,2,10,1.0,1.0,0.5176393985748291
Buttress,18,Oracle,10,8,24,2,2,10,1.0,1.0,0.5285412073135376
Buttress,19,PN,10,6,26,2,2,10,0.45,0.3333333333333333,0.44513368606567383
Buttress,19,Ignore,10,6,24,2,2,10,0.45,0.3333333333333333,0.4473467469215393
Buttress,19,Oracle,10,8,24,2,2,10,0.45,0.3333333333333333,0.4519709050655365
