box_id,image_filename,church_id,style_name,official_margin,random_margin_mean,paired_margin_delta,official_zero_shot_correct,random_zero_shot_correct_mean,max_control_overlap,controls_above_target_overlap
Q1064995_wd0.jpg__box000,Q1064995_wd0.jpg,Q1064995,Romanesque,-0.0030148327350616455,0.006765449419617653,-0.009780282154679298,0,0.75,0.0,0
Q1064995_wd0.jpg__box001,Q1064995_wd0.jpg,Q1064995,Romanesque,0.017027825117111206,0.01181459054350853,0.005213234573602676,1,0.875,0.0,0
Q1064995_wd0.jpg__box002,Q1064995_wd0.jpg,Q1064995,Romanesque,0.01780262589454651,0.0022048112004995346,0.015597814694046974,1,0.5,0.0,0
Q1064995_wd0.jpg__box003,Q1064995_wd0.jpg,Q1064995,Romanesque,0.0056022703647613525,-0.005801951512694359,0.011404221877455711,1,0.25,0.0,0
Q1064995_wd0.jpg__box004,Q1064995_wd0.jpg,Q1064995,Romanesque,-0.008673429489135742,-0.01021716557443142,0.0015437360852956772,0,0.125,0.0,0
Q1064995_wd0.jpg__box005,Q1064995_wd0.jpg,Q1064995,Romanesque,0.010150015354156494,-0.003039635717868805,0.013189651072025299,1,0.5,0.0,0
Q1084011_wd0.jpg__box000,Q1084011_wd0.jpg,Q1084011,Baroque,-0.003431260585784912,-0.010388804599642754,0.0069575440138578415,0,0.0,0.0,0
Q1148899_wd0.jpg__box000,Q1148899_wd0.jpg,Q1148899,Romanesque,-0.011203199625015259,-0.0062171705067157745,-0.004986029118299484,0,0.25,0.0,0
Q1148899_wd0.jpg__box001,Q1148899_wd0.jpg,Q1148899,Romanesque,-0.0027048587799072266,-0.007694752886891365,0.0049898941069841385,0,0.125,0.0,0
Q1148899_wd0.jpg__box002,Q1148899_wd0.jpg,Q1148899,Romanesque,0.007931560277938843,-0.013205597177147865,0.021137157455086708,1,0.0,0.0,0
Q1148899_wd0.jpg__box003,Q1148899_wd0.jpg,Q1148899,Romanesque,-0.004901796579360962,-0.0084758922457695,0.003574095666408539,0,0.125,0.0,0
Q1148899_wd0.jpg__box004,Q1148899_wd0.jpg,Q1148899,Romanesque,-0.0055397748947143555,-0.0073926933109760284,0.001852918416261673,0,0.125,0.0,0
Q1148899_wd0.jpg__box005,Q1148899_wd0.jpg,Q1148899,Romanesque,-0.014765694737434387,-0.00648484006524086,-0.008280854672193527,0,0.125,0.0,0
Q11745833_wd0.jpg__box000,Q11745833_wd0.jpg,Q11745833,Baroque,-0.0028365254402160645,-0.008511293679475784,0.00567476823925972,0,0.25,0.0,0
Q11745846_wd0.jpg__box000,Q11745846_wd0.jpg,Q11745846,Romanesque,0.014181375503540039,-0.005518181249499321,0.01969955675303936,1,0.375,0.0,0
Q11745846_wd0.jpg__box001,Q11745846_wd0.jpg,Q11745846,Romanesque,0.002150118350982666,0.004275688901543617,-0.0021255705505609512,1,0.75,0.0,0
Q11947200_wd0.jpg__box000,Q11947200_wd0.jpg,Q11947200,Romanesque,-0.008465036749839783,-0.010081233456730843,0.0016161967068910599,0,0.0,0.0,0
Q1229125_wd0.jpg__box000,Q1229125_wd0.jpg,Q1229125,Renaissance,0.0020685195922851562,-0.0011635422706604004,0.0032320618629455566,1,0.375,0.0,0
Q1229125_wd0.jpg__box001,Q1229125_wd0.jpg,Q1229125,Renaissance,0.005265295505523682,-0.0028457287698984146,0.008111024275422096,1,0.25,0.0,0
Q1229125_wd0.jpg__box002,Q1229125_wd0.jpg,Q1229125,Renaissance,0.0023238956928253174,0.004178905859589577,-0.0018550101667642593,1,0.75,0.0,0
Q1229125_wd0.jpg__box003,Q1229125_wd0.jpg,Q1229125,Renaissance,0.0020232796669006348,-0.0011400654911994934,0.003163345158100128,1,0.375,0.0,0
Q1229125_wd0.jpg__box004,Q1229125_wd0.jpg,Q1229125,Renaissance,0.011365443468093872,0.001806126907467842,0.00955931656062603,1,0.75,0.0,0
Q1236689_wd0.jpg__box000,Q1236689_wd0.jpg,Q1236689,Romanesque,0.01049754023551941,-0.010386873036623001,0.02088441327214241,1,0.25,0.0,0
Q1236689_wd0.jpg__box001,Q1236689_wd0.jpg,Q1236689,Romanesque,0.0012739598751068115,-0.011126115918159485,0.012400075793266296,1,0.125,0.0,0
Q1236689_wd0.jpg__box002,Q1236689_wd0.jpg,Q1236689,Romanesque,-0.0004137754440307617,-0.012902632355690002,0.01248885691165924,0,0.0,0.0,0
Q1236689_wd0.jpg__box003,Q1236689_wd0.jpg,Q1236689,Romanesque,0.004722267389297485,-0.018291201442480087,0.023013468831777573,1,0.0,0.0,0
Q1236689_wd0.jpg__box004,Q1236689_wd0.jpg,Q1236689,Romanesque,0.009553700685501099,-0.016692878678441048,0.026246579363942146,1,0.125,0.0,0
Q1236689_wd0.jpg__box005,Q1236689_wd0.jpg,Q1236689,Romanesque,-0.009087294340133667,-0.009345928207039833,0.0002586338669061661,0,0.0,0.0,0
Q1244300_wd0.jpg__box000,Q1244300_wd0.jpg,Q1244300,Romanesque,0.03478023409843445,-0.014912024140357971,0.04969225823879242,1,0.0,0.0,0
Q1244313_wd0.jpg__box000,Q1244313_wd0.jpg,Q1244313,Gothic,-0.0072370171546936035,-0.002792827785015106,-0.004444189369678497,0,0.375,0.0,0
Q1244313_wd0.jpg__box001,Q1244313_wd0.jpg,Q1244313,Gothic,0.006921052932739258,-0.0011906344443559647,0.008111687377095222,1,0.25,0.0,0
