repeat,fold,branch,control_set,train_images,test_images,accuracy,balanced_accuracy
0,0,official,-1,72,25,0.68,0.6222222222222222
0,0,random,0,72,25,0.44,0.4638888888888889
0,0,random,1,72,25,0.36,0.37083333333333335
0,0,random,2,72,25,0.4,0.4986111111111111
0,0,random,3,72,25,0.52,0.6138888888888889
0,0,random,4,72,25,0.48,0.5458333333333334
0,0,random,5,72,25,0.52,0.5388888888888889
0,0,random,6,72,25,0.4,0.4583333333333333
0,0,random,7,72,25,0.48,0.5888888888888889
0,1,official,-1,72,25,0.84,0.8222222222222222
0,1,random,0,72,25,0.52,0.5541666666666667
0,1,random,1,72,25,0.6,0.6013888888888889
0,1,random,2,72,25,0.56,0.5416666666666666
0,1,random,3,72,25,0.48,0.41388888888888886
0,1,random,4,72,25,0.56,0.4666666666666667
0,1,random,5,72,25,0.44,0.3888888888888889
0,1,random,6,72,25,0.48,0.41388888888888886
0,1,random,7,72,25,0.56,0.5638888888888889
0,2,official,-1,72,25,0.84,0.725
0,2,random,0,72,25,0.56,0.6819444444444445
0,2,random,1,72,25,0.52,0.5138888888888888
0,2,random,2,72,25,0.52,0.3763888888888889
0,2,random,3,72,25,0.52,0.48194444444444445
0,2,random,4,72,25,0.56,0.37222222222222223
0,2,random,5,72,25,0.48,0.35138888888888886
0,2,random,6,72,25,0.48,0.35416666666666663
0,2,random,7,72,25,0.36,0.3416666666666667
0,3,official,-1,75,22,0.6363636363636364,0.6041666666666666
0,3,random,0,75,22,0.5,0.6284722222222222
0,3,random,1,75,22,0.5,0.5729166666666666
0,3,random,2,75,22,0.5,0.5173611111111112
0,3,random,3,75,22,0.45454545454545453,0.5381944444444444
0,3,random,4,75,22,0.36363636363636365,0.4270833333333333
0,3,random,5,75,22,0.5454545454545454,0.5486111111111112
0,3,random,6,75,22,0.5,0.5694444444444444
0,3,random,7,75,22,0.5,0.5173611111111112
1,0,official,-1,72,25,0.84,0.825
1,0,random,0,72,25,0.52,0.5541666666666667
1,0,random,1,72,25,0.48,0.5291666666666667
1,0,random,2,72,25,0.4,0.30138888888888893
1,0,random,3,72,25,0.52,0.3819444444444444
1,0,random,4,72,25,0.56,0.4388888888888889
1,0,random,5,72,25,0.44,0.29444444444444445
1,0,random,6,72,25,0.48,0.3194444444444444
1,0,random,7,72,25,0.48,0.5513888888888889
1,1,official,-1,72,25,0.84,0.7569444444444444
1,1,random,0,72,25,0.32,0.3833333333333333
1,1,random,1,72,25,0.44,0.4583333333333333
1,1,random,2,72,25,0.32,0.3055555555555556
1,1,random,3,72,25,0.4,0.4930555555555556
1,1,random,4,72,25,0.48,0.5055555555555555
1,1,random,5,72,25,0.44,0.4583333333333333
1,1,random,6,72,25,0.48,0.5055555555555555
1,1,random,7,72,25,0.4,0.4583333333333333
1,2,official,-1,72,25,0.76,0.7722222222222221
1,2,random,0,72,25,0.6,0.7069444444444444
1,2,random,1,72,25,0.52,0.6513888888888889
1,2,random,2,72,25,0.48,0.5166666666666666
1,2,random,3,72,25,0.48,0.5861111111111111
1,2,random,4,72,25,0.6,0.5888888888888889
1,2,random,5,72,25,0.56,0.6013888888888889
1,2,random,6,72,25,0.36,0.4736111111111111
1,2,random,7,72,25,0.52,0.5819444444444444
1,3,official,-1,75,22,0.5454545454545454,0.5069444444444444
1,3,random,0,75,22,0.5909090909090909,0.6874999999999999
1,3,random,1,75,22,0.4090909090909091,0.3611111111111111
1,3,random,2,75,22,0.2727272727272727,0.3298611111111111
1,3,random,3,75,22,0.45454545454545453,0.5034722222222222
1,3,random,4,75,22,0.5909090909090909,0.5868055555555556
1,3,random,5,75,22,0.5,0.47916666666666663
1,3,random,6,75,22,0.5,0.4756944444444444
1,3,random,7,75,22,0.45454545454545453,0.3958333333333333
2,0,official,-1,72,25,0.88,0.8847222222222222
2,0,random,0,72,25,0.52,0.5194444444444444
2,0,random,1,72,25,0.68,0.7166666666666667
2,0,random,2,72,25,0.52,0.5138888888888888
2,0,random,3,72,25,0.64,0.7319444444444445
2,0,random,4,72,25,0.52,0.48194444444444445
2,0,random,5,72,25,0.56,0.46944444444444444
2,0,random,6,72,25,0.56,0.5069444444444444
2,0,random,7,72,25,0.64,0.6222222222222222
2,1,official,-1,72,25,0.8,0.7347222222222223
2,1,random,0,72,25,0.72,0.8166666666666667
2,1,random,1,72,25,0.44,0.49583333333333335
2,1,random,2,72,25,0.48,0.48888888888888893
2,1,random,3,72,25,0.52,0.5111111111111111
2,1,random,4,72,25,0.64,0.6236111111111111
2,1,random,5,72,25,0.4,0.3611111111111111
2,1,random,6,72,25,0.32,0.2138888888888889
2,1,random,7,72,25,0.48,0.45694444444444443
2,2,official,-1,72,25,0.84,0.8597222222222223
2,2,random,0,72,25,0.48,0.5291666666666667
2,2,random,1,72,25,0.48,0.48888888888888893
2,2,random,2,72,25,0.4,0.37083333333333335
2,2,random,3,72,25,0.48,0.5513888888888889
2,2,random,4,72,25,0.48,0.41388888888888886
2,2,random,5,72,25,0.48,0.4111111111111111
2,2,random,6,72,25,0.48,0.44861111111111107
2,2,random,7,72,25,0.56,0.6388888888888888
2,3,official,-1,75,22,0.5909090909090909,0.5763888888888888
2,3,random,0,75,22,0.4090909090909091,0.5173611111111112
2,3,random,1,75,22,0.4090909090909091,0.5173611111111112
