timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/07/26 03:51:39.826, NVIDIA GeForce RTX 2080, 0 %, 9 MiB, 8192 MiB, 32, 15.64 W
2026/07/26 03:51:44.840, NVIDIA GeForce RTX 2080, 0 %, 12 MiB, 8192 MiB, 32, 15.42 W
2026/07/26 03:51:49.849, NVIDIA GeForce RTX 2080, 15 %, 846 MiB, 8192 MiB, 36, 64.30 W
2026/07/26 03:51:54.853, NVIDIA GeForce RTX 2080, 18 %, 866 MiB, 8192 MiB, 37, 63.62 W
2026/07/26 03:51:59.857, NVIDIA GeForce RTX 2080, 16 %, 866 MiB, 8192 MiB, 38, 65.10 W
2026/07/26 03:52:04.861, NVIDIA GeForce RTX 2080, 19 %, 866 MiB, 8192 MiB, 39, 76.88 W
2026/07/26 03:52:09.865, NVIDIA GeForce RTX 2080, 18 %, 866 MiB, 8192 MiB, 40, 79.35 W
2026/07/26 03:52:14.869, NVIDIA GeForce RTX 2080, 20 %, 866 MiB, 8192 MiB, 41, 64.19 W
2026/07/26 03:52:19.872, NVIDIA GeForce RTX 2080, 20 %, 866 MiB, 8192 MiB, 41, 76.01 W
2026/07/26 03:52:24.876, NVIDIA GeForce RTX 2080, 17 %, 866 MiB, 8192 MiB, 42, 77.28 W
2026/07/26 03:52:29.880, NVIDIA GeForce RTX 2080, 19 %, 866 MiB, 8192 MiB, 43, 77.51 W
2026/07/26 03:52:34.883, NVIDIA GeForce RTX 2080, 18 %, 866 MiB, 8192 MiB, 42, 64.41 W
2026/07/26 03:52:39.887, NVIDIA GeForce RTX 2080, 18 %, 866 MiB, 8192 MiB, 43, 64.31 W
2026/07/26 03:52:44.891, NVIDIA GeForce RTX 2080, 19 %, 866 MiB, 8192 MiB, 44, 64.67 W
2026/07/26 03:52:49.896, NVIDIA GeForce RTX 2080, 18 %, 866 MiB, 8192 MiB, 44, 64.56 W
2026/07/26 03:52:54.901, NVIDIA GeForce RTX 2080, 20 %, 866 MiB, 8192 MiB, 44, 64.78 W
2026/07/26 03:52:59.905, NVIDIA GeForce RTX 2080, 25 %, 866 MiB, 8192 MiB, 44, 54.28 W
2026/07/26 03:53:04.909, NVIDIA GeForce RTX 2080, 10 %, 1358 MiB, 8192 MiB, 46, 64.99 W
