seed,shots,method,zero_shot_test_accuracy,tip_adapter_test_accuracy,final_val_accuracy,final_test_accuracy,best_epoch
1,1,tip_adapter_f,56.81511470985155,58.232118758434545,67.96116504854369,57.75978407557355,2
1,1,toga,56.81511470985155,58.232118758434545,68.44660194174757,58.097165991902834,3
2,1,tip_adapter_f,56.81511470985155,56.88259109311741,69.41747572815534,59.51417004048583,13
2,1,toga,56.81511470985155,56.88259109311741,66.01941747572816,57.28744939271255,1
3,1,tip_adapter_f,56.81511470985155,57.69230769230769,71.35922330097087,60.32388663967611,4
3,1,toga,56.81511470985155,57.69230769230769,71.84466019417475,59.37921727395412,2
1,4,tip_adapter_f,56.81511470985155,58.097165991902834,66.99029126213593,59.10931174089069,0
1,4,toga,56.81511470985155,58.097165991902834,68.44660194174757,57.827260458839405,0
2,4,tip_adapter_f,56.81511470985155,57.152496626180834,65.53398058252426,56.88259109311741,0
2,4,toga,56.81511470985155,57.152496626180834,65.53398058252426,57.2199730094467,1
3,4,tip_adapter_f,56.81511470985155,59.986504723346826,69.41747572815534,60.526315789473685,0
3,4,toga,56.81511470985155,59.986504723346826,68.44660194174757,58.906882591093115,1
1,16,tip_adapter_f,56.81511470985155,58.43454790823212,68.44660194174757,59.2442645074224,4
1,16,toga,56.81511470985155,58.43454790823212,68.93203883495146,60.59379217273954,1
2,16,tip_adapter_f,56.81511470985155,58.63697705802969,71.35922330097087,59.581646423751685,1
2,16,toga,56.81511470985155,58.63697705802969,69.41747572815534,56.2753036437247,2
3,16,tip_adapter_f,56.81511470985155,61.336032388663966,68.44660194174757,59.041835357624834,8
3,16,toga,56.81511470985155,61.336032388663966,68.44660194174757,59.986504723346826,1
