seed	shots	method	start	end	elapsed_seconds	exit_code
1	1	tip_adapter_f	2026-07-27T08:31:35+00:00	2026-07-27T08:31:52+00:00	17	0
1	1	toga	2026-07-27T08:31:52+00:00	2026-07-27T08:32:21+00:00	29	0
1	4	tip_adapter_f	2026-07-27T08:32:21+00:00	2026-07-27T08:32:53+00:00	32	0
1	4	toga	2026-07-27T08:32:53+00:00	2026-07-27T08:33:53+00:00	60	0
1	16	tip_adapter_f	2026-07-27T08:33:53+00:00	2026-07-27T08:34:56+00:00	63	0
1	16	toga	2026-07-27T08:34:56+00:00	2026-07-27T08:38:09+00:00	193	0
2	1	tip_adapter_f	2026-07-27T08:38:09+00:00	2026-07-27T08:38:28+00:00	19	0
2	1	toga	2026-07-27T08:38:28+00:00	2026-07-27T08:38:57+00:00	29	0
2	4	tip_adapter_f	2026-07-27T08:38:57+00:00	2026-07-27T08:39:31+00:00	34	0
2	4	toga	2026-07-27T08:39:31+00:00	2026-07-27T08:40:32+00:00	61	0
2	16	tip_adapter_f	2026-07-27T08:40:32+00:00	2026-07-27T08:42:04+00:00	92	0
2	16	toga	2026-07-27T08:42:04+00:00	2026-07-27T08:45:24+00:00	200	0
3	1	tip_adapter_f	2026-07-27T08:45:24+00:00	2026-07-27T08:45:42+00:00	18	0
3	1	toga	2026-07-27T08:45:42+00:00	2026-07-27T08:46:09+00:00	27	0
3	4	tip_adapter_f	2026-07-27T08:46:09+00:00	2026-07-27T08:46:41+00:00	32	0
3	4	toga	2026-07-27T08:46:41+00:00	2026-07-27T08:47:40+00:00	59	0
3	16	tip_adapter_f	2026-07-27T08:47:40+00:00	2026-07-27T08:49:15+00:00	95	0
3	16	toga	2026-07-27T08:49:15+00:00	2026-07-27T08:52:39+00:00	204	0
