shots	seed	method	candidate	start	end	elapsed_seconds	exit_code
16	4	tip_adapter_f	c3_teacher_weak	2026-07-27T12:35:07+00:00	2026-07-27T12:37:12+00:00	125	0
16	5	tip_adapter_f	c3_teacher_weak	2026-07-27T12:35:18+00:00	2026-07-27T12:37:19+00:00	121	0
16	6	tip_adapter_f	c3_teacher_weak	2026-07-27T12:35:19+00:00	2026-07-27T12:37:14+00:00	115	0
1	4	tip_adapter_f	c7_dropout_low	2026-07-27T12:34:14+00:00	2026-07-27T12:34:37+00:00	23	0
1	5	tip_adapter_f	c7_dropout_low	2026-07-27T12:34:14+00:00	2026-07-27T12:34:37+00:00	23	0
1	6	tip_adapter_f	c7_dropout_low	2026-07-27T12:34:14+00:00	2026-07-27T12:34:34+00:00	20	0
4	4	tip_adapter_f	c4_teacher_strong	2026-07-27T12:34:14+00:00	2026-07-27T12:34:55+00:00	41	0
4	5	tip_adapter_f	c4_teacher_strong	2026-07-27T12:34:14+00:00	2026-07-27T12:34:56+00:00	42	0
4	6	tip_adapter_f	c4_teacher_strong	2026-07-27T12:34:14+00:00	2026-07-27T12:34:55+00:00	41	0
16	4	toga	c3_teacher_weak	2026-07-27T12:37:12+00:00	2026-07-27T12:40:48+00:00	216	0
16	5	toga	c3_teacher_weak	2026-07-27T12:37:19+00:00	2026-07-27T12:40:50+00:00	211	0
16	6	toga	c3_teacher_weak	2026-07-27T12:37:14+00:00	2026-07-27T12:40:38+00:00	204	0
1	4	toga	c7_dropout_low	2026-07-27T12:34:37+00:00	2026-07-27T12:35:18+00:00	41	0
1	5	toga	c7_dropout_low	2026-07-27T12:34:37+00:00	2026-07-27T12:35:19+00:00	42	0
1	6	toga	c7_dropout_low	2026-07-27T12:34:34+00:00	2026-07-27T12:35:07+00:00	33	0
4	4	toga	c4_teacher_strong	2026-07-27T12:34:55+00:00	2026-07-27T12:36:45+00:00	110	0
4	5	toga	c4_teacher_strong	2026-07-27T12:34:56+00:00	2026-07-27T12:36:45+00:00	109	0
4	6	toga	c4_teacher_strong	2026-07-27T12:34:55+00:00	2026-07-27T12:36:43+00:00	108	0
