dataset,episode,rotation,gain_pp
CUB,1,0,7.055555555555559
CUB,1,1,5.555555555555558
CUB,1,2,4.999999999999993
CUB,1,3,4.499999999999993
CUB,1,4,7.833333333333337
CUB,1,5,7.555555555555548
CUB,1,6,7.333333333333325
CUB,1,7,8.944444444444443
CUB,1,8,6.555555555555559
CUB,1,9,6.888888888888889
CUB,2,0,7.666666666666666
CUB,2,1,7.222222222222219
CUB,2,2,6.055555555555559
CUB,2,3,7.833333333333325
CUB,2,4,5.277777777777781
CUB,2,5,6.2777777777777715
CUB,2,6,8.777777777777773
CUB,2,7,6.555555555555548
CUB,2,8,5.166666666666664
CUB,2,9,5.055555555555557
CUB,3,0,5.999999999999995
CUB,3,1,8.611111111111114
CUB,3,2,7.333333333333336
CUB,3,3,7.333333333333325
CUB,3,4,6.888888888888889
CUB,3,5,5.499999999999994
CUB,3,6,6.833333333333325
CUB,3,7,5.166666666666664
CUB,3,8,6.722222222222229
CUB,3,9,6.888888888888889
Dogs,1,0,3.703703703703698
Dogs,1,1,5.9259259259259345
Dogs,1,2,6.203703703703701
Dogs,1,3,5.740740740740746
Dogs,1,4,6.388888888888888
Dogs,1,5,7.037037037037042
Dogs,1,6,8.425925925925926
Dogs,1,7,6.666666666666665
Dogs,1,8,4.722222222222216
Dogs,1,9,4.629629629629628
Dogs,2,0,4.814814814814817
Dogs,2,1,7.499999999999996
Dogs,2,2,7.777777777777772
Dogs,2,3,5.925925925925924
Dogs,2,4,5.833333333333335
Dogs,2,5,7.314814814814818
Dogs,2,6,7.037037037037031
Dogs,2,7,6.851851851851853
Dogs,2,8,5.648148148148147
Dogs,2,9,7.12962962962963
Dogs,3,0,6.5740740740740655
Dogs,3,1,7.4074074074074066
Dogs,3,2,6.481481481481488
Dogs,3,3,5.462962962962958
Dogs,3,4,6.111111111111112
Dogs,3,5,6.018518518518512
Dogs,3,6,7.12962962962963
Dogs,3,7,5.833333333333335
Dogs,3,8,8.05555555555555
Dogs,3,9,3.7962962962962865
