dataset,episode,rotation,refinement_step,prototype_cosine_error,balanced_assignment_accuracy
Stanford Dogs official training,1,0,0,0.33650946769497786,0.6898148148148148
Stanford Dogs official training,1,0,1,0.18633440181701963,0.7018518518518518
Stanford Dogs official training,1,0,2,0.17537677747564687,0.7055555555555556
Stanford Dogs official training,1,0,3,0.17366435893243484,0.7046296296296296
Stanford Dogs official training,1,1,0,0.3389546103868413,0.6824074074074075
Stanford Dogs official training,1,1,1,0.1954758538656565,0.6925925925925925
Stanford Dogs official training,1,1,2,0.1825500811712047,0.700925925925926
Stanford Dogs official training,1,1,3,0.17867816823687893,0.7055555555555556
Stanford Dogs official training,1,2,0,0.3247591171442624,0.6787037037037037
Stanford Dogs official training,1,2,1,0.1809497077429207,0.6925925925925925
Stanford Dogs official training,1,2,2,0.17039463905061233,0.7018518518518518
Stanford Dogs official training,1,2,3,0.16771719552280548,0.7092592592592593
Stanford Dogs official training,1,3,0,0.3542149459246561,0.6444444444444445
Stanford Dogs official training,1,3,1,0.2114212098547317,0.6675925925925926
Stanford Dogs official training,1,3,2,0.19841640438448324,0.6685185185185185
Stanford Dogs official training,1,3,3,0.19413419876049082,0.6759259259259259
Stanford Dogs official training,1,4,0,0.3470744780110786,0.6648148148148149
Stanford Dogs official training,1,4,1,0.19749471358970522,0.687037037037037
Stanford Dogs official training,1,4,2,0.18525592698816773,0.6916666666666667
Stanford Dogs official training,1,4,3,0.18181180212840933,0.6962962962962963
Stanford Dogs official training,1,5,0,0.3229711186810374,0.675
Stanford Dogs official training,1,5,1,0.18365496550707375,0.7037037037037037
Stanford Dogs official training,1,5,2,0.1745009495307696,0.7129629629629629
Stanford Dogs official training,1,5,3,0.17243915040195162,0.7138888888888889
Stanford Dogs official training,1,6,0,0.3527466332605586,0.6509259259259259
Stanford Dogs official training,1,6,1,0.21134202011640363,0.6703703703703704
Stanford Dogs official training,1,6,2,0.20087556428991837,0.6814814814814815
Stanford Dogs official training,1,6,3,0.1970222901626895,0.6916666666666667
Stanford Dogs official training,1,7,0,0.33445108903828674,0.6472222222222223
Stanford Dogs official training,1,7,1,0.19245142992834238,0.6796296296296296
Stanford Dogs official training,1,7,2,0.18055533932957502,0.6888888888888889
Stanford Dogs official training,1,7,3,0.17592884795860056,0.6925925925925925
Stanford Dogs official training,1,8,0,0.33623100804812034,0.6685185185185185
Stanford Dogs official training,1,8,1,0.18860204373478856,0.6888888888888889
Stanford Dogs official training,1,8,2,0.17664080733363685,0.700925925925926
Stanford Dogs official training,1,8,3,0.1741861589831188,0.7018518518518518
Stanford Dogs official training,1,9,0,0.33484037916939324,0.6666666666666666
Stanford Dogs official training,1,9,1,0.19145035951372932,0.675
Stanford Dogs official training,1,9,2,0.18109329651416667,0.6814814814814815
Stanford Dogs official training,1,9,3,0.17856237204308628,0.6805555555555556
Stanford Dogs official training,2,0,0,0.3329328928638231,0.6601851851851852
Stanford Dogs official training,2,0,1,0.19292265838139422,0.6777777777777778
Stanford Dogs official training,2,0,2,0.18174220870538366,0.6842592592592592
Stanford Dogs official training,2,0,3,0.17861725696878708,0.6888888888888889
Stanford Dogs official training,2,1,0,0.32540005961900764,0.6824074074074075
Stanford Dogs official training,2,1,1,0.1827830610526515,0.7111111111111111
Stanford Dogs official training,2,1,2,0.17077967911521952,0.7175925925925926
Stanford Dogs official training,2,1,3,0.1674507025538155,0.725
Stanford Dogs official training,2,2,0,0.3346135837422281,0.6861111111111111
Stanford Dogs official training,2,2,1,0.18473754087978758,0.7064814814814815
Stanford Dogs official training,2,2,2,0.1725089044022755,0.7138888888888889
Stanford Dogs official training,2,2,3,0.168652113845528,0.7203703703703703
Stanford Dogs official training,2,3,0,0.32088690852714985,0.6787037037037037
Stanford Dogs official training,2,3,1,0.17670901962966135,0.6953703703703704
Stanford Dogs official training,2,3,2,0.16536404449136172,0.7018518518518518
Stanford Dogs official training,2,3,3,0.1628351251474693,0.700925925925926
Stanford Dogs official training,2,4,0,0.3518994724628023,0.6759259259259259
Stanford Dogs official training,2,4,1,0.20791578064562885,0.7037037037037037
Stanford Dogs official training,2,4,2,0.19300236688118358,0.7138888888888889
Stanford Dogs official training,2,4,3,0.18839881108990947,0.7175925925925926
Stanford Dogs official training,2,5,0,0.33911703138494287,0.6666666666666666
Stanford Dogs official training,2,5,1,0.19720189093945895,0.6990740740740741
Stanford Dogs official training,2,5,2,0.18483538141029626,0.7092592592592593
Stanford Dogs official training,2,5,3,0.18162891193505842,0.7157407407407408
Stanford Dogs official training,2,6,0,0.3480200216242106,0.65
Stanford Dogs official training,2,6,1,0.20251710774405776,0.6768518518518518
Stanford Dogs official training,2,6,2,0.19012848019434478,0.6907407407407408
Stanford Dogs official training,2,6,3,0.18624190396603862,0.6925925925925925
Stanford Dogs official training,2,7,0,0.3320705991404757,0.6759259259259259
Stanford Dogs official training,2,7,1,0.19409661765781064,0.6962962962962963
Stanford Dogs official training,2,7,2,0.18343924382022897,0.7055555555555556
Stanford Dogs official training,2,7,3,0.17991993292882566,0.7111111111111111
Stanford Dogs official training,2,8,0,0.30758486465840373,0.6916666666666667
Stanford Dogs official training,2,8,1,0.1671870980725157,0.7185185185185186
Stanford Dogs official training,2,8,2,0.15744049904476837,0.7277777777777777
Stanford Dogs official training,2,8,3,0.15477085774544128,0.7277777777777777
Stanford Dogs official training,2,9,0,0.3487280292702974,0.6648148148148149
Stanford Dogs official training,2,9,1,0.20142775041250172,0.6925925925925925
Stanford Dogs official training,2,9,2,0.18923451882851575,0.7027777777777777
Stanford Dogs official training,2,9,3,0.18595426929440875,0.7046296296296296
Stanford Dogs official training,3,0,0,0.3607321012443285,0.625
Stanford Dogs official training,3,0,1,0.21023713756123844,0.65
Stanford Dogs official training,3,0,2,0.19589017410625423,0.6620370370370371
Stanford Dogs official training,3,0,3,0.19139227140154347,0.6666666666666666
Stanford Dogs official training,3,1,0,0.3445526502185983,0.6675925925925926
Stanford Dogs official training,3,1,1,0.19747831581522268,0.6972222222222222
Stanford Dogs official training,3,1,2,0.1832071124196699,0.7037037037037037
Stanford Dogs official training,3,1,3,0.17930089546528277,0.7092592592592593
Stanford Dogs official training,3,2,0,0.33013109863865847,0.6814814814814815
Stanford Dogs official training,3,2,1,0.1874303808153748,0.6972222222222222
Stanford Dogs official training,3,2,2,0.1783590150738372,0.7064814814814815
Stanford Dogs official training,3,2,3,0.17674113383106416,0.7055555555555556
Stanford Dogs official training,3,3,0,0.3319307791856629,0.6583333333333333
Stanford Dogs official training,3,3,1,0.19280288585044303,0.6925925925925925
Stanford Dogs official training,3,3,2,0.1821745496561256,0.7018518518518518
Stanford Dogs official training,3,3,3,0.1796408716704145,0.7027777777777777
Stanford Dogs official training,3,4,0,0.3426751262184772,0.6416666666666667
Stanford Dogs official training,3,4,1,0.20126753339125003,0.675
Stanford Dogs official training,3,4,2,0.18992992925519334,0.6824074074074075
Stanford Dogs official training,3,4,3,0.1872205826659698,0.6861111111111111
Stanford Dogs official training,3,5,0,0.3191239162949346,0.6981481481481482
Stanford Dogs official training,3,5,1,0.17150152633822244,0.7175925925925926
Stanford Dogs official training,3,5,2,0.1599740804218257,0.7268518518518519
Stanford Dogs official training,3,5,3,0.15710615121341895,0.7305555555555555
Stanford Dogs official training,3,6,0,0.3261459821355858,0.6842592592592592
Stanford Dogs official training,3,6,1,0.1797591238746967,0.7138888888888889
Stanford Dogs official training,3,6,2,0.16679383331020414,0.7287037037037037
Stanford Dogs official training,3,6,3,0.16265010862056023,0.7287037037037037
Stanford Dogs official training,3,7,0,0.3358304252572731,0.662962962962963
Stanford Dogs official training,3,7,1,0.19498892665922052,0.6805555555555556
Stanford Dogs official training,3,7,2,0.18249595088883203,0.6962962962962963
Stanford Dogs official training,3,7,3,0.17917541466649953,0.6972222222222222
Stanford Dogs official training,3,8,0,0.33335438849738175,0.6675925925925926
Stanford Dogs official training,3,8,1,0.19411846996787605,0.6842592592592592
Stanford Dogs official training,3,8,2,0.18176432307262358,0.6944444444444444
Stanford Dogs official training,3,8,3,0.1779577018327777,0.7027777777777777
Stanford Dogs official training,3,9,0,0.31913197286974065,0.675
Stanford Dogs official training,3,9,1,0.1802381379229887,0.6935185185185185
Stanford Dogs official training,3,9,2,0.17158655245674945,0.6990740740740741
Stanford Dogs official training,3,9,3,0.1696665770705859,0.7027777777777777
