panel,dataset,series,x_sorted_rank,y_value,significant_at_0.05
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,1,35.9259,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,2,32.2222,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,3,30.7407,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,4,30.3704,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,5,25.5556,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,6,25.5556,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,7,25.1852,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,8,24.0741,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,9,22.963,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,10,22.963,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,11,22.2222,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,12,21.4815,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,13,20.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,14,19.2593,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,15,19.2593,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,16,18.1481,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,17,17.7778,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,18,17.4074,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,19,17.037,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,20,16.6667,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,21,16.6667,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,22,15.5556,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,23,15.5556,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,24,15.1852,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,25,15.1852,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,26,15.1852,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,27,15.1852,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,28,15.1852,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,29,15.1852,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,30,14.8148,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,31,14.8148,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,32,14.4444,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,33,14.4444,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,34,14.0741,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,35,14.0741,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,36,14.0741,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,37,13.7037,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,38,13.7037,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,39,13.7037,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,40,13.3333,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,41,13.3333,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,42,13.3333,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,43,12.963,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,44,12.963,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,45,12.963,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,46,12.5926,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,47,12.5926,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,48,12.2222,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,49,12.2222,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,50,12.2222,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,51,11.4815,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,52,11.4815,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,53,11.1111,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,54,11.1111,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,55,11.1111,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,56,11.1111,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,57,10.7407,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,58,10.7407,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,59,10.3704,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,60,10.3704,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,61,10.3704,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,62,10.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,63,10.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,64,10.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,65,10.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,66,10.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,67,9.6296,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,68,9.6296,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,69,9.6296,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,70,9.6296,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,71,9.2593,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,72,9.2593,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,73,9.2593,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,74,9.2593,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,75,8.8889,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,76,8.8889,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,77,8.5185,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,78,8.5185,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,79,8.5185,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,80,8.5185,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,81,8.1481,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,82,7.4074,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,83,7.4074,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,84,7.4074,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,85,7.037,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,86,7.037,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,87,7.037,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,88,7.037,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,89,6.6667,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,90,6.6667,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,91,6.6667,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,92,6.6667,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,93,6.2963,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,94,5.9259,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,95,5.5556,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,96,5.5556,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,97,5.1852,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,98,4.8148,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,99,4.8148,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,100,4.8148,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,101,4.4444,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,102,4.4444,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,103,4.4444,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,104,4.4444,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,105,4.4444,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,106,4.0741,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,107,4.0741,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,108,4.0741,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,109,4.0741,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,110,3.7037,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,111,3.7037,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,112,3.7037,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,113,3.3333,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,114,3.3333,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,115,3.3333,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,116,3.3333,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,117,3.3333,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,118,3.3333,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,119,3.3333,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,120,2.963,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,121,2.5926,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,122,2.5926,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,123,2.5926,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,124,2.2222,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,125,2.2222,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,126,2.2222,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,127,2.2222,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,128,2.2222,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,129,2.2222,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,130,1.8519,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,131,1.8519,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,132,1.8519,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,133,1.8519,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,134,1.8519,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,135,1.4815,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,136,1.4815,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,137,1.4815,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,138,1.1111,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,139,1.1111,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,140,1.1111,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,141,1.1111,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,142,0.7407,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,143,0.7407,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,144,0.7407,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,145,0.7407,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,146,0.7407,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,147,0.3704,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,148,0.3704,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,149,0.3704,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,150,0.3704,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,151,0.3704,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,152,0.3704,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,153,0.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,154,0.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,155,-0.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,156,0.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,157,0.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,158,0.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,159,-0.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,160,0.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,161,0.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,162,0.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,163,0.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,164,0.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,165,0.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,166,0.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,167,0.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,168,0.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,169,0.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,170,0.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,171,0.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,172,0.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,173,0.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,174,0.0,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,175,-0.3704,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,176,-0.3704,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,177,-0.3704,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,178,-0.3704,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,179,-0.3704,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,180,-0.7407,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,181,-0.7407,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,182,-1.1111,
a,CUB-200-2011,dctpr_minus_bl_ncc_pp,183,-1.1111,
