dataset,comparison,reference_method,episode,rotation,dctpr_only_correct,reference_only_correct,discordant,p_value,significant_at_0.05
CUB-200-2011,vs_bl_ncc,BL_NCC,1,0,208,81,289,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,1,1,163,63,226,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,1,2,180,90,270,5e-08,True
CUB-200-2011,vs_bl_ncc,BL_NCC,1,3,156,75,231,1.1e-07,True
CUB-200-2011,vs_bl_ncc,BL_NCC,1,4,192,51,243,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,1,5,198,62,260,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,1,6,205,73,278,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,1,7,236,75,311,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,1,8,194,76,270,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,1,9,189,65,254,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,2,0,208,70,278,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,2,1,206,76,282,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,2,2,175,66,241,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,2,3,206,65,271,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,2,4,173,78,251,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,2,5,180,67,247,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,2,6,219,61,280,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,2,7,189,71,260,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,2,8,170,77,247,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,2,9,179,88,267,3e-08,True
CUB-200-2011,vs_bl_ncc,BL_NCC,3,0,183,75,258,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,3,1,214,59,273,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,3,2,224,92,316,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,3,3,196,64,260,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,3,4,188,64,252,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,3,5,175,76,251,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,3,6,195,72,267,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,3,7,166,73,239,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,3,8,207,86,293,0.0,True
CUB-200-2011,vs_bl_ncc,BL_NCC,3,9,179,55,234,0.0,True
CUB-200-2011,vs_strongest,TIM_ADM,1,0,44,74,118,0.00733002,True
CUB-200-2011,vs_strongest,TIM_ADM,1,1,52,71,123,0.10420387,False
CUB-200-2011,vs_strongest,TIM_ADM,1,2,32,72,104,0.0001096,True
CUB-200-2011,vs_strongest,TIM_ADM,1,3,48,48,96,1.0,False
CUB-200-2011,vs_strongest,TIM_ADM,1,4,45,59,104,0.20217311,False
CUB-200-2011,vs_strongest,TIM_ADM,1,5,59,61,120,0.92731502,False
CUB-200-2011,vs_strongest,TIM_ADM,1,6,30,57,87,0.0050136,True
CUB-200-2011,vs_strongest,TIM_ADM,1,7,58,84,142,0.03553746,True
CUB-200-2011,vs_strongest,TIM_ADM,1,8,34,69,103,0.00072757,True
CUB-200-2011,vs_strongest,TIM_ADM,1,9,34,55,89,0.03341672,True
CUB-200-2011,vs_strongest,TIM_ADM,2,0,52,61,113,0.45185327,False
CUB-200-2011,vs_strongest,TIM_ADM,2,1,39,81,120,0.00015803,True
CUB-200-2011,vs_strongest,TIM_ADM,2,2,46,59,105,0.24143172,False
CUB-200-2011,vs_strongest,TIM_ADM,2,3,28,62,90,0.00043792,True
CUB-200-2011,vs_strongest,TIM_ADM,2,4,45,71,116,0.0198791,True
CUB-200-2011,vs_strongest,TIM_ADM,2,5,34,73,107,0.00020637,True
CUB-200-2011,vs_strongest,TIM_ADM,2,6,44,62,106,0.0982425,False
CUB-200-2011,vs_strongest,TIM_ADM,2,7,40,64,104,0.02364564,True
CUB-200-2011,vs_strongest,TIM_ADM,2,8,35,75,110,0.00017238,True
CUB-200-2011,vs_strongest,TIM_ADM,2,9,53,58,111,0.70437932,False
CUB-200-2011,vs_strongest,TIM_ADM,3,0,27,65,92,9.264e-05,True
CUB-200-2011,vs_strongest,TIM_ADM,3,1,49,71,120,0.0547798,False
CUB-200-2011,vs_strongest,TIM_ADM,3,2,50,73,123,0.04685008,True
CUB-200-2011,vs_strongest,TIM_ADM,3,3,59,74,133,0.22462993,False
CUB-200-2011,vs_strongest,TIM_ADM,3,4,36,59,95,0.023488,True
CUB-200-2011,vs_strongest,TIM_ADM,3,5,38,59,97,0.04172932,True
