dataset,class_id,bl_ncc_accuracy,dctpr_accuracy,strongest_method,strongest_accuracy,dctpr_minus_bl_ncc_pp,dctpr_minus_strongest_pp,transfer
CUB-200-2011,0,0.774074,0.707407,TIM_ADM,0.737037,-6.6667,-2.963,negative
CUB-200-2011,1,0.588889,0.596296,TIM_ADM,0.648148,0.7407,-5.1852,positive
CUB-200-2011,2,0.455556,0.596296,TIM_ADM,0.625926,14.0741,-2.963,positive
CUB-200-2011,3,1.0,1.0,TIM_ADM,1.0,0.0,0.0,neutral
CUB-200-2011,4,0.6,0.72963,TIM_ADM,0.785185,12.963,-5.5556,positive
CUB-200-2011,5,0.811111,0.948148,TIM_ADM,0.974074,13.7037,-2.5926,positive
CUB-200-2011,6,0.859259,0.840741,TIM_ADM,0.877778,-1.8519,-3.7037,negative
CUB-200-2011,7,0.492593,0.748148,TIM_ADM,0.837037,25.5556,-8.8889,positive
CUB-200-2011,8,0.351852,0.377778,TIM_ADM,0.385185,2.5926,-0.7407,positive
CUB-200-2011,9,0.996296,1.0,TIM_ADM,1.0,0.3704,0.0,positive
CUB-200-2011,10,0.548148,0.585185,TIM_ADM,0.611111,3.7037,-2.5926,positive
CUB-200-2011,11,0.859259,0.988889,TIM_ADM,0.974074,12.963,1.4815,positive
CUB-200-2011,12,0.866667,0.866667,TIM_ADM,0.914815,0.0,-4.8148,neutral
CUB-200-2011,13,0.492593,0.52963,TIM_ADM,0.540741,3.7037,-1.1111,positive
CUB-200-2011,14,0.648148,0.785185,TIM_ADM,0.785185,13.7037,0.0,positive
CUB-200-2011,15,0.796296,0.92963,TIM_ADM,0.918519,13.3333,1.1111,positive
CUB-200-2011,16,1.0,1.0,TIM_ADM,1.0,0.0,0.0,neutral
CUB-200-2011,17,0.996296,1.0,TIM_ADM,1.0,0.3704,0.0,positive
CUB-200-2011,18,0.988889,0.988889,TIM_ADM,0.955556,-0.0,3.3333,negative
CUB-200-2011,19,0.92963,0.925926,TIM_ADM,0.925926,-0.3704,0.0,negative
CUB-200-2011,20,0.974074,1.0,TIM_ADM,1.0,2.5926,0.0,positive
CUB-200-2011,21,0.585185,0.57037,TIM_ADM,0.585185,-1.4815,-1.4815,negative
CUB-200-2011,22,0.42963,0.525926,TIM_ADM,0.496296,9.6296,2.963,positive
CUB-200-2011,23,0.688889,0.677778,TIM_ADM,0.685185,-1.1111,-0.7407,negative
CUB-200-2011,24,0.4,0.444444,TIM_ADM,0.440741,4.4444,0.3704,positive
CUB-200-2011,25,0.477778,0.625926,TIM_ADM,0.62963,14.8148,-0.3704,positive
CUB-200-2011,26,0.233333,0.3,TIM_ADM,0.340741,6.6667,-4.0741,positive
CUB-200-2011,27,0.933333,0.937037,TIM_ADM,0.933333,0.3704,0.3704,positive
CUB-200-2011,28,0.355556,0.396296,TIM_ADM,0.392593,4.0741,0.3704,positive
CUB-200-2011,29,0.244444,0.288889,TIM_ADM,0.303704,4.4444,-1.4815,positive
