dataset,factor,value,overall_mean,overall_std,episode_means
cub_train,refinement_steps,1,0.74587037,0.00258099,"[0.7488333333333335, 0.7441111111111112, 0.7446666666666667]"
cub_train,refinement_steps,2,0.74764815,0.00232560,"[0.7503333333333334, 0.7463333333333333, 0.7462777777777778]"
cub_train,refinement_steps,3,0.74846296,0.00258338,"[0.7514444444444444, 0.7470555555555555, 0.7468888888888889]"
cub_train,refinement_steps,5,0.74938889,0.00264983,"[0.7524444444444444, 0.748, 0.7477222222222222]"
cub_train,support_query_mix,0.25,0.74227778,0.00318319,"[0.7459444444444443, 0.7406666666666667, 0.7402222222222223]"
cub_train,support_query_mix,0.5,0.74846296,0.00258338,"[0.7514444444444444, 0.7470555555555555, 0.7468888888888889]"
cub_train,support_query_mix,0.75,0.75209259,0.00190624,"[0.7538333333333334, 0.7500555555555556, 0.7523888888888888]"
cub_train,support_query_mix,1.0,0.73950000,0.00237723,"[0.7384444444444445, 0.7422222222222222, 0.7378333333333333]"
cub_train,temperature,0.025,0.75640741,0.00107200,"[0.757611111111111, 0.7560555555555556, 0.7555555555555556]"
cub_train,temperature,0.05,0.74846296,0.00258338,"[0.7514444444444444, 0.7470555555555555, 0.7468888888888889]"
cub_train,temperature,0.1,0.73259259,0.00231229,"[0.7350000000000001, 0.7323888888888889, 0.730388888888889]"
