dataset,factor,value,overall_mean,overall_std,episode_means
dogs_train,refinement_steps,1,0.69129630,0.00600354,"[0.6859259259259259, 0.6977777777777777, 0.6901851851851852]"
dogs_train,refinement_steps,2,0.70012346,0.00666688,"[0.6934259259259259, 0.7067592592592593, 0.7001851851851854]"
dogs_train,refinement_steps,3,0.70364198,0.00662948,"[0.6972222222222222, 0.7104629629629631, 0.7032407407407406]"
dogs_train,refinement_steps,5,0.70598765,0.00707127,"[0.6993518518518519, 0.7134259259259259, 0.7051851851851852]"
dogs_train,support_query_mix,0.25,0.68552469,0.00541990,"[0.681111111111111, 0.6915740740740741, 0.683888888888889]"
dogs_train,support_query_mix,0.5,0.70364198,0.00662948,"[0.6972222222222222, 0.7104629629629631, 0.7032407407407406]"
dogs_train,support_query_mix,0.75,0.71108025,0.00676454,"[0.7041666666666667, 0.7176851851851851, 0.7113888888888888]"
dogs_train,support_query_mix,1.0,0.70919753,0.00865497,"[0.6996296296296296, 0.7164814814814815, 0.7114814814814816]"
dogs_train,temperature,0.025,0.69950617,0.00754748,"[0.692037037037037, 0.7071296296296297, 0.6993518518518518]"
dogs_train,temperature,0.05,0.70364198,0.00662948,"[0.6972222222222222, 0.7104629629629631, 0.7032407407407406]"
dogs_train,temperature,0.1,0.68487654,0.00318111,"[0.6812037037037038, 0.6867592592592593, 0.6866666666666668]"
