"paper_id","title","year","venue","url","doi","authors","old_current_tier","old_r1_tier","old_r1_decision","old_exclusion","match_families","rescreen_priority","rescreen_reason","abstract"
"doi-82213d9f17","A LLM-informed multi-agent AI system for drone-based visual inspection for infrastructure","2025","Advanced Engineering Informatics","https://doi.org/10.1016/j.aei.2025.103643","10.1016/j.aei.2025.103643","Jiucai Liu; Haijiang Li; Chengzhang Chai; Kehong Chen; Dalei Wang","adjacent","adjacent","keep","","online_community_network;urban_mobility_crowd_built;embodied_3d_cooperation;l4_graph_topology","high","Potential widened bridge_core or representation-balance candidate under 2026-04-27 rules.","The development of large language models (LLMs) holds the potential to significantly advance automation in the Architecture, Engineering, and Construction (AEC) industry. This paper explores the application of LLM-powered agent systems in drone-based visual inspection , focusing on three core aspects. First, a multi-agent framework is proposed, composed of five specialized sub-agents— Router, PathPlanner, Controller, Perceptioner, and Retriever —that collaboratively handle inspection subtasks such as 3D spatial reasoning, path planning , and UAV control. Second, a novel image-based pipeline is introduced to generate multi-criteria semantic point clouds and abstract them into 3D Scene Graphs (3DSGs), enabling spatial-semantic reasoning aligned with human intent. These 3DSGs act as both knowledge storage and reasoning engines . Third, the system is evaluated through simulations and laboratory experiments, demonstrating its ability to automate inspection workflows and provide a foundation for extensible AI-agent systems. The results highlight the advantages of LLM-based agents in flexible task delegation and high-level decision-making. While current implementations rely on general-purpose LLMs accessed via commercial APIs—introducing some latency and adaptation gaps—these aspects also point to promising directions for future optimization and domain-specific enhancement. Overall, the study presents an early yet promising step toward collaborative human–machine intelligence in infrastructure inspection, where autonomous agents augment human decision-making through interactive, context-aware support."
"doi-11dfd5cd4d","A Survey on Large Language Model-Based Game Agents","2024","arXiv (Cornell University)","http://arxiv.org/abs/2404.02039","10.48550/arxiv.2404.02039","Sihao Hu; Tiansheng Huang; Gaowen Liu; Ramana Rao Kompella; Fatih İlhan; Selim Furkan Tekin; Xu, Yichang; Yahn, Zachary; Ling Liu","adjacent","excluded","exclude","","game_npc_social_world;l4_graph_topology","high","Potential widened bridge_core or representation-balance candidate under 2026-04-27 rules.","Game environments provide rich, controllable settings that stimulate many aspects of real-world complexity. As such, game agents offer a valuable testbed for exploring capabilities relevant to Artificial General Intelligence. Recently, the emergence of Large Language Models (LLMs) provides new opportunities to endow these agents with generalizable reasoning, memory, and adaptability in complex game environments. This survey offers an up-to-date review of LLM-based game agents (LLMGAs) through a unified reference architecture. At the single-agent level, we synthesize existing studies around three core components: memory, reasoning, and perception-action interfaces, which jointly characterize how language enables agents to perceive, think, and act. At the multi-agent level, we outline how communication protocols and organizational models support coordination, role differentiation, and large-scale social behaviors. To contextualize these designs, we introduce a challenge-centered taxonomy linking six major game genres to their dominant agent requirements, from low-latency control in action games to open-ended goal formation in sandbox worlds. A curated list of related papers is available at https://github.com/git-disl/awesome-LLM-game-agent-papers"
"doi-05c5054637","Advancing Object Goal Navigation Through LLM-enhanced Object Affinities Transfer","2024","arXiv (Cornell University)","http://arxiv.org/abs/2403.09971","10.48550/arxiv.2403.09971","Mengying Lin; Liu, Shugao; Zhang, Dingxi; Yaran Chen; Liu, Haoran; Dongbin Zhao","adjacent","adjacent","keep","","urban_mobility_crowd_built;embodied_3d_cooperation","high","Potential widened bridge_core or representation-balance candidate under 2026-04-27 rules.","In object goal navigation, agents navigate towards objects identified by category labels using visual and spatial information. Previously, solely network-based methods typically rely on historical data for object affinities estimation, lacking adaptability to new environments and unseen targets. Simultaneously, employing Large Language Models (LLMs) for navigation as either planners or agents, though offering a broad knowledge base, is cost-inefficient and lacks targeted historical experience. Addressing these challenges, we present the LLM-enhanced Object Affinities Transfer (LOAT) framework, integrating LLM-derived object semantics with network-based approaches to leverage experiential object affinities, thus improving adaptability in unfamiliar settings. LOAT employs a dual-module strategy: a generalized affinities module for accessing LLMs' vast knowledge and an experiential affinities module for applying learned object semantic relationships, complemented by a dynamic fusion module harmonizing these information sources based on temporal context. The resulting scores activate semantic maps before feeding into downstream policies, enhancing navigation systems with context-aware inputs. Our evaluations conducted in the AI2-THOR and Habitat simulators indicate significant improvements in both navigation success rates and overall efficiency. Furthermore, the system performs effectively when deployed on a real robot without requiring additional training, thereby validating the efficacy of LOAT in integrating LLM insights for enhanced object-goal navigation."
"doi-57ebc48cb0","Advancing Spatial Reasoning in Large Language Models: An In-Depth Evaluation and Enhancement Using the StepGame Benchmark","2024","Proceedings of the AAAI Conference on Artificial Intelligence","https://doi.org/10.1609/aaai.v38i17.29811","10.1609/aaai.v38i17.29811","Fangjun Li; David Hogg; Anthony G. Cohn","adjacent","adjacent","keep","","urban_mobility_crowd_built;embodied_3d_cooperation;l4_graph_topology","high","Potential widened bridge_core or representation-balance candidate under 2026-04-27 rules.","Artificial intelligence (AI) has made remarkable progress across various domains, with large language models like ChatGPT gaining substantial attention for their human-like text-generation capabilities. Despite these achievements, improving spatial reasoning remains a significant challenge for these models. Benchmarks like StepGame evaluate AI spatial reasoning, where ChatGPT has shown unsatisfactory performance. However, the presence of template errors in the benchmark has an impact on the evaluation results. Thus there is potential for ChatGPT to perform better if these template errors are addressed, leading to more accurate assessments of its spatial reasoning capabilities. In this study, we refine the StepGame benchmark, providing a more accurate dataset for model evaluation. We analyze GPT’s spatial reasoning performance on the rectified benchmark, identifying proficiency in mapping natural language text to spatial relations but limitations in multi-hop reasoning. We provide a flawless solution to the benchmark by combining template-to-relation mapping with logic-based reasoning. This combination demonstrates proficiency in performing qualitative reasoning on StepGame without encountering any errors. We then address the limitations of GPT models in spatial reasoning. To improve spatial reasoning, we deploy Chain-of-Thought and Tree-of-thoughts prompting strategies, offering insights into GPT’s cognitive process. Our investigation not only sheds light on model deficiencies but also proposes enhancements, contributing to the advancement of AI with more robust spatial reasoning capabilities."
"doi-618f7ef30e","Agent-based simulation of human movement shaped by the underlying street structure","2011","International Journal of Geographical Information Systems","https://doi.org/10.1080/13658811003712864","10.1080/13658811003712864","Bin Jiang; Tao Jia","foundational","foundational","keep","","online_community_network;l4_graph_topology","high","Potential widened bridge_core or representation-balance candidate under 2026-04-27 rules.","Relying on random and purposive moving agents, we simulated human movement in large street networks. We found that aggregate flow, assigned to individual streets, is mainly shaped by the underlying street structure, and that human moving behavior (either random or purposive) has little effect on the aggregate flow. This finding implies that given a street network, the movement patterns generated by purposive walkers (mostly human beings) and by random walkers are the same. Based on the simulation and correlation analysis, we further found that the closeness centrality is not a good indicator for human movement, in contrast to a long-standing view held by space syntax researchers. Instead we suggest that Google's PageRank and its modified version (weighted PageRank), betweenness and degree centralities are all better indicators for predicting aggregate flow."
"url-387f659dfe","AgentSims: An Open-Source Sandbox for Large Language Model Evaluation","2023","arXiv","https://arxiv.org/abs/2308.04026","","Jiaju Lin","adjacent","excluded","exclude","","online_community_network;game_npc_social_world;urban_mobility_crowd_built;embodied_3d_cooperation","high","Potential widened bridge_core or representation-balance candidate under 2026-04-27 rules.","With ChatGPT-like large language models (LLM) prevailing in the community, how to evaluate the ability of LLMs is an open question. Existing evaluation methods suffer from following shortcomings: (1) constrained evaluation abilities, (2) vulnerable benchmarks, (3) unobjective metrics. We suggest that taskbased evaluation, where LLM agents complete tasks in a simulated environment, is a onefor-all solution to solve above problems. We present AgentSims, an easy-to-use infrastructure for researchers from all disciplines to test the specific capacities they are interested in. Researchers can build their evaluation tasks by adding agents and buildings on an interactive GUI or deploy and test new support mechanisms, i.e. memory, planning and tool-use systems, by a few lines of codes. Our demo is available at https://agentsims.com ."
"url-fc391a7039","Analysing open space offices","2006","","http://kth.diva-portal.org/smash/record.jsf?pid=diva2:469168","","Henrik Markhede; Jesper Steen","foundational","foundational","keep","","l4_graph_topology","high","Potential widened bridge_core or representation-balance candidate under 2026-04-27 rules.","In offices, knowledge sharing largely depends on everyday face-to-face interaction patterns. These interaction patterns may depend on how employees move through the office space. This thesis explores how these spatial relations influence individual choices with respect to employee movements or routes. Space syntax related research has shown a strong relationship between spatial configuration and pedestrian movement in cities, yet field of space syntax has not applied spatial analysis to the office environment. Although several many space syntax researchers have suggested a connection between spatial configuration of offices and movement patterns of employees, no studies have developed methods to address this issue specifically. Our initial results suggest that organizational borders sometimes work as well as walls regarding movement related to face-to-face interaction in offices. This has led us to perform analysis using occupied spatial positions as a complement to the regular space syntax analysis. Using spatial positioning analysis, we incorporate organizational aspects into space syntax analysis and shift focus from analysis of movement to analysis of interaction. Our papers develop both observational methods and software for spatial modelling. We conclude that rational choice theory and actor network theory can provide useful conceptions and models for how to perform spatial analysis of interactions. Future research should focus on software development and new interpretations related to rational choice, actor networks, and symbolic interactionism."
"doi-87fc71b457","Analysis of Pedestrian Behaviors in Subway Station Using Agent-Based Model: Case of Gangnam Station, Seoul, Korea","2023","Buildings","https://doi.org/10.3390/buildings13020537","10.3390/buildings13020537","Joo Young Kim; Young Ook Kim","foundational","foundational","keep","","urban_mobility_crowd_built;l4_graph_topology","high","Potential widened bridge_core or representation-balance candidate under 2026-04-27 rules.","Numerous pedestrians interact with the subway station space by finding entrances into this closed area to use the subway system; further, they may use transfer transportation facilities or the complex functions nearby, such as commercial. Many studies examine pedestrian behaviors in subway stations, but most focus on special situations such as disasters and evacuation. Because it is important to analyze gait patterns in everyday situations, this study aims to verify the explanatory power of actual gait behavior by using space syntax theory in constructing an optimal agent-based model. To this end, first, pedestrian characteristics and space types are classified using pedestrian data from Gangnam Station. Second, the depthmapX program is used to develop an appropriate agent-based model for stations. Third, a simulation is run to calculate the frequency of the agent movement at each gate, which is matched with the observed pedestrian volume. Fourth, the relationship between the frequency of the agent movement and pedestrian volume is analyzed using Statistical Package for the Social Sciences. The results show that although agent-based models have limitations in explaining pedestrian patterns in the entire subway station, they are capable of explaining these patterns along the shortest paths between ticket gates and station entrances."
"doi-a8a9e52fd1","Analyzing the Influence of Residents’ Sociocultural Reflections on the Spatial Configuration of Historical Persian Residential Architecture","2025","Sustainability","https://doi.org/10.3390/su17030879","10.3390/su17030879","Seyedeh Maryam Moosavi; Còssima Cornadó Bardón; Reza Askarizad","foundational","foundational","keep","","online_community_network;l4_graph_topology","high","Potential widened bridge_core or representation-balance candidate under 2026-04-27 rules.","This research investigates the relationship between socio-cultural reflections of residents and spatial diversity in historic Persian residential architecture. Despite the rich architectural heritage of Persian houses, there is limited understanding of how residents’ socio-cultural background influences their spatial arrangements. To address this gap, this study employs space syntax analysis, including axial, visibility graph analysis (VGA), agent-based analysis, and isovist approaches, to explore the genotype of 15 recognized Persian historic residential architectures. The findings reveal that the spatial configurations of these houses are deeply rooted in socio-cultural values, reflecting the diverse societal roles of residents. Variations in spatial arrangements highlight the adaptability of Persian historical houses in balancing privacy and sociability, influenced by the socio-cultural attributes of their occupants. The study also emphasizes the significance of transitional spaces in controlling social interactions with strangers to support cultural practices. This research contributes to the body of knowledge by providing a syntactic analysis of the socio-cultural underpinnings of Persian architectural typologies, offering insights that extend beyond Shiraz to the broader central Iranian context. The study concludes by advocating for practical policy implications and culturally rooted architectural design guidelines for Iranian construction engineering organizations to implement in their housing design projects. These insights can ultimately inform the development of contemporary housing in Iran, fostering a new wave of housing that is both culturally resonant and functionally innovative, while supporting socially sustainable living environments."
"url-289bf901b7","Assisted Agent-Based Simulations: Fusing non-player character movement with Space Syntax","2017","UCL Discovery (University College London)","https://discovery.ucl.ac.uk/id/eprint/1571698/","","Petros Koutsolampros; Tasos Varoudis","foundational","foundational","keep","","urban_mobility_crowd_built;l4_graph_topology","high","Potential widened bridge_core or representation-balance candidate under 2026-04-27 rules.","Agent-based simulation is one of the core tools of spatial analysis utilised to provide an understanding of space when complex parameters come into play, such as how the visible space changes while traversing a building, or what happens when there is a destination to be reached. This type of simulation has a lot in common with techniques used in video games to create movement trajectories for non-player characters. Although these techniques have been developed over the years to provide more realistic and more “human-like” behaviour, they are rarely woven back into analytical and simulation tools. As a first step to remedy that, we developed a new methodology that fuses non-player character movement from computer games with simulation techniques traditionally used for agent-based analysis in Space Syntax. This first attempt utilises a different type of underlying representation of space, known as a navigation mesh. We first examine in detail two traditional techniques utilised in depthmapX agent-based analysis and highlight their strengths and limitations. We then describe how this technique differs from the classic space syntax methods, as well as how it can be combined to create hybrid analytical models of movement. The hybrid model developed in this case is that of a classic space syntax agent assisted by the aforementioned technique. We then tested and evaluated the traditional and new models for their capacity to explore two gallery spaces. The results extracted from the new hybrid simulation model depict agents with more capacity to explore, a significant addition to the traditional space syntax agent based methods."
