window_index,window_start,window_end,density,clustering,degree_gini,mean_interaction_strength,delta_density,delta_clustering,delta_degree_gini,delta_mean_interaction_strength,stable
0,1,20,0.4388888888888889,0.5419940476190476,0.23527170512927334,2.8641601575500824,,,,,False
1,21,40,0.39166666666666666,0.49970238095238095,0.26554607077704895,3.4135964578899363,1.7654083569153813,0.8310404151411648,1.2122627589100838,2.6484827008243266,False
2,41,60,0.4,0.5542857142857143,0.26990346040453783,3.523814810668259,0.31154265122036234,1.0725743289014058,0.17448098608976043,0.5312925273888505,False
3,61,80,0.36666666666666664,0.5945833333333334,0.3154279205094422,3.4552883258046303,1.2461706048814474,0.7918569472914423,1.8229154079308767,0.33032256805267357,False
4,81,100,0.4111111111111111,0.5025892857142857,0.25129069270989013,3.2316592210006534,1.6615608065085945,1.8077029719925006,2.5682180636158836,1.0779735796630285,False
5,101,120,0.3611111111111111,0.5692261904761905,0.24472534764894094,3.204324748674173,1.869255907322168,1.3094296196348136,0.26289314892276644,0.1317620933456064,False
6,121,140,0.3833333333333333,0.5305952380952381,0.2681328547818822,3.3453323072173187,0.8307804032542963,0.7591065861036124,0.9372962428453644,0.6797076917851866,False
7,141,160,0.3833333333333333,0.4905357142857143,0.2926301391104022,3.088186947068526,0.0,0.7871783242646091,0.9809336992029887,1.2395341143824272,False
8,161,180,0.4388888888888889,0.5734821428571428,0.22373475746700888,3.0263528560688804,2.0769510081357434,1.6299152969728556,2.7587466703309658,0.29806279678365116,False
9,181,200,0.3638888888888889,0.5298809523809523,0.28287750626566405,3.5254412071846284,2.803883860983253,0.8567728417887461,2.3682263953052183,2.405787282884986,False
10,201,220,0.36944444444444446,0.39922619047619046,0.26093859265734254,3.4170454545454545,0.20769510081357562,2.567394385974467,0.8784900152075662,0.5225069321595768,False
