window_index,window_start,window_end,dv,comparison,matched_variance,unmatched_variance,variance_reduction,icc_seed
0,1,50,tar_h1_run,C6m-C1,0.13678220462709578,0.142517159341572,0.04024045063044801,0.0
0,1,50,tar_h1_run,C4-C1,0.16337897257596426,0.12719204892126157,-0.28450617756070784,0.0
1,51,100,tar_h1_run,C6m-C1,0.08331864724591337,0.16405364247479554,0.4921255877709996,0.0
1,51,100,tar_h1_run,C4-C1,0.16461057043394703,0.2062936832069437,0.2020571455461494,0.0
2,101,150,tar_h1_run,C6m-C1,0.05747151049544535,0.1295665854174952,0.5564326225758123,0.11308619753079871
2,101,150,tar_h1_run,C4-C1,0.1513706596064741,0.11037546771556758,-0.37141579319554263,0.0
0,1,50,tar_h2_run,C6m-C1,0.09172228534047763,0.135540061466142,0.3232828408935765,0.0
0,1,50,tar_h2_run,C4-C1,0.04586707336503135,0.15924454710494365,0.7119708385694079,0.1949394531977135
1,51,100,tar_h2_run,C6m-C1,0.03682822049918498,0.04843793504385264,0.23968227659079522,0.0
1,51,100,tar_h2_run,C4-C1,0.04042064405189415,0.07494878280505354,0.46068978655689763,0.0
2,101,150,tar_h2_run,C6m-C1,0.034689253127953505,0.08039186913569343,0.568497989897442,0.0
2,101,150,tar_h2_run,C4-C1,0.06341208755229472,0.13402391563410157,0.5268599096491411,0.0
0,1,50,entropy_run,C6m-C1,0.0017518877297938691,0.003506253154452307,0.5003533251530088,0.5102991096598708
0,1,50,entropy_run,C4-C1,0.0020487020437217726,0.0022575595642156687,0.09251473307923919,0.0
1,51,100,entropy_run,C6m-C1,0.0013378514858194731,0.0038432089050645345,0.651892072778956,0.6069343941176032
1,51,100,entropy_run,C4-C1,0.0018850563028864867,0.0035950639470137403,0.4756543052725616,0.28001182136483643
2,101,150,entropy_run,C6m-C1,0.002846456747439629,0.006436251161544136,0.5577461668297095,0.5757031451633946
2,101,150,entropy_run,C4-C1,0.0030085981770018237,0.007584031879785395,0.6032983214349361,0.5200591429541762
