agent_accessible_representation,behavioral_scale,evidence_status,count
L1,interaction,designed_affordance_only,1
L2,interaction,designed_affordance_only,4
L2,interaction,observed_effect,4
L3,emergent_social_structure,designed_affordance_only,3
L3,emergent_social_structure,observed_effect,8
L3,interaction,designed_affordance_only,2
L3,mixed,designed_affordance_only,2
L3,mixed,observed_effect,3
L4,emergent_social_structure,observed_effect,1
L5,emergent_social_structure,designed_affordance_only,1
L5,interaction,observed_effect,2
L5,mixed,designed_affordance_only,2
L5,mixed,observed_effect,1
