window_index,window_start,window_end,density,clustering,degree_gini,mean_interaction_strength,seed
0,1,20,0.5111111111111111,0.7264285714285714,0.21739130434782594,3.1739130434782608,1
1,21,40,0.5333333333333333,0.6028571428571429,0.17083333333333317,4.0,1
2,41,60,0.6444444444444445,0.8350793650793651,0.18965517241379293,3.206896551724138,1
3,61,80,0.5333333333333333,0.7516666666666667,0.19166666666666665,3.2083333333333335,1
4,81,100,0.4888888888888889,0.8492857142857144,0.14545454545454528,4.318181818181818,1
5,101,120,0.35555555555555557,0.8166666666666667,0.1499999999999999,4.875,1
6,121,140,0.5111111111111111,0.8280952380952382,0.16521739130434776,3.652173913043478,1
7,141,160,0.6,0.704047619047619,0.16296296296296298,3.4074074074074074,1
8,161,180,0.6444444444444445,0.753095238095238,0.1586206896551723,3.1379310344827585,1
9,181,200,0.3333333333333333,0.6533333333333333,0.2999999999999998,5.733333333333333,1
10,201,220,0.4888888888888889,0.52,0.21818181818181803,3.6363636363636362,1
0,1,20,0.28888888888888886,0.5133333333333333,0.25384615384615383,2.8461538461538463,2
1,21,40,0.2222222222222222,0.25,0.3699999999999999,4.3,2
2,41,60,0.3111111111111111,0.36666666666666664,0.23571428571428554,3.357142857142857,2
3,61,80,0.2,0.5666666666666667,0.411111111111111,3.888888888888889,2
4,81,100,0.2222222222222222,0.31666666666666665,0.34999999999999987,4.5,2
5,101,120,0.24444444444444444,0.52,0.2727272727272727,3.1818181818181817,2
6,121,140,0.26666666666666666,0.46333333333333326,0.34999999999999987,2.5833333333333335,2
7,141,160,0.3333333333333333,0.5333333333333333,0.2733333333333332,3.066666666666667,2
8,161,180,0.26666666666666666,0.5666666666666667,0.24166666666666647,2.25,2
9,181,200,0.4,0.47000000000000003,0.2666666666666666,2.7777777777777777,2
10,201,220,0.28888888888888886,0.12,0.29230769230769216,2.6923076923076925,2
0,1,20,0.6222222222222222,0.7657142857142857,0.17499999999999982,2.4642857142857144,3
1,21,40,0.4444444444444444,0.5995238095238096,0.23499999999999988,3.05,3
2,41,60,0.3333333333333333,0.6133333333333333,0.2733333333333332,3.1333333333333333,3
3,61,80,0.4888888888888889,0.5826190476190476,0.21818181818181803,2.590909090909091,3
4,81,100,0.5555555555555556,0.6771428571428572,0.19199999999999995,2.24,3
5,101,120,0.37777777777777777,0.6633333333333333,0.1823529411764706,3.588235294117647,3
6,121,140,0.4222222222222222,0.5266666666666666,0.18421052631578938,2.3684210526315788,3
7,141,160,0.4222222222222222,0.5433333333333333,0.27368421052631575,2.8421052631578947,3
8,161,180,0.4888888888888889,0.679047619047619,0.20454545454545436,2.909090909090909,3
9,181,200,0.3333333333333333,0.75,0.17999999999999994,3.2666666666666666,3
10,201,220,0.26666666666666666,0.25,0.22499999999999987,3.5833333333333335,3
0,1,20,0.37777777777777777,0.62,0.2588235294117647,4.176470588235294,4
1,21,40,0.3333333333333333,0.35,0.2866666666666666,3.6,4
2,41,60,0.2,0.35,0.43333333333333335,6.444444444444445,4
3,61,80,0.5111111111111111,0.5971428571428572,0.23913043478260865,2.347826086956522,4
4,81,100,0.4666666666666667,0.5566666666666666,0.18095238095238075,2.238095238095238,4
5,101,120,0.3333333333333333,0.36666666666666664,0.20666666666666655,4.066666666666666,4
6,121,140,0.26666666666666666,0.36,0.3916666666666666,3.9166666666666665,4
7,141,160,0.2,0.2,0.43333333333333335,4.777777777777778,4
8,161,180,0.35555555555555557,0.41904761904761906,0.2437499999999999,3.625,4
9,181,200,0.3111111111111111,0.5266666666666666,0.42142857142857126,3.2142857142857144,4
10,201,220,0.26666666666666666,0.27666666666666667,0.2583333333333333,4.166666666666667,4
0,1,20,0.3111111111111111,0.16666666666666666,0.2928571428571427,1.9285714285714286,5
1,21,40,0.28888888888888886,0.42000000000000004,0.32307692307692304,2.4615384615384617,5
2,41,60,0.24444444444444444,0.38666666666666666,0.418181818181818,2.4545454545454546,5
3,61,80,0.3111111111111111,0.47857142857142854,0.37857142857142856,3.5,5
4,81,100,0.35555555555555557,0.42666666666666664,0.3312499999999998,2.5,5
5,101,120,0.3333333333333333,0.49333333333333335,0.30666666666666664,1.6666666666666667,5
6,121,140,0.4,0.7,0.24444444444444446,2.2777777777777777,5
7,141,160,0.28888888888888886,0.4738095238095238,0.39230769230769225,1.7692307692307692,5
8,161,180,0.37777777777777777,0.42142857142857143,0.2823529411764705,2.1176470588235294,5
9,181,200,0.3111111111111111,0.30999999999999994,0.33571428571428563,2.4285714285714284,5
10,201,220,0.26666666666666666,0.39,0.4166666666666665,3.0,5
0,1,20,0.4222222222222222,0.48999999999999994,0.2526315789473683,2.6315789473684212,6
1,21,40,0.5111111111111111,0.7180952380952381,0.16086956521739126,3.260869565217391,6
2,41,60,0.35555555555555557,0.5,0.2687499999999998,4.5,6
3,61,80,0.3333333333333333,0.7666666666666667,0.2466666666666666,4.066666666666666,6
4,81,100,0.5111111111111111,0.5476190476190477,0.21739130434782594,2.6956521739130435,6
5,101,120,0.5111111111111111,0.5495238095238095,0.17391304347826075,2.4347826086956523,6
6,121,140,0.4666666666666667,0.45,0.1952380952380952,3.1904761904761907,6
7,141,160,0.4444444444444444,0.42000000000000004,0.17499999999999982,2.65,6
8,161,180,0.35555555555555557,0.5066666666666666,0.28125,4.125,6
